,question,solution,answer,topic,question_number
1029,A volleyball team has 5000 fans. 1000 more fans showed up at 11:00 AM. 2000 more fans showed up at 12:00 PM. 3000 more fans showed up at 1:00 PM. How many fans were at the game at 1:00 PM?,"def solution():
    #Initially, there were 5000 fans
    fans_initial = 5000
    #1000 more fans showed up at 11:00 AM
    fans_11am = 1000
    #2000 more fans showed up at 12:00 PM
    fans_12pm = 2000
    #3000 more fans showed up at 1:00 PM
    fans_1pm = 3000
    #The answer is
    result = fans_initial + fans_11am + fans_12pm + fans_1pm
    return result",11000,volleyball,llama_q1023
1336,"A pizza is cut into 8 slices. If 4 slices are eaten, how many slices are left?","def solution():
    #A pizza is cut into 8 slices
    pizza_slices = 8
    #If 4 slices are eaten
    pizza_slices_eaten = 4
    #The answer is
    result = pizza_slices - pizza_slices_eaten
    return result",4,pizza,llama_q1321
170,"On Monday, you ate 21 bowls of ice cream. On Tuesday, you ate 12 bowls. On Wednesday, you ate 10 bowls. On Thursday, you ate 14 bowls. How many bowls of ice cream did you eat in total?","def solution():
    #You ate 21 bowls of ice cream on Monday
    ice_cream_monday = 21
    #12 on Tuesday
    ice_cream_tuesday = 12
    #10 on Wednesday
    ice_cream_wednesday = 10
    #and 14 on Thursday
    ice_cream_thursday = 14
    #The answer is
    result = ice_cream_monday + ice_cream_tuesday + ice_cream_wednesday + ice_cream_thursday
    return result",57,ice cream,mammoth_q170
30,Superman can leap 1.5 miles in a single bound. How many miles can he leap in 12 bounds?,"def solution():
    #Superman can leap 1.5 miles in a single bound
    miles_per_bound = 1.5
    #How many miles can he leap in 12 bounds?
    result = miles_per_bound * 12
    return result",18.0,Superman,mathwell_q30
866,"Patrick Mahomes has 10000 passing yards. 2000 of them are from the 2018 season, 3000 are from the 2019 season, and the rest are from the 2020 season. How many passing yards does he have from the 2020 season?","def solution():
    #Patrick Mahomes has 10000 passing yards
    total_yards = 10000
    #2000 of them are from the 2018 season
    yards_2018 = 2000
    #3000 are from the 2019 season
    yards_2019 = 3000
    #The rest are from the 2020 season
    yards_2020 = total_yards - yards_2018 - yards_2019
    return yards_2020",5000,Patrick Mahomes,mathwell_q838
679,"A volleyball team is made up of 12 players. 8 of the players are from the US and the rest are from Canada. 3 of the Canadian players are from Toronto, and the rest are from Vancouver. How many players are from Vancouver?","def solution():
    #The team has 12 players
    total_players = 12
    #8 of them are from the US
    us_players = 8
    #The rest are from Canada
    canada_players = total_players - us_players
    #3 of the Canadian players are from Toronto
    toronto_players = 3
    #The rest are from Vancouver
    vancouver_players = canada_players - toronto_players
    #The answer is
    result = vancouver_players
    return result",1,volleyball,llama_q676
703,"Spiderman has 100 spider webs. He uses 20 of them to catch thieves, 30 of them to swing from building to building, and the rest to make a spider web cocoon. How many spider webs does he use to make a spider web cocoon?","def solution():
    #Spiderman has 100 spider webs
    spider_webs_total = 100
    #He uses 20 of them to catch thieves
    spider_webs_thieves = 20
    #30 of them to swing from building to building
    spider_webs_swing = 30
    #The answer is
    spider_webs_cocoon = spider_webs_total - spider_webs_thieves - spider_webs_swing
    return spider_webs_cocoon",50,Spiderman,mathwell_q680
496,Naruto can run 30 miles in 2 hours. How many miles per hour can he run?,"def solution():
    #Naruto can run 30 miles in 2 hours
    miles_run = 30
    #There are 60 minutes in an hour
    minutes_per_hour = 60
    #He can run 2 hours
    hours_run = 2
    #He can run
    minutes_run = hours_run * minutes_per_hour
    #miles per hour. The answer is
    result = miles_run / minutes_run
    return result",0.25,Naruto,llama_q495
835,"The Power Rangers have 1000 Power Coins. 200 of them are Red Power Coins. 300 of them are Blue Power Coins. 500 of them are Yellow Power Coins. How many Power Coins are not Red, Blue, or Yellow?","def solution():
    #The Power Rangers have 1000 Power Coins
    total_power_coins = 1000
    #200 of them are Red Power Coins
    red_power_coins = 200
    #300 of them are Blue Power Coins
    blue_power_coins = 300
    #500 of them are Yellow Power Coins
    yellow_power_coins = 500
    #The answer is
    result = total_power_coins - red_power_coins - blue_power_coins - yellow_power_coins
    return result",0,Power Rangers,llama_q831
815,"12 unicorns ate 12000 apples. 
If 15 unicorns ate 15000 apples, how many apples did 20 unicorns eat?","def solution():
    #12 unicorns ate 12000 apples
    unicorns_12_apples_12000 = 12
    #15 unicorns ate 15000 apples
    unicorns_15_apples_15000 = 15
    #20 unicorns ate
    unicorns_20_apples = 20
    #The answer is
    result = (unicorns_12_apples_12000 * unicorns_15_apples_15000) / unicorns_20_apples
    return result",9.0,unicorns,mathwell_q789
255,"The Teenage Mutant Ninja Turtles have 120 pizzas. 25 of the pizzas are pepperoni, 60 of the pizzas are cheese, and the rest are supreme. How many supreme pizzas do the Teenage Mutant Ninja Turtles have?","def solution():
    #Teenage Mutant Ninja Turtles have 120 pizzas
    pizzas = 120
    #25 of the pizzas are pepperoni
    pizzas_pepperoni = 25
    #60 of the pizzas are cheese
    pizzas_cheese = 60
    #The answer is
    pizzas_supreme = pizzas - pizzas_pepperoni - pizzas_cheese
    return pizzas_supreme",35,Ninja Turtles,mammoth_q255
608,Hello Kitty has 12 pencils. She has 3 more erasers than pencils. How many school supplies does Hello Kitty have in total?,"def solution():
    #Hello Kitty has 12 pencils
    pencils = 12
    #She has 3 more erasers than pencils
    erasers = pencils + 3
    #The answer is
    result = pencils + erasers
    return result",27,Hello Kitty,mathwell_q589
333,"In a lacrosse game, Team A scored 4 goals in the first quarter, 6 goals in the second quarter, and 5 goals in the third quarter. How many goals did Team A score in the first three quarters of the game?","def solution():
    # Team A scored 4 goals in the first quarter, 6 goals in the second quarter, and 5 goals in the third quarter.
    goals_first_quarter = 4
    goals_second_quarter = 6
    goals_third_quarter = 5
    # The total goals scored in the first three quarters is the sum of the goals in each quarter.
    total_goals = goals_first_quarter + goals_second_quarter + goals_third_quarter
    return total_goals",15,lacrosse,mammoth_q333
557,Serena Williams is the #1 tennis player in the world. 5000 people come to each of her matches. She has 10 matches a year. How many people come to her matches in 5 years?,"def solution():
    #Serena Williams has 10 matches a year
    matches_per_year = 10
    #5000 people come to each match
    people_per_match = 5000
    #She has 10 matches a year. The answer is
    result = matches_per_year * people_per_match * 5
    return result",250000,Serena Williams,llama_q555
658,Taylor Swift has 100000 followers on Instagram. She has 50000 more followers on Twitter. She has 100000 followers on TikTok. How many followers does she have on all 3 platforms?,"def solution():
    #Taylor Swift has 100000 followers on Instagram
    instagram_followers = 100000
    #She has 50000 more followers on Twitter
    twitter_followers = 50000
    #She has 100000 followers on TikTok
    tiktok_followers = 100000
    #The answer is
    result = instagram_followers + twitter_followers + tiktok_followers
    return result",250000,Taylor Swift,llama_q655
517,200 cats are at the cat cafe. 30 cats are asleep. 60 cats are eating. 20 cats are playing. 10 cats are grooming. How many cats are doing other things?,"def solution():
    #Total cats
    total_cats = 200
    #Cats asleep
    cats_asleep = 30
    #Cats eating
    cats_eating = 60
    #Cats playing
    cats_playing = 20
    #Cats grooming
    cats_grooming = 10
    #Cats doing other things
    cats_other = total_cats - cats_asleep - cats_eating - cats_playing - cats_grooming
    return cats_other",80,cats,mathwell_q509
1191,A train leaves the station at 10:00 am and travels 500 miles at 60 mph. Another train leaves the station at 11:00 am and travels 300 miles at 75 mph. How many miles will the second train travel before it catches up to the first train?,"def solution():
    #The first train travels 500 miles at 60 mph
    distance_first_train = 500
    speed_first_train = 60
    #The second train travels 300 miles at 75 mph
    distance_second_train = 300
    speed_second_train = 75
    #The answer is
    result = distance_first_train / speed_first_train - distance_second_train / speed_second_train
    return result",4.333333333333334,trains,llama_q1178
1394,10 volleyball players are in a match. 2 more players joined. 50% of the players were eliminated. How many players are left?,"def solution():
    #10 players were in a match
    players_initial = 10
    #2 more players joined
    players_joined = 2
    #50% of the players were eliminated
    players_eliminated = 0.50
    #The answer is
    result = players_initial + players_joined - (players_initial + players_joined) * players_eliminated
    return result",6.0,volleyball,llama_q1377
1169,A bakery baked 120 cookies. 3/4 of the cookies were sold. 1/4 of the unsold cookies were given away. How many cookies were left?,"def solution():
    #A bakery baked 120 cookies
    cookies_baked = 120
    #3/4 of the cookies were sold
    cookies_sold = (3/4) * cookies_baked
    #1/4 of the unsold cookies were given away
    cookies_given_away = (1/4) * (cookies_baked - cookies_sold)
    #The answer is
    result = cookies_baked - cookies_sold - cookies_given_away
    return result",22.5,cookies,llama_q1157
173,Hello Kitty has 24 pencils. She has 3 more pencils than her friend. How many pencils does her friend have?,"def solution():
    #Hello Kitty has 24 pencils
    hello_kitty_pencils = 24
    #She has 3 more pencils than her friend
    friend_pencils = hello_kitty_pencils - 3
    #The answer is
    result = friend_pencils
    return result",21,Hello Kitty,mathwell_q172
117,"In the park, there are 50 dogs. Some are golden retrievers and some are labradors. If there are 3 dogs of each other breed, and 2 golden retrievers for each labrador, how many golden retrievers and how many labradors are there in total?","def solution():
    #50 dogs in total
    dogs = 50
    #3 dogs of each other breed
    dogs_other_breed = dogs / 3
    #2 golden retrievers for each labrador
    golden_retrievers_per_labrador = 2
    #The answer is
    num_golden_retrievers = dogs_other_breed * golden_retrievers_per_labrador
    num_labradors = dogs_other_breed / golden_retrievers_per_labrador
    return num_golden_retrievers, num_labradors","(33.333333333333336, 8.333333333333334)",dogs,llema_q117
1410,"Superman can punch 200 times per minute. 
He punches for 5 minutes, then 200 more times. 
How many punches did he throw?","def solution():
    #Superman can punch 200 times per minute
    punches_per_minute = 200
    #He punches for 5 minutes
    punches_5_minutes = punches_per_minute * 5
    #Then 200 more times
    punches_200_more = 200
    #The answer is
    result = punches_5_minutes + punches_200_more
    return result",1200,Superman,mathwell_q1352
1199,"A candy store has 5000 pieces of candy. 1000 of the pieces are gummy bears, 2000 are chocolate bars, and the rest are a mixture of other candies. How many pieces of candy are not gummy bears or chocolate bars?","def solution():
    #The store has 5000 pieces of candy
    total_candy = 5000
    #1000 of the pieces are gummy bears
    gummy_bears = 1000
    #2000 of the pieces are chocolate bars
    chocolate_bars = 2000
    #The answer is
    result = total_candy - gummy_bears - chocolate_bars
    return result",2000,candy,llama_q1186
196,Taylor Swift's 1989 album sold 1.287 million copies in its first week. Her Red album sold 1.208 million copies in its first week. How many more copies of 1989 did she sell in its first week than Red?,"def solution():
    #Taylor Swift's 1989 album sold 1.287 million copies in its first week
    copies_1989 = 1.287
    #Her Red album sold 1.208 million copies in its first week
    copies_red = 1.208
    #The answer is
    result = copies_1989 - copies_red
    return result",0.07899999999999996,Taylor Swift,llama_q196
457,"Captain Marvel is fighting a villain. The villain has 500 units of health. Captain Marvel's punches deal 10 units of damage each. 

How many punches does Captain Marvel need to defeat the villain?","def solution():
    #The villain has 500 units of health
    villain_health = 500
    #Captain Marvel's punches deal 10 units of damage each
    damage_per_punch = 10
    #The answer is
    result = villain_health // damage_per_punch
    return result",50,Captain Marvel,llama_q457
146,"Pikachu has 100 thunderbolts. He uses 20 thunderbolts on Monday, 30 thunderbolts on Tuesday, and 20 thunderbolts on Wednesday. How many thunderbolts does he have left?","def solution():
    #Pikachu started with 100 thunderbolts
    thunderbolts_initial = 100
    #He used 20 thunderbolts on Monday
    thunderbolts_used_monday = 20
    #He used 30 thunderbolts on Tuesday
    thunderbolts_used_tuesday = 30
    #He used 20 thunderbolts on Wednesday
    thunderbolts_used_wednesday = 20
    #The answer is
    result = thunderbolts_initial - thunderbolts_used_monday - thunderbolts_used_tuesday - thunderbolts_used_wednesday
    return result",30,Pokémon,mathwell_q146
412,A T-Rex is 40 feet long. A Brontosaurus is 20 feet long. How much longer is a T-Rex than a Brontosaurus?,"def solution():
    #A T-Rex is 40 feet long
    t_rex_length = 40
    #A Brontosaurus is 20 feet long
    brontosaurus_length = 20
    #The answer is
    result = t_rex_length - brontosaurus_length
    return result",20,dinosaurs,mathwell_q406
1066,"Black Panther is 6'1"" tall. 12"" is 1 foot. How many inches is Black Panther?","def solution():
    #Black Panther is 6'1"" tall
    #12"" is 1 foot
    #So, 6'1"" is
    #6 feet and 1 inch
    feet = 6
    inches = 1
    #1 foot is 12 inches
    #So, 6 feet is
    feet_to_inches = feet * 12
    #The answer is
    result = feet_to_inches + inches
    return result",73,Black Panther,llama_q1057
1360,Iron Man is 2000 feet in the air. He can fly down to the ground at 1000 feet per second. How many seconds does it take for him to get to the ground?,"def solution():
    #Iron Man is 2000 feet in the air
    height = 2000
    #He can fly down to the ground at 1000 feet per second
    speed = 1000
    #The answer is
    result = height / speed
    return result",2.0,Iron Man,llama_q1345
135,"Iron Man's suit can fly at 2,000,000 mph.  It is 2,841,600 miles from Earth to Jupiter. How long does it take Iron Man's suit to fly from Earth to Jupiter?","def solution():
    #Iron Man's suit flies at 2,000,000 mph
    suit_speed = 2000000
    #It is 2,841,600 miles from Earth to Jupiter
    distance = 2841600
    #The answer is
    result = distance / suit_speed
    return result",1.4208,Iron Man,llema_q135
96,A dog has 4 legs. A cat has 4 legs. A cow has 4 legs. How many legs do the 3 animals have?,"def solution():
    #A dog has 4 legs
    dog_legs = 4
    #A cat has 4 legs
    cat_legs = 4
    #A cow has 4 legs
    cow_legs = 4
    #The answer is
    result = dog_legs + cat_legs + cow_legs
    return result",12,dogs,llama_q96
166,"The T-Rex scored 58 points, the Brachiosaurus scored 63 points, and the Apatosaurus scored 72 points. What is the team score based on those scores?","def solution():
    #The T-Rex scored 58 points
    t_rex = 58
    #And the Brachiosaurus scored 63 points
    brachiosaurus = 63
    #The Apatosaurus scored 72 points.
    apatosaurus = 72
    #The team had a total of
    team_score = t_rex + brachiosaurus + apatosaurus
    return team_score",193,basketball,llema_q166
132,"100 players are playing a game of Fortnite. 20 players are playing on PS4. 30 players are playing on Xbox. 50 players are playing on PC. How many players are not playing on PS4, Xbox, or PC?","def solution():
    #Total players
    total_players = 100
    #Players playing on PS4
    players_ps4 = 20
    #Players playing on Xbox
    players_xbox = 30
    #Players playing on PC
    players_pc = 50
    #The answer is
    result = total_players - players_ps4 - players_xbox - players_pc
    return result",0,Fortnite,llama_q132
1227,"LeBron James, in 2010, was 25 years old. 10 years later, he was 35. 2 years after that, he was 37. How old will he be in 2025?","def solution():
    #LeBron James was 25 in 2010
    lebron_age_2010 = 25
    #10 years later, he was 35
    lebron_age_2020 = lebron_age_2010 + 10
    #2 years after that, he was 37
    lebron_age_2022 = lebron_age_2020 + 2
    #In 2025, he will be
    lebron_age_2025 = lebron_age_2022 + 3
    return lebron_age_2025",40,LeBron James,llama_q1213
492,"Taylor Swift is an American singer-songwriter, and she has 501.21 million YouTube views. A million is 1,000,000. How many hundred-thousands are in her YouTube views?","def solution():
    """"""
    A million is 1,000,000. 
    Taylor Swift is an American singer-songwriter, and she has 501.21 million YouTube views. 
    How many hundred-thousands are in her YouTube views?
    """"""
    #501.21 million YouTube views
    views = 501.21
    #1 million is 1,000,000
    million = 1000000
    #You can multiply by the number of views by a million and then divide by 100,000
    tens_of_thousands = (views * million) // 100000
    result = tens_of_thousands
    return result",5012.0,Taylor Swift,llema_q492
229,"A pizza is cut into 8 slices. 

Jen ate 2 slices of pizza. 

Sarah ate 1/2 as many slices of pizza as Jen. 

How many slices of pizza are left?","def solution():
    #A pizza is cut into 8 slices
    pizza_slices = 8
    #Jen ate 2 slices of pizza
    jen_slices = 2
    #Sarah ate 1/2 as many slices of pizza as Jen
    sarah_slices = jen_slices / 2
    #The answer is
    result = pizza_slices - jen_slices - sarah_slices
    return result",5.0,pizza,mathwell_q226
1252,"There are 100 unicorns in the magical forest. 20 of them are pink, 30 of them are blue, and the rest are white. How many white unicorns are there?","def solution():
    #Total unicorns
    total_unicorns = 100
    #Pink unicorns
    pink_unicorns = 20
    #Blue unicorns
    blue_unicorns = 30
    #The answer is
    result = total_unicorns - pink_unicorns - blue_unicorns
    return result",50,unicorns,mathwell_q1204
1045,"Captain America is 6'2"" tall. 
He is 12 inches taller than 2 of his friends. 
How tall are his friends?","def solution():
    #Captain America is 6'2"" tall
    captain_america_height = 6.2
    #He is 12 inches taller than 2 of his friends
    friends_height = captain_america_height - 12 / 2
    #The answer is
    result = friends_height
    return result",0.20000000000000018,Captain America,mathwell_q1008
413,"Steph Curry has been the MVP in the NBA a record 3 times. Last year he made 73.4% of his shots. If he took a total of 1374 shots, how many did he make?","def solution():
    #First we need to calculate the total number of shots Curry took
    #We only have 2 values, the % of shots he made
    #and the total of shots he took, so this is a proportion problem
    #73.4% of 1374
    total_shots = 1374
    shots_made_as_percent = 0.734
    #Now let's multiply both values by 100 to get an integer value for each
    total_shots *= 100
    shots_made_percent_as_int = shots_made_as_percent * 100
    #If we divide the total shots by 100, we'll get a whole number,
    #and if we divide the sh
    return result",5,Steph Curry,llema_q413
1298,Iron Man has 5000 gold bricks. He uses 2000 of them to build a new suit of armor. He then uses 1000 of the remaining bricks to build a new AI system. How many gold bricks does he have left?,"def solution():
    #Iron Man has 5000 gold bricks
    gold_bricks_initial = 5000
    #He uses 2000 of them to build a new suit of armor
    gold_bricks_suit = 2000
    #He then uses 1000 of the remaining bricks to build a new AI system
    gold_bricks_ai = 1000
    #The answer is
    result = gold_bricks_initial - gold_bricks_suit - gold_bricks_ai
    return result",2000,Iron Man,mathwell_q1247
414,Barbie has 350 pink pearls. She has 50 more pink pearls than white pearls. How many white pearls does Barbie have?,"def solution():
    #Barbie has 350 pink pearls
    pink_pearls = 350
    #She has 50 more pink pearls than white pearls
    white_pearls = pink_pearls - 50
    #The answer is
    result = white_pearls
    return result",300,Barbie,llama_q414
876,A swimmer can swim 2000 meters in 10 minutes. How many meters can the swimmer swim in 20 minutes?,"def solution():
    #A swimmer can swim 2000 meters in 10 minutes
    meters_10_minutes = 2000
    #20 minutes is 1200 seconds
    seconds_20_minutes = 20 * 60
    #The answer is
    result = (meters_10_minutes / 10) * 20
    return result",4000.0,swimming,mathwell_q848
906,"Wonder Woman can lasso 20 criminals in 10 minutes. 
How many criminals can she lasso in 20 minutes?","def solution():
    #Wonder Woman can lasso 20 criminals in 10 minutes
    criminals_10_minutes = 20
    #20 minutes is 2 times 10 minutes
    time_20_minutes = 2
    #The answer is
    result = criminals_10_minutes * time_20_minutes
    return result",40,Wonder Woman,mathwell_q877
706,Captain America leaves the gym and arrives home 20 minutes earlier than usual. He took 5 minutes less time at the gym than usual. How much time did Captain America save by heating the tub to the right temperature?,"def solution():
    # Captain America trains for 2 hours
    total_train_time = 2
    #It takes 20 minutes to heat the tub to the perfect temperature
    tub_heat_time = 20
    #Captain America spends 30 minutes warming up the tub
    tub_warmup_time = 30
    #Captain
    return result",5,Captain America,llema_q704
108,10 unicorns ate 100 apples. 20 unicorns ate 200 carrots. 30 unicorns ate 300 cupcakes. How many total treats did the unicorns eat?,"def solution():
    #10 unicorns ate 100 apples
    unicorns_apples = 10 * 100
    #20 unicorns ate 200 carrots
    unicorns_carrots = 20 * 200
    #30 unicorns ate 300 cupcakes
    unicorns_cupcakes = 30 * 300
    #The answer is
    result = unicorns_apples + unicorns_carrots + unicorns_cupcakes
    return result",14000,unicorns,mathwell_q108
802,Naruto has 1000 ramen noodles. He eats 200 ramen noodles. How many ramen noodles does he have left?,"def solution():
    #Naruto has 1000 ramen noodles
    noodles_initial = 1000
    #He eats 200 ramen noodles
    noodles_eaten = 200
    #The answer is
    result = noodles_initial - noodles_eaten
    return result",800,Naruto,llama_q798
1285,"In a certain town, there are 10 ice cream shops. 3 of them sell chocolate ice cream, 4 of them sell vanilla ice cream, and 2 of them sell strawberry ice cream. How many ice cream shops sell chocolate ice cream?","def solution():
    #Total number of ice cream shops
    total_ice_cream_shops = 10
    #Number of ice cream shops that sell chocolate ice cream
    ice_cream_shops_sell_chocolate = 3
    #Number of ice cream shops that sell vanilla ice cream
    ice_cream_shops_sell_vanilla = 4
    #Number of ice cream shops that sell strawberry ice cream
    ice_cream_shops_sell_strawberry = 2
    #The answer is
    result = ice_cream_shops_sell_chocolate
    return result",3,ice cream,llama_q1270
100,How many years did Serena Williams win the grand slam tournament at Wimbledon before she was defeated by the Williams sisters?,"def solution():
    #Serena Williams won the grand slam in Wimbledon 7 times in her professional career
    serena_winners = 7
    #She was defeated by the Williams sisters twice
    williams_sisters = 2
    #The answer is
    result = serena_winners - williams_sisters
    return result",5,Serena Williams,llema_q100
