,0
10,"{'question': 'Wonder Woman has 100 arrows and 1000 bullets. She needs to use all of her arrows and bullets to fight the bad guys. How many total shots can she make?', 'solution': 'def solution():\n    #Wonder Woman has 100 arrows and 1000 bullets\n    arrows = 100\n    bullets = 1000\n    #The total shots she can make is the sum of the arrows and bullets\n    total_shots = arrows + bullets\n    return total_shots', 'answer': '1100', 'accuracy': 1.0, 'explanation': 'The solution calculates the total shots Wonder Woman can make by correctly adding together the number of arrows and bullets.'}"
11,"
{
  ""question"": ""A trainer has 600 Pokémon. He releases 120 of them and then 30% of the remaining Pokémon. How many Pokémon are left?"",
  ""solution"": ""def solution():\n    # The trainer started with 600 Pokémon\n    pokemon_initial = 600\n    # He released 120 Pokémon\n    pokemon_released = 120\n    # The remaining Pokémon after releasing 120\n    pokemon_remaining_after_release = pokemon_initial - pokemon_released\n    # 30% of the remaining Pokémon were released\n    pokemon_released_after = pokemon_remaining_after_release * 0.3\n    # The remaining Pokémon at the end\n    pokemon_remaining = pokemon_remaining_after_release - pokemon_released_after\n    # The answer is\n    result = pokemon_remaining\n    return result"",
  ""answer"": ""336.0"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the number of remaining Pokémon after the first release by subtracting 120 from the initial 600. It then correctly calculates 30% of the remaining 480 Pokémon and releases those. Finally, it subtracts the 30% released from the remaining Pokémon to arrive at the correct number of Pokémon left, which is 336.""
}
"
12,"{'question': 'Spiderman can climb 200 feet in one minute. How many feet can he climb in 10 minutes?', 'solution': 'def solution():\n    #Spiderman can climb 200 feet in one minute\n    feet_per_minute = 200\n    #He climbs for 10 minutes\n    minutes = 10\n    #The answer is\n    result = feet_per_minute * minutes\n    return result\nprint(solution())', 'answer': '2000', 'accuracy': 1.0, 'explanation': 'The solution correctly multiplies the number of feet Spiderman can climb in one minute by the number of minutes he climbs to calculate the total distance he can climb in 10 minutes.'}"
13,"
{
  ""question"": ""30 people are going to a pizza party. 20 of them are going to eat 3 slices of pizza, 5 of them are going to eat 5 slices of pizza, and the rest of them are going to eat 7 slices of pizza. How many slices of pizza are going to be eaten in total?"",
  ""solution"": ""def solution():\n    #Total people\n    total_people = 30\n    #20 of them are going to eat 3 slices of pizza\n    three_slices_people = 20\n    #5 of them are going to eat 5 slices of pizza\n    five_slices_people = 5\n    #The rest of them are going to eat 7 slices of pizza\n    seven_slices_people = total_people - three_slices_people - five_slices_people\n    #The total number of slices is\n    result = three_slices_people * 3 + five_slices_people * 5 + seven_slices_people * 7\n    return result"",
  ""answer"": ""120"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the number of slices for each group of people and adds them up to get the total number of pizza slices consumed.""
}
"
14,"
{
  ""question"": ""Harry Potter is playing a game of Quidditch. In the game, there are 3 players on the field for each team. Each team has a Keeper, a Seeker, and a Chaser. \n\nThe Keeper's job is to guard the team's goalposts. The Seeker's job is to catch the Golden Snitch, a small flying ball that can earn the team extra points. The Chaser's job is to throw the Quaffle, a larger ball, through the goalposts to score points.\n\nThere are 2 teams playing, so there are a total of 3 players per team * 2 teams = 6 players on the field.\n\nHow many players are playing the game of Quidditch?"", 
  ""solution"": ""def solution():\n\n    # number of players per team\n\n    players_per_team = 3\n\n    # number of teams\n\n    teams = 2\n\n    # total players\n\n    total_players = players_per_team * teams\n\n    return total_players"",
  ""answer"": ""6"",
  ""accuracy"": 0.0,
  ""explanation"": ""The solution incorrectly states that there are 3 players per team. In Quidditch, there are actually 7 players per team: 1 Keeper, 1 Seeker, 2 Beaters, and 3 Chasers. Therefore, with 2 teams, the total players should be 7 players per team * 2 teams = 14 players on the field.""
}
"
15,"{'question': 'LeBron James has 1000 points. He scores 100 points in 2019 and 200 points in 2021. How many points does he have left?', 'solution': 'def solution():\n    #LeBron started with 1000 points\n    points_initial = 1000\n    #He scored 100 points in 2019\n    points_2019 = 100\n    #He scored 200 points in 2021\n    points_2021 = 200\n    #The answer is\n    result = points_initial - points_2019 - points_2021\n    return result', 'answer': '700', 'accuracy': 1.0, 'explanation': 'The solution accurately starts with the initial number of points LeBron had, subtracts the points scored in 2019 and then the points scored in 2021 to give the correct result of how many points he has left.'}"
16,"
{
    ""question"": ""Harry Potter is a wizard. He has 500 spells. 200 of them are in his wand, 100 of them are in his book, and the rest are in his mind. How many spells are in his mind?"",
    ""solution"": ""def solution():\n    #Harry Potter has 500 spells\n    spells = 500\n    #200 of them are in his wand\n    wand_spells = 200\n    #100 of them are in his book\n    book_spells = 100\n    #The answer is\n    result = spells - wand_spells - book_spells\n    return result"",
    ""answer"": ""200"",
    ""accuracy"": 1.0,
    ""explanation"": ""The solution for this question correctly subtracts the number of spells in Harry Potter's wand and in his book from the total number of spells he has, correctly determining the number of spells that are in his mind.""
}
"
17,"{'question': 'Spiderman can shoot 20 webs in 5 minutes. How many webs can he shoot in 10 minutes?', 'solution': 'def solution():\n    # Spiderman shoots 20 webs in 5 minutes\n    webs_per_5_minutes = 20\n    # The answer is\n    result = (webs_per_5_minutes * 10) / 5\n    return result\nprint(solution())', 'answer': '40.0', 'accuracy': 1.0, 'explanation': 'The solution accurately determines the number of webs Spiderman can shoot in 10 minutes by doubling the number of webs he shoots in 5 minutes since 10 minutes is twice the amount of time as 5 minutes.'}"
18,"{'question': 'Black Panther has 50000 vibranium coins. He lost 17500 of them in a robbery. He gave 2500 coins to Storm. How many coins does Black Panther have left?', 'solution': 'def solution():\n    #Black Panther has 50000 vibranium coins\n    black_panther_initial_coins = 50000\n    #He lost 17500 in a robbery\n    lost_robby = 17500\n    #He gave 2500 coins to Storm\n    black_panther_storm = 2500\n    #The answer is\n    result = black_panther_initial_coins - lost_robby - black_panther_storm\n    return result', 'answer': '30000', 'accuracy': 1.0, 'explanation': 'The solution correctly subtracts the number of coins lost in the robbery and the number given to Storm from the initial number of coins to arrive at the correct answer.'}"
19,"
{
  ""question"": ""There are 1000 cars in a parking lot. 200 of them are SUVs. 400 of them are trucks. 100 of them are vans. The rest are sedans. How many sedans are there?"",
  ""solution"": ""def solution():\n    total_cars = 1000\n    suvs = 200\n    trucks = 400\n    vans = 100\n    sedans = total_cars - suvs - trucks - vans\n    return sedans"",
  ""answer"": ""300"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly subtracts the number of specific types of cars (SUVs, trucks, and vans) from the total number of cars to find the number of sedans.""
}
"
20,"
{
  ""question"": ""Mario has 22 coins. He finds 30 more and then loses 12. How many coins does he have at the end?"",
  ""solution"": ""def solution():\n    #Mario started with 22 coins\n    coins_initial = 22\n    #He finds 30 more\n    coins_found = 30\n    #He loses 12\n    coins_lost = 12\n    #The total coins he has is \n    result = coins_initial + coins_found - coins_lost\n    return result"",
  ""answer"": ""40"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly performs the operations in the order stated in the question: starting with the initial coins, adding the coins found, and subtracting the coins lost, resulting in the correct final amount of coins.""
}
"
21,"
{
    ""question"": ""Iron Man ate 100 burgers for lunch and 100 burgers for dinner. How many burgers did Iron Man eat in all?"",
    ""solution"": ""def solution():\n    #Number burgers Iron Man ate for lunch\n    lunch_burgers = 100\n    #Number burgers Iron Man ate for dinner\n    dinner_burgers = 100\n    #Total burgers Iron Man ate\n    burgers = lunch_burgers + dinner_burgers\n    return burgers"",
    ""answer"": ""200"",
    ""accuracy"": 1.0,
    ""explanation"": ""The solution correctly adds the number of burgers Iron Man ate for lunch to the number of burgers he ate for dinner to arrive at the correct total.""
}
"
22,"{'question': 'A fight broke out at the Daily Express. Captain Marvel gets outnumbered and 5 villains are fighting her. She kills 3 of them and puts the rest in jail. How many villains did she kill?', 'solution': 'def solution():\n    #5 villains are fighting her\n    villains_in_fight = 5\n    #3 of them are killed\n    killed_villains = 3\n    #2 are put in jail\n    jail_villains = villains_in_fight - killed_villains\n    #The answer is\n    result = killed_villains\n    return result', 'answer': '3', 'accuracy': 1.0, 'explanation': 'The solution correctly calculates and returns the number of villains Captain Marvel killed, which is simply the number specified in the problem statement.'}"
23,"{'question': 'A car dealership has 20 cars. They sell 10 cars, and then buy 5 more cars. How many cars do they have left?', 'solution': 'def solution():\n    # initial number of cars\n    initial_cars = 20\n    # number of cars sold\n    sold_cars = 10\n    # number of cars bought\n    bought_cars = 5\n    # calculate the remaining cars\n    remaining_cars = initial_cars - sold_cars + bought_cars\n    return remaining_cars', 'answer': '15', 'accuracy': 1.0, 'explanation': 'The solution correctly calculates the remaining cars by subtracting the number of cars sold from the initial number of cars and then adding the number of cars bought.'}"
24,"{'question': 'Steph Curry has 6000 points. He has 2000 more points than LeBron James. How many points does LeBron James have?', 'solution': 'def solution():\n    #Steph Curry has 6000 points\n    steph_points = 6000\n    #He has 2000 more points than LeBron James\n    lebron_points = steph_points - 2000\n    #The answer is\n    result = lebron_points\n    return result', 'answer': '4000', 'accuracy': 1.0, 'explanation': 'The solution correctly identifies and subtracts the 2000 point difference from Steph Curry’s points to determine the number of points LeBron James has, arriving at the correct answer.'}"
25,"{'question': 'If a cookie jar has 12 cookies, and 5 of them are chocolate chip, how many of the cookies are not chocolate chip?', 'solution': 'def solution():\n    # Total number of cookies\n    total_cookies = 12\n    # Number of chocolate chip cookies\n    chocolate_chip_cookies = 5\n    # Number of cookies that are not chocolate chip\n    not_chocolate_chip_cookies = total_cookies - chocolate_chip_cookies\n    return not_chocolate_chip_cookies\nprint(solution())', 'answer': '7', 'accuracy': 1.0, 'explanation': 'The solution defines the total number of cookies in the jar and then subtracts the number of chocolate chip cookies to calculate the number of cookies that are not chocolate chip, resulting in the correct answer.'}"
26,"{'question': 'A bakery baked 100 cookies on Monday. On Tuesday, they baked 150 cookies. On Wednesday, they baked 200 cookies. On Thursday, they baked 100 cookies. How many cookies did they bake?', 'solution': 'def solution():\n    #The bakery baked 100 cookies on Monday\n    cookies_monday = 100\n    #150 cookies on Tuesday\n    cookies_tuesday = 150\n    #200 cookies on Wednesday\n    cookies_wednesday = 200\n    #100 cookies on Thursday\n    cookies_thursday = 100\n    #The answer is\n    result = cookies_monday + cookies_tuesday + cookies_wednesday + cookies_thursday\n    return result', 'answer': '550', 'accuracy': 1.0, 'explanation': 'The solution correctly adds together the number of cookies baked each day from Monday to Thursday to determine the total number of cookies baked.'}"
27,"
{
  ""question"": ""Iron Man has 1000 HP. 100 HP is 10% of Iron Man's max HP. How much HP does Iron Man have at max?"",
  ""solution"": ""def solution():\n    #Iron Man has 1000 HP\n    iron_man_hp = 1000\n    #100 HP is 10% of Iron Man's max HP\n    iron_man_hp_max = iron_man_hp / 0.10\n    #The answer is\n    result = iron_man_hp_max\n    return result"",
  ""answer"": ""10000.0"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly determines that if 100 HP is 10% of Iron Man's max HP, then to find the max HP we need to divide the current HP by the percentage (0.10). The solution thus correctly calculates Iron Man's max HP as 1000 / 0.10 = 10000.""
}
"
28,"
{
  ""question"": ""There are 5 trains on a track. The first train is going 20 miles per hour. The second train is going 10 miles per hour. The third train is going 5 miles per hour. The fourth train is going 2 miles per hour. The fifth train is going 1 mile per hour. How fast is the fifth train going compared to the first train?"",
  ""solution"": ""def solution():\n    #First train is going 20 miles per hour\n    first_train = 20\n    #Second train is going 10 miles per hour\n    second_train = 10\n    #Third train is going 5 miles per hour\n    third_train = 5\n    #Fourth train is going 2 miles per hour\n    fourth_train = 2\n    #Fifth train is going 1 mile per hour\n    fifth_train = 1\n    #The answer is\n    result = first_train - fifth_train\n    return result"",
  ""answer"": ""19"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution calculates the difference in speed between the first train (20 mph) and the fifth train (1 mph), which accurately determines that the fifth train is going 19 mph slower than the first train.""
}
"
29,"{'question': 'Captain Marvel is at a movie premiere. 1000 people are in the front row. 2000 people are in the middle row. 3000 people are in the back row. How many people are at the premiere?', 'solution': 'def solution():\n    #Captain Marvel has 1000 people in the front row\n    front_row_people = 1000\n    #2000 people in the middle row\n    middle_row_people = 2000\n    #3000 people in the back row\n    back_row_people = 3000\n    #The answer is\n    result = front_row_people + middle_row_people + back_row_people\n    return result', 'answer': '6000', 'accuracy': 1.0, 'explanation': 'The solution correctly adds the number of people in the front, middle, and back rows to determine the total number of people at the premiere.'}"
30,"
{
  ""question"": ""Iron Man is a superhero. He can charge himself 2000 times in 10 minutes. How many times can he charge himself in 2 hours?"",
  ""solution"": ""def solution():\n    #Iron Man can charge himself 2000 times in 10 minutes\n    charges_per_10_minutes = 2000\n    #2 hours is 120 minutes\n    minutes_2_hours = 120\n    #The answer is\n    result = (charges_per_10_minutes / 10) * minutes_2_hours\n    return result"",
  ""answer"": ""24000.0"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly determines the number of times Iron Man can charge himself in 2 hours by calculating the charges per minute and multiplying by the total number of minutes in 2 hours.""
}
"
31,"
{
  ""question"": ""Patrick Mahomes has 24 touchdown passes. 12 of them are in the first half, 7 of them are in the second half, and the rest are in overtime. How many touchdown passes does Patrick Mahomes have in overtime?"",
  ""solution"": ""def solution():\n    #Patrick Mahomes has 24 touchdown passes\n    total_touchdowns = 24\n    #12 of them are in the first half\n    first_half_touchdowns = 12\n    #7 of them are in the second half\n    second_half_touchdowns = 7\n    #The rest are in overtime. The answer is\n    overtime_touchdowns = total_touchdowns - first_half_touchdowns - second_half_touchdowns\n    return overtime_touchdowns"",
  ""answer"": ""5"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution provided is accurate. It subtracts the touchdown passes in the first half and the second half from the total touchdown passes to determine the number of touchdown passes in overtime.""
}
"
32,"
{
  ""question"": ""Batman has 5000 Joker coins, 2000 Batman coins, and 7000 Poison Ivy coins. He wants to distribute them to three different Joker's henchmen. He gives 1/3 of his Joker coins, 2/5 of his Batman coins, and 2/3 of his Poison Ivy coins to each of the Joker's henchmen. How many Joker coins does each Joker's henchman get?"",
  ""solution"": ""def solution():\n    #Batman has 5000 Joker coins\n    joker_coins_total = 5000\n    #Batman gives 1/3 of his Joker coins\n    joker_coins_given = joker_coins_total / 3\n    #The answer is\n    result = joker_coins_given\n    return result"",
  ""answer"": ""1666.6666666666667"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the number of Joker coins each Joker's henchman receives by dividing the total number of Joker coins by 3, with no rounding specified by the problem.""
}
"
33,"
{
  ""question"": ""Taylor Swift has 200 albums. She gave 25 to her best friend and 50 to her little sister. How many albums does she have left?"",
  ""solution"": ""def solution():\n    #Taylor Swift started with 200 albums\n    albums_initial = 200\n    #She gave 25 to her best friend\n    albums_given_friend = 25\n    #And 50 to her little sister\n    albums_given_sister = 50\n    #The answer is\n    result = albums_initial - albums_given_friend - albums_given_sister\n    return result"",
  ""answer"": ""125"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the number of albums left by starting with the initial number of albums and subtracting the amounts given to both her best friend and little sister.""
}
"
34,"{'question': 'Barbie wants to buy 100 scoops of ice cream. She wants to buy 30 scoops of vanilla, 20 scoops of chocolate, and 15 scoops of strawberry. How many scoops of ice cream does she have left to buy?', 'solution': 'def solution():\n    #Barbie wants to buy 100 scoops of ice cream\n    total_scoops = 100\n    #30 scoops of vanilla\n    vanilla_scoops = 30\n    #20 scoops of chocolate\n    chocolate_scoops = 20\n    #15 scoops of strawberry\n    strawberry_scoops = 15\n    #The answer is\n    result = total_scoops - vanilla_scoops - chocolate_scoops - strawberry_scoops\n    return result', 'answer': '35', 'accuracy': 1.0, 'explanation': 'The solution correctly subtracts the total number of specific scoops of ice cream (vanilla, chocolate, and strawberry) from the total scoops Barbie wants to buy, leading to the correct remaining number of scoops left to buy.'}"
35,"
{
  ""question"": ""Steph Curry made 1000 3-pointers in 2019. He made 1100 3-pointers in 2020. How many 3-pointers did Steph Curry make in 2019 and 2020?"",
  ""solution"": ""def solution():\n    #Steph Curry made 1000 3-pointers in 2019\n    steph_3_pointers_2019 = 1000\n    #He made 1100 3-pointers in 2020\n    steph_3_pointers_2020 = 1100\n    #The answer is\n    result = steph_3_pointers_2019 + steph_3_pointers_2020\n    return result"",
  ""answer"": ""2100"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly adds the number of 3-pointers made by Steph Curry in 2019 to the number of 3-pointers made in 2020 to arrive at the total number of 3-pointers made across both years.""
}
"
36,"
{
  ""question"": ""Taylor Swift has 1000 followers on Twitter. She has 2000 followers on Instagram. She has 3000 followers on TikTok. How many followers does she have in total?"", 
  ""solution"": ""def solution():\n    #Taylor Swift has 1000 followers on Twitter\n    twitter_followers = 1000\n    #She has 2000 followers on Instagram\n    instagram_followers = 2000\n    #She has 3000 followers on TikTok\n    tiktok_followers = 3000\n    #The answer is\n    result = twitter_followers + instagram_followers + tiktok_followers\n    return result"", 
  ""answer"": ""6000"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly adds the number of followers on Twitter, Instagram, and TikTok to arrive at the total number of followers.""
}
"
37,"{
  'question': 'The cheerleading squad has 15 members. 10 of the members are girls. How many boys are on the squad?', 
  'solution': 'def solution():\n    #The cheerleading squad has 15 members\n    squad_members = 15\n    #10 of the members are girls\n    girls = 10\n    #The answer is\n    result = squad_members\n    return result', 
  'answer': '15', 
  'accuracy': 0.0, 
  'explanation': 'The solution incorrectly returns the total number of squad members, but it does not subtract the number of girls to find out how many boys are on the squad. The correct result should be the number of squad members minus the number of girls, which is 15 - 10 = 5 boys.'
}"
38,"{'question': 'Serena Williams can run 1000 meters in 2 hours. How many meters can she run in 10 hours?', 'solution': 'def solution():\n    #Serena Williams can run 1000 meters in 2 hours\n    meters_run_2_hours = 1000\n    #The answer is\n    result = meters_run_2_hours * 5\n    return result', 'answer': '5000', 'accuracy': 1.0, 'explanation': 'The solution arrived at by the provided Python function is accurate. The function correctly calculates that if Serena Williams can run 1000 meters in 2 hours, then in 10 hours, which is 5 times 2 hours, she would indeed run 5 times as many meters, totaling 5000 meters.'}"
39,"
{
  ""question"": ""There were 10000 dogs in a town. 2000 of them left. 1000 more dogs came. 2000 of the dogs that left returned. How many dogs are there now?"",
  ""solution"": ""def solution():\n    #10000 dogs were in a town\n    dogs_initial = 10000\n    #2000 of them left\n    dogs_left = 2000\n    #1000 more dogs came\n    dogs_came = 1000\n    #2000 of the dogs that left returned\n    dogs_returned = 2000\n    #The answer is\n    result = dogs_initial - dogs_left + dogs_came + dogs_returned\n    return result"",
  ""answer"": ""11000"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly subtracts the dogs that left, adds the new dogs that came, and adds the dogs that returned to the initial count, resulting in the correct final number of dogs.""
}
"
40,"
{
  ""question"": ""There are 100 dogs at the park. 20% of the dogs are big dogs, 30% of the dogs are medium dogs, and the rest are small dogs. How many of the dogs are small dogs?"",
  ""solution"": ""def solution():\n    #There are 100 dogs at the park\n    dogs = 100\n    #20% of the dogs are big dogs\n    big_dogs = dogs * 0.2\n    #30% of the dogs are medium dogs\n    medium_dogs = dogs * 0.3\n    #The rest are small dogs\n    small_dogs = dogs - big_dogs - medium_dogs\n    #The answer is\n    result = small_dogs\n    return result"",
  ""answer"": ""50.0"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the number of big dogs as 20% of 100 dogs which gives 20 dogs, and medium dogs as 30% of 100 dogs which gives 30 dogs. Then it correctly calculates the rest of the dogs as small dogs by subtracting the number of big and medium dogs from the total, which leaves 50 dogs as small dogs.""
}
"
41,"{'question': 'Spider-Man has 100 pieces of candy. 30 of them are gummy bears, 20 of them are lollipops, and the rest are gumballs. How many gumballs does Spider-Man have?', 'solution': 'def solution():\n    #Spider-Man has 100 pieces of candy\n    candy = 100\n    #30 of them are gummy bears\n    gummy_bears = 30\n    #20 of them are lollipops\n    lollipops = 20\n    #The rest are gumballs\n    gumballs = candy - gummy_bears - lollipops\n    return gumballs', 'answer': '50', 'accuracy': 1.0, 'explanation': 'The solution is accurate as it correctly subtracts the number of gummy bears and lollipops from the total number of candy pieces to calculate the number of gumballs.'}"
42,"
{
    ""question"": ""A volleyball team played 10 games this season. They won 6 games and lost 4 games. How many games did they win?"",
    ""solution"": ""def solution():\n    #A volleyball team played 10 games this season\n    games_played = 10\n    #They won 6 games and lost 4 games\n    wins = 6\n    losses = 4\n    #The answer is\n    result = wins\n    return result"",
    ""answer"": ""6"",
    ""accuracy"": 1.0,
    ""explanation"": ""The solution is accurate because it directly uses the value provided for the number of wins (6) which matches the solution required by the question.""
}
"
43,"
{
  ""question"": ""Steph Curry can make 100 shots in 1.5 minutes. \nHow many shots can he make in 5 minutes?"",
  ""solution"": ""def solution():\n    #Steph Curry can make 100 shots in 1.5 minutes\n    shots_per_minute = 100 / 1.5\n    #He can make\n    shots_in_5_minutes = shots_per_minute * 5\n    #The answer is\n    result = shots_in_5_minutes\n    return result"",
  ""answer"": ""333.33333333333337"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the rate of shots per minute by dividing 100 shots by 1.5 minutes. It then multiplies the rate of shots per minute by 5 minutes to find out how many shots can be made in 5 minutes, arriving at the right answer.""
}
"
44,"{
    'question': 'A field hockey team has 6 players. 3 of the players are 15 years old. 2 of the players are 16. 1 of the players is 14. How many years old is the average player on the team?', 
    'solution': 'def solution():\n    #Number of 15-year-old players\n    players_15 = 3\n    #Number of 16-year-old players\n    players_16 = 2\n    #Number of 14-year-old players\n    players_14 = 1\n    #Total number of players\n    total_players = players_15 + players_16 + players_14\n    #Total age of all players\n    total_age = players_15 * 15 + players_16 * 16 + players_14 * 14\n    #Average age of all players\n    average_age = total_age / total_players\n    return average_age', 
    'answer': '15.166666666666666',
    'accuracy': 1.0, 
    'explanation': 'The solution correctly calculates the total age of all players by multiplying each group of players by their respective ages and sums those up to get the total age. Then, it divides the total age by the total number of players to arrive at the correct average age.'
}"
