,Question Number,Solution
324,question_328,359
325,question_329,176
326,question_330,207
327,question_331,67
328,question_332,163
329,question_333,47
330,question_334,151
331,question_335,834
332,question_336,705
333,question_337,68
334,question_338,276
335,question_339,139
336,question_340,240
337,question_341,120
338,question_342,405
339,question_343,180
340,question_344,164
341,question_345,117
342,question_346,109
343,question_347,139
344,question_348,98
345,question_349,11
346,question_350,735
347,question_351,385
348,question_352,25
349,question_353,91
350,question_354,48
351,question_355,45
352,question_356,182
353,question_357,69
354,question_358,125
355,question_359,174
356,question_360,68
357,question_361,90
358,question_362,136
359,question_363,166
360,question_364,347
361,question_365,230
362,question_366,225
363,question_367,315
364,question_368,1430
365,question_369,262
366,question_370,12
367,question_371,12
368,question_372,25
369,question_373,16
370,question_374,45
371,question_375,49
372,question_376,40
373,question_377,54
374,question_378,56
375,question_379,12
376,question_380,20
377,question_381,30
378,question_382,72
379,question_383,14
380,question_384,15
381,question_385,21
382,question_386,36
383,question_387,40
384,question_388,18
385,question_389,63
386,question_390,45
387,question_391,35
388,question_392,54
389,question_393,72
390,question_394,8
391,question_395,16
392,question_396,12
393,question_397,81
394,question_398,9
395,question_399,42
396,question_400,100
397,question_401,50
398,question_402,90
399,question_403,350
400,question_404,800
401,question_405,60
402,question_406,320
403,question_407,540
404,question_408,70
405,question_409,300
406,question_410,480
407,question_411,150
408,question_412,80
409,question_413,270
410,question_414,140
411,question_415,180
412,question_416,210
413,question_417,400
414,question_418,240
415,question_419,100
416,question_420,270
417,question_421,160
418,question_422,250
419,question_423,490
420,question_424,480
421,question_425,490
422,question_426,120
423,question_427,60
424,question_428,320
425,question_429,630
426,question_430,455
427,question_431,738
428,question_432,504
429,question_433,488
430,question_434,14280
431,question_435,360
432,question_436,1876
433,question_437,498
434,question_438,2916
435,question_439,6835
436,question_440,203
437,question_441,1050
438,question_442,512
439,question_443,1424
440,question_444,7305
441,question_445,308
442,question_446,984
443,question_447,140
444,question_448,2268
445,question_449,6538
446,question_450,81
447,question_451,1415
448,question_452,2952
449,question_453,136.0
450,question_454,9794
451,question_455,3824
452,question_456,441
453,question_457,3962
454,question_458,198
455,question_459,3285
456,question_460,10.0
457,question_461,12.0
458,question_462,7.0
459,question_463,8.0
460,question_464,9.0
461,question_465,60.0
462,question_466,6.0
463,question_467,4.0
464,question_468,20.0
465,question_469,7.0
466,question_470,5.0
467,question_471,9.0
468,question_472,7.0
469,question_473,9
470,question_474,10.0
471,question_475,8.0
472,question_476,7.0
473,question_477,8.0
474,question_478,9.0
475,question_479,7.0
476,question_480,11.0
477,question_481,10.0
478,question_482,12.0
479,question_483,6.0
480,question_484,7.0
481,question_485,6.0
482,question_486,7.0
483,question_487,9.0
484,question_488,8.0
485,question_489,4.0
486,question_490,5
487,question_491,3
488,question_492,23.0
489,question_493,40.0
490,question_494,17
491,question_495,0.0
492,question_496,14.0
493,question_497,24.0
494,question_498,11
495,question_499,6
496,question_500,21.0
497,question_501,35
498,question_502,13
499,question_503,0.0
500,question_504,34.0
501,question_505,25.5
502,question_506,8.25
503,question_507,2.5
504,question_508,2
505,question_509,3
506,question_510,1
507,question_511,12.0
508,question_512,12.0
509,question_513,14.0
510,question_514,20
511,question_515,13.0
512,question_516,91
513,question_517,3
514,question_518,6.5
515,question_519,22
516,question_520,13.25
517,question_521,345
518,question_522,217
519,question_523,2327
520,question_524,52
521,question_525,13
522,question_526,22
523,question_527,23
524,question_528,62
525,question_529,63
526,question_530,18
527,question_531,92
528,question_532,460
529,question_533,4764
530,question_534,332
531,question_535,436
532,question_536,703
533,question_537,1540
534,question_538,2448
535,question_539,33
536,question_540,432
537,question_541,522.0
538,question_542,196
539,question_543,780
540,question_544,45552
541,question_545,5
542,question_546,8
543,question_547,6003
544,question_548,168
545,question_549,420
546,question_550,8484
547,question_551,2250
548,question_552,46
549,question_553,210
550,question_554,1396
551,question_555,11676
552,question_556,629
553,question_557,17408
554,question_558,20
555,question_559,46
556,question_560,3.0
557,question_561,3000
558,question_562,5.666666666666667
559,question_563,6.0
560,question_564,13.0
561,question_565,96
562,question_566,30.0
563,question_567,15.0
564,question_568,60
565,question_569,100
566,question_570,28
567,question_571,5.0
568,question_572,21
569,question_573,1200
570,question_574,3.3333333333333335
571,question_575,400
572,question_576,21.0
573,question_577,20.0
574,question_578,7
575,question_579,29.0
576,question_580,288
577,question_581,2205
578,question_582,720
579,question_583,6.222222222222222
580,question_584,63.0
581,question_585,323
582,question_586,48
583,question_587,1110
584,question_588,220
585,question_589,12.0
586,question_590,688
587,question_591,426
588,question_592,162.0
589,question_593,13.0
590,question_594,326
591,question_595,45
592,question_596,99
593,question_597,776
594,question_598,208
595,question_599,709
596,question_600,128
597,question_601,498
598,question_602,486
599,question_603,0.7199999999999998
600,question_604,4.62
601,question_605,9
602,question_606,12.0
603,question_607,1250
604,question_608,1.3599999999999999
605,question_609,8243
606,question_610,1.2
607,question_611,3264
608,question_612,3750
609,question_613,360
610,question_614,372
611,question_615,5
612,question_616,7827
613,question_617,204
614,question_618,75
615,question_619,-39
616,question_620,48
617,question_621,296
618,question_622,242
619,question_623,24
620,question_624,18
621,question_625,66018
622,question_626,6.0
623,question_627,1.25
624,question_628,7.0
625,question_629,5.714285714285714
626,question_630,5
627,question_631,68
628,question_632,B
629,question_633,44
630,question_634,2
631,question_635,4.0
632,question_636,26
633,question_637,21.0
634,question_638,432
635,question_639,120
636,question_640,280
637,question_641,68
638,question_642,159
639,question_643,243
640,question_644,121
641,question_645,273
642,question_646,112
643,question_647,218
644,question_648,1035
645,question_649,42
646,question_650,46
647,question_651,48
648,question_652,56
649,question_653,12
650,question_654,7.949999999999998
651,question_655,102
652,question_656,1
653,question_657,1
654,question_658,0.6499999999999986
655,question_659,25
656,question_660,7
657,question_661,16
658,question_662,170
659,question_663,17
660,question_664,4.699999999999999
661,question_665,30
662,question_666,76
663,question_667,15
664,question_668,7
665,question_669,12.333333333333334
666,question_670,17.5
667,question_671,2
668,question_672,22.25
669,question_673,5
670,question_674,4.0
671,question_675,832
672,question_676,832
673,question_677,210
674,question_678,27
675,question_679,83.2
676,question_680,480.0
677,question_681,15.022222222222222
678,question_682,4400.0
679,question_683,190.8
680,question_684,15840
681,question_685,8
682,question_686,4
683,question_687,2
684,question_688,4
685,question_689,2
686,question_690,4
687,question_691,7
688,question_692,3
689,question_693,85
690,question_694,40
691,question_695,71
692,question_696,10
693,question_697,33
694,question_698,32
695,question_699,40
696,question_700,57
697,question_701,18
698,question_702,10
699,question_703,46
700,question_704,56
701,question_705,83
702,question_706,43
703,question_707,66
704,question_708,46
705,question_709,25
706,question_710,46
707,question_711,22
708,question_712,30
709,question_713,29
710,question_714,23
711,question_715,44
712,question_716,22
713,question_717,32
714,question_718,16
715,question_719,41
716,question_720,29
717,question_721,39
718,question_722,58
719,question_723,48
720,question_724,13
721,question_725,14
722,question_726,22
723,question_727,5
724,question_728,9
725,question_729,4
726,question_730,10
727,question_731,14
728,question_732,10
729,question_733,8
730,question_734,7
731,question_735,10
732,question_736,7
733,question_737,11
734,question_738,22
735,question_739,12
736,question_740,14
737,question_741,8
738,question_742,8
739,question_743,9
740,question_744,76
741,question_745,83
742,question_746,52
743,question_747,71
744,question_748,51
745,question_749,93
746,question_750,99
747,question_751,55
748,question_752,57
749,question_753,7.142857142857143
750,question_754,172
751,question_755,11
752,question_756,42
753,question_757,12.357142857142858
754,question_758,0
755,question_759,15.5
756,question_760,0
757,question_761,193.55555555555554
758,question_762,10
759,question_763,18.25
760,question_764,4
761,question_765,25
762,question_766,1182
763,question_767,13.166666666666666
764,question_768,0
765,question_769,12.391304347826088
766,question_770,0
767,question_771,22.75
768,question_772,696
769,question_773,6
770,question_774,46.375
771,question_775,9.5
772,question_776,1
773,question_777,9.555555555555555
774,question_778,5
775,question_779,3.5
776,question_780,38.5
777,question_781,3.22
778,question_782,0.0
779,question_783,8.8
780,question_784,4
781,question_785,4
782,question_786,-418
783,question_787,5
784,question_788,4
785,question_789,7.714285714285714
786,question_790,46.285714285714285
787,question_792,2
788,question_793,15
789,question_794,1
790,question_795,6
791,question_797,8.133333333333333
792,question_798,2
793,question_799,9
794,question_800,10
795,question_801,9
796,question_802,2
797,question_803,51
798,question_804,0.0
799,question_805,1
800,question_806,1
801,question_807,19.8
802,question_808,20
803,question_809,13
804,question_810,2
805,question_811,16.153846153846153
806,question_812,530
807,question_813,2
808,question_814,-11
809,question_815,0.5238095238095237
810,question_816,-76.5
811,question_817,123
812,question_818,-1.7142857139999998
813,question_819,23.466666666666665
814,question_820,121
815,question_821,22
816,question_822,32.230000000000004
817,question_823,18
818,question_824,Sara has the taller dog.
819,question_825,John
820,question_826,Harry has the longer wand
821,question_827,John is taller
822,question_828,Alex has the smaller schoolbag.
823,question_829,Jim
824,question_830,Jimmy bed is longer
825,question_831,2600
826,question_832,40.0
827,question_835,75.0
828,question_838,8:15
829,question_839,1:05
830,question_840,1:13
831,question_841,03:05
832,question_842,730
833,question_845,09:24
834,question_846,9:35
835,question_847,43.07
836,question_848,14.57
837,question_849,0.8333333333333334
838,question_850,0.75
839,question_851,2
840,question_852,0.6666666666666666
841,question_853,0.75
842,question_854,0.6666666666666666
843,question_855,0.6
844,question_856,0.9
845,question_857,1.4166666666666667
846,question_858,0.4
847,question_859,0.8571428571428571
848,question_860,0.75
849,question_861,18
850,question_862,72
851,question_863,-8.80000000000000
852,question_864,24.0
853,question_865,-5
854,question_866,"40
20
16"
855,question_867,60
856,question_870,48
857,question_871,2
858,question_872,9
859,question_873,1
860,question_874,48
861,question_875,77
862,question_876,26
863,question_877,35
864,question_878,60
865,question_879,1
866,question_880,38
867,question_881,36
868,question_882,14
869,question_883,21
870,question_884,6
871,question_885,8
872,question_886,28
873,question_887,15
874,question_888,75
875,question_889,36
876,question_891,44/3
877,question_892,18
878,question_893,-7
879,question_894,14
880,question_895,24
881,question_896,34
882,question_897,64
883,question_898,29
884,question_899,60.0
885,question_900,10.0
886,question_901,15
887,question_903,50
888,question_904,-5
889,question_905,4
890,question_906,-34
891,question_907,76
892,question_908,37
893,question_909,12.0
894,question_910,62
895,question_911,15
896,question_912,23
897,question_913,30
898,question_914,82
899,question_915,53
900,question_916,7
901,question_917,60
902,question_918,18
903,question_919,28
904,question_920,27
905,question_921,49
906,question_922,544
907,question_923,8
908,question_924,39
909,question_925,1825
910,question_926,28
911,question_927,23
912,question_928,7
913,question_929,2
914,question_930,62
915,question_931,43
916,question_932,76
917,question_933,76
918,question_934,27
919,question_935,80
920,question_936,48
921,question_937,40
922,question_938,26
923,question_939,12
924,question_940,78
925,question_941,19
926,question_942,64
927,question_943,87
928,question_944,94
929,question_945,75
930,question_946,68
931,question_947,41
932,question_948,78
933,question_949,82
934,question_950,25
935,question_951,31
936,question_952,41
937,question_953,14
938,question_954,38
939,question_955,19
940,question_956,60
941,question_957,62
942,question_958,19
943,question_959,40
944,question_960,37
945,question_961,35
946,question_962,71
947,question_963,79
948,question_964,15
949,question_965,93
950,question_966,74
951,question_967,9
952,question_968,4
953,question_970,6
954,question_971,5
955,question_972,3
956,question_973,7
957,question_974,3
958,question_975,9
959,question_977,40
960,question_978,0
961,question_979,4
962,question_980,1
963,question_981,19
964,question_982,37
965,question_983,12
966,question_984,40
967,question_985,74
968,question_986,35
969,question_987,18
970,question_988,51
971,question_989,31
972,question_990,22
973,question_991,42
974,question_992,58
975,question_993,22
976,question_994,14
977,question_995,77
978,question_996,8
979,question_997,17
980,question_998,41
981,question_999,91
982,question_1000,26
983,question_1001,25
984,question_1002,16
985,question_1003,19
986,question_1004,25
987,question_1005,75
988,question_1006,21
989,question_1007,14
990,question_1008,8
991,question_1009,64
992,question_1010,58
993,question_1011,67
994,question_1012,44
995,question_1013,17
996,question_1014,42
997,question_1015,65
998,question_1016,18
999,question_1017,16
1000,question_1018,42
1001,question_1019,82
1002,question_1020,36
1003,question_1021,48
1004,question_1022,78
1005,question_1023,91
1006,question_1024,36
1007,question_1025,92
1008,question_1026,33
1009,question_1027,30
1010,question_1028,14
1011,question_1029,34
1012,question_1030,62
1013,question_1031,54
1014,question_1032,57
1015,question_1033,19
1016,question_1034,8
1017,question_1035,49
1018,question_1037,70
1019,question_1038,47
1020,question_1039,53
1021,question_1040,94
1022,question_1041,59
1023,question_1042,38
1024,question_1043,40
1025,question_1044,9
1026,question_1045,Men's team
1027,question_1046,10
1028,question_1047,Lisa's team
1029,question_1048,Shannon
1030,question_1050,Mrs. Doyle's class
1031,question_1051,0.5
1032,question_1052,15
1033,question_1053,Daniel
1034,question_1054,Cora
1035,question_1055,Last year
1036,question_1056,Jesse's class
1037,question_1057,1.5
1038,question_1058,0.8
1039,question_1059,First stop
1040,question_1060,westford
1041,question_1061,Second day
1042,question_1062,Georgetown Middle School
1043,question_1063,24
1044,question_1064,128
1045,question_1065,92
1046,question_1066,40
1047,question_1067,17
1048,question_1068,38
1049,question_1069,12
1050,question_1070,59
1051,question_1071,5
1052,question_1072,2160
1053,question_1073,-3/2 + sqrt(129)/2
1054,question_1074,156
1055,question_1075,15
1056,question_1076,15
1057,question_1077,29
1058,question_1078,59
1059,question_1079,12
1060,question_1080,64
1061,question_1081,56
1062,question_1082,53
1063,question_1083,1
1064,question_1084,2.5
1065,question_1085,120
1066,question_1086,1121
1067,question_1087,2/5
1068,question_1088,8318
1069,question_1089,1059955
1070,question_1090,11760
1071,question_1091,1102609
1072,question_1092,334
1073,question_1093,4500
1074,question_1094,145
1075,question_1095,3550.0
1076,question_1096,3200.6666666666665
1077,question_1097,11.7
1078,question_1098,12.5
1079,question_1099,-82.82
1080,question_1100,21.9
1081,question_1101,0.0782
1082,question_1102,-38
1083,question_1103,3.6
1084,question_1104,0.5249999999999999
1085,question_1105,7000.0
1086,question_1106,468.0
1087,question_1107,179.99999999999997
1088,question_1108,1750
1089,question_1109,81
1090,question_1110,2014-12-24 23:55:00
1091,question_1111,50.0000000000000
1092,question_1112,8.0
1093,question_1113,18
1094,question_1114,12
1095,question_1115,-45.0
1096,question_1116,32
1097,question_1117,27
1098,question_1119,24.0
1099,question_1120,12.0000000000000
1100,question_1121,28
1101,question_1122,200
1102,question_1123,21.0
1103,question_1124,20
1104,question_1125,24
1105,question_1126,245
1106,question_1127,18.0
1107,question_1128,42.0000000000000
1108,question_1129,-18.0000000000000
1109,question_1130,68.5714285714286
1110,question_1131,0.6
1111,question_1132,210.0
1112,question_1133,116
1113,question_1134,12.5
1114,question_1135,15.0
1115,question_1136,0.6129032258064516
1116,question_1137,13.0
1117,question_1138,2.857142857142857
1118,question_1139,1.2222222222222223
1119,question_1140,0.21951219512195122
1120,question_1141,0.14
1121,question_1142,1.4666666666666666
1122,question_1143,0.8461538461538461
1123,question_1144,0.20930232558139536
1124,question_1145,0.14285714285714285
1125,question_1146,0.6470588235294118
1126,question_1147,13.5
1127,question_1148,0.21428571428571427
1128,question_1149,0.15384615384615385
1129,question_1150,500.0
1130,question_1151,-0.5600000000000005
1131,question_1152,4
1132,question_1153,4.20025
1133,question_1154,3.049999999999999
1134,question_1155,13.0
1135,question_1156,519.0
1136,question_1157,-562
1137,question_1158,3400
1138,question_1160,Clara
1139,question_1161,Mabel
1140,question_1162,Adams County College
1141,question_1163,Leon
1142,question_1164,0.8
1143,question_1165,History
1144,question_1166,Yardley
1145,question_1167,4
1146,question_1168,0.6666666666666666
1147,question_1169,Ivan had a higher ratio of time spent watching TV to time spent reading.
1148,question_1170,21
1149,question_1171,9
1150,question_1172,6
1151,question_1173,75
1152,question_1174,64
1153,question_1175,12
1154,question_1176,38
1155,question_1177,128
1156,question_1178,4899
1157,question_1179,4
1158,question_1180,60
1159,question_1181,15
1160,question_1182,107
1161,question_1183,60
1162,question_1184,119
1163,question_1185,117
1164,question_1186,13
1165,question_1187,6
1166,question_1188,4
1167,question_1189,7
1168,question_1190,5
1169,question_1191,8
1170,question_1192,13
1171,question_1193,7
1172,question_1194,9
1173,question_1195,11
1174,question_1196,5
1175,question_1197,4
1176,question_1198,8
1177,question_1199,6
1178,question_1200,7
1179,question_1201,2
1180,question_1202,5
1181,question_1203,2
1182,question_1204,8
1183,question_1205,4
1184,question_1206,3
1185,question_1207,6.0
1186,question_1208,18
1187,question_1209,9
1188,question_1210,6
1189,question_1211,4
1190,question_1212,2
1191,question_1213,234
1192,question_1214,8
1193,question_1215,8
1194,question_1217,119
1195,question_1218,18
1196,question_1219,52
1197,question_1221,11
1198,question_1222,3
1199,question_1223,15
1200,question_1224,8
1201,question_1225,22
1202,question_1226,84
1203,question_1227,5
1204,question_1228,90
1205,question_1229,70
1206,question_1230,171
1207,question_1231,41
1208,question_1232,1
1209,question_1233,2
1210,question_1234,27
1211,question_1235,1
1212,question_1236,9
1213,question_1237,3.5
1214,question_1238,5.5
1215,question_1239,1
1216,question_1240,1
1217,question_1241,0.0
1218,question_1242,2
1219,question_1243,-10.5
1220,question_1244,3
1221,question_1245,15.6
1222,question_1246,0.0
1223,question_1247,-6
1224,question_1248,-12
1225,question_1249,0
1226,question_1250,22
1227,question_1251,3
1228,question_1252,2
1229,question_1253,3
1230,question_1254,2
1231,question_1255,2
1232,question_1256,11
1233,question_1257,13
1234,question_1258,34
1235,question_1259,64
1236,question_1260,38
1237,question_1261,7
1238,question_1262,16
1239,question_1263,7
1240,question_1264,2
1241,question_1265,71
1242,question_1266,2
1243,question_1267,64
1244,question_1268,13
1245,question_1269,32
1246,question_1270,59
1247,question_1271,11
1248,question_1272,-11
1249,question_1273,3
1250,question_1274,8
1251,question_1275,10
1252,question_1276,15
1253,question_1277,12
1254,question_1278,54
1255,question_1279,7
1256,question_1280,10
1257,question_1281,12
1258,question_1282,21
1259,question_1283,13
1260,question_1284,0
1261,question_1285,1
1262,question_1286,10
1263,question_1287,12
1264,question_1288,11
1265,question_1289,57
1266,question_1290,1
1267,question_1291,85
1268,question_1292,71
1269,question_1293,126
1270,question_1294,5/2
1271,question_1295,29/6
1272,question_1296,-3
1273,question_1297,"(26, 18, 16)"
1274,question_1298,20
1275,question_1299,20
1276,question_1300,3.0
1277,question_1301,19
1278,question_1302,5
1279,question_1304,-1
1280,question_1305,20
1281,question_1306,"(5, 15)"
1282,question_1308,9/2
1283,question_1309,7/3 10/3 13/3
1284,question_1310,5
1285,question_1311,0
1286,question_1312,81
1287,question_1313,191
1288,question_1314,16
1289,question_1315,32
1290,question_1316,8
1291,question_1317,45
1292,question_1318,6
1293,question_1319,8/13
1294,question_1320,48
1295,question_1321,9
1296,question_1324,45
1297,question_1326,11.5
1298,question_1327,0.42857142857142855
1299,question_1328,14 84
1300,question_1329,-0.500000000000000 -1.50000000000000
1301,question_1330,-1/3
1302,question_1331,5
1303,question_1332,2
1304,question_1333,4.0
1305,question_1335,"6
15"
1306,question_1336,18.0
1307,question_1337,25.0
1308,question_1338,8.0
1309,question_1340,45.0
1310,question_1341,7.0
1311,question_1342,63.0
1312,question_1343,17
1313,question_1344,128.0
1314,question_1345,12.0
1315,question_1346,"[30.0, 60.0, 90.0]"
1316,question_1347,40
1317,question_1348,16
1318,question_1349,3139.337624551499
1319,question_1350,8.0
1320,question_1351,65.0
1321,question_1352,12.400000000000006
1322,question_1353,19.45
1323,question_1354,2.5
1324,question_1355,28
1325,question_1356,16.0
1326,question_1357,40
1327,question_1358,5.0
1328,question_1359,31
1329,question_1360,10
1330,question_1361,26
1331,question_1362,18
1332,question_1363,67
1333,question_1364,18
1334,question_1365,4
1335,question_1366,58
1336,question_1367,12
1337,question_1368,64
1338,question_1369,12.0
1339,question_1370,63
1340,question_1371,6
1341,question_1372,63
1342,question_1373,49
1343,question_1374,10.0
1344,question_1375,11
1345,question_1376,35
1346,question_1377,13.0
1347,question_1378,7
1348,question_1379,11
1349,question_1380,65
1350,question_1381,15
1351,question_1382,99
1352,question_1383,56
1353,question_1384,22
1354,question_1385,47
1355,question_1386,34
1356,question_1387,29
1357,question_1388,39
1358,question_1389,29
1359,question_1390,4.0
1360,question_1391,9.0
1361,question_1392,272
1362,question_1393,12
1363,question_1394,13
1364,question_1395,6
1365,question_1396,12
1366,question_1397,35
1367,question_1398,5
1368,question_1400,"[30.0, 30.0, 60.0]"
1369,question_1401,240.0
1370,question_1402,21
1371,question_1403,65 65/3
1372,question_1404,28
1373,question_1405,9.0
1374,question_1406,10
1375,question_1407,35
1376,question_1408,78 76
1377,question_1410,45
1378,question_1411,25/2 5/6
1379,question_1412,25/3
1380,question_1413,21.3333333333333
1381,question_1414,15
1382,question_1415,45.0000000000000
1383,question_1416,39 24
1384,question_1418,"(50, 20)"
1385,question_1419,1
1386,question_1420,36
1387,question_1421,
1388,question_1422,
1389,question_1423,15.0
1390,question_1424,
1391,question_1425,53
1392,question_1427,6
1393,question_1428,24
1394,question_1429,"{x: 11.20, y: 8.40}"
1395,question_1433,109 107
1396,question_1435,10
1397,question_1437,10
1398,question_1440,13
1399,question_1441,18
1400,question_1443,4/5
1401,question_1444,5850
1402,question_1446,99
1403,question_1448,2
1404,question_1449,2.00000000000000
1405,question_1450,"(24, 11)"
1406,question_1451,56.0000000000000
1407,question_1452,
1408,question_1453,8
1409,question_1454,52
1410,question_1455,5/3
1411,question_1456,80
1412,question_1457,"[176, 88, 48]"
1413,question_1458,148
1414,question_1459,1000
1415,question_1460,200
1416,question_1461,15 60
1417,question_1462,16
1418,question_1463,11
1419,question_1464,5
1420,question_1465,32
1421,question_1466,13
1422,question_1467,20
1423,question_1468,64
1424,question_1469,36
1425,question_1470,45
1426,question_1471,24 120 36
1427,question_1472,"[32, 96, 52]"
1428,question_1473,165/2 135/2
1429,question_1474,55 41
1430,question_1475,24000
1431,question_1476,180
1432,question_1477,200
1433,question_1478,532
1434,question_1479,880
1435,question_1481,8
1436,question_1482,50.0000000000000
1437,question_1483,5
1438,question_1484,1644
1439,question_1485,325
1440,question_1486,15 30
1441,question_1487,36.0
1442,question_1488,40.0
1443,question_1489,540
1444,question_1490,96
1445,question_1491,100.0
1446,question_1492,24
1447,question_1493,70
1448,question_1494,12.0
1449,question_1495,0.16666666666666666
1450,question_1496,432.0
1451,question_1497,180.0
1452,question_1498,240
1453,question_1499,15
1454,question_1500,76.0
1455,question_1501,124.0
1456,question_1502,104
1457,question_1503,216
1458,question_1504,180.0
1459,question_1505,4.283185307179586
1460,question_1506,10.0
1461,question_1507,200
1462,question_1508,314.1592653589793
1463,question_1509,48.0
1464,question_1510,184.0
