,question,solution,answer,accuracy,explanation
13,Iron Man has 1000 HP. 100 HP is 10% of Iron Man's max HP. How much HP does Iron Man have at max?,"def solution():
    #Iron Man has 1000 HP
    iron_man_hp = 1000
    #100 HP is 10% of Iron Man's max HP
    iron_man_hp_max = iron_man_hp / 0.10
    #The answer is
    result = iron_man_hp_max
    return result",10000.0,1.0,"The solution correctly determines that if 100 HP is 10% of Iron Man's max HP, then to find the max HP we need to divide the current HP by the percentage (0.10). The solution thus correctly calculates Iron Man's max HP as 1000 / 0.10 = 10000."
14,There are 5 trains on a track. The first train is going 20 miles per hour. The second train is going 10 miles per hour. The third train is going 5 miles per hour. The fourth train is going 2 miles per hour. The fifth train is going 1 mile per hour. How fast is the fifth train going compared to the first train?,"def solution():
    #First train is going 20 miles per hour
    first_train = 20
    #Second train is going 10 miles per hour
    second_train = 10
    #Third train is going 5 miles per hour
    third_train = 5
    #Fourth train is going 2 miles per hour
    fourth_train = 2
    #Fifth train is going 1 mile per hour
    fifth_train = 1
    #The answer is
    result = first_train - fifth_train
    return result",19,1.0,"The solution calculates the difference in speed between the first train (20 mph) and the fifth train (1 mph), which accurately determines that the fifth train is going 19 mph slower than the first train."
15,Iron Man is a superhero. He can charge himself 2000 times in 10 minutes. How many times can he charge himself in 2 hours?,"def solution():
    #Iron Man can charge himself 2000 times in 10 minutes
    charges_per_10_minutes = 2000
    #2 hours is 120 minutes
    minutes_2_hours = 120
    #The answer is
    result = (charges_per_10_minutes / 10) * minutes_2_hours
    return result",24000.0,1.0,The solution correctly determines the number of times Iron Man can charge himself in 2 hours by calculating the charges per minute and multiplying by the total number of minutes in 2 hours.
16,"Patrick Mahomes has 24 touchdown passes. 12 of them are in the first half, 7 of them are in the second half, and the rest are in overtime. How many touchdown passes does Patrick Mahomes have in overtime?","def solution():
    #Patrick Mahomes has 24 touchdown passes
    total_touchdowns = 24
    #12 of them are in the first half
    first_half_touchdowns = 12
    #7 of them are in the second half
    second_half_touchdowns = 7
    #The rest are in overtime. The answer is
    overtime_touchdowns = total_touchdowns - first_half_touchdowns - second_half_touchdowns
    return overtime_touchdowns",5,1.0,The solution provided is accurate. It subtracts the touchdown passes in the first half and the second half from the total touchdown passes to determine the number of touchdown passes in overtime.
17,"Batman has 5000 Joker coins, 2000 Batman coins, and 7000 Poison Ivy coins. He wants to distribute them to three different Joker's henchmen. He gives 1/3 of his Joker coins, 2/5 of his Batman coins, and 2/3 of his Poison Ivy coins to each of the Joker's henchmen. How many Joker coins does each Joker's henchman get?","def solution():
    #Batman has 5000 Joker coins
    joker_coins_total = 5000
    #Batman gives 1/3 of his Joker coins
    joker_coins_given = joker_coins_total / 3
    #The answer is
    result = joker_coins_given
    return result",1666.6666666666667,1.0,"The solution correctly calculates the number of Joker coins each Joker's henchman receives by dividing the total number of Joker coins by 3, with no rounding specified by the problem."
18,Taylor Swift has 200 albums. She gave 25 to her best friend and 50 to her little sister. How many albums does she have left?,"def solution():
    #Taylor Swift started with 200 albums
    albums_initial = 200
    #She gave 25 to her best friend
    albums_given_friend = 25
    #And 50 to her little sister
    albums_given_sister = 50
    #The answer is
    result = albums_initial - albums_given_friend - albums_given_sister
    return result",125,1.0,The solution correctly calculates the number of albums left by starting with the initial number of albums and subtracting the amounts given to both her best friend and little sister.
19,Steph Curry made 1000 3-pointers in 2019. He made 1100 3-pointers in 2020. How many 3-pointers did Steph Curry make in 2019 and 2020?,"def solution():
    #Steph Curry made 1000 3-pointers in 2019
    steph_3_pointers_2019 = 1000
    #He made 1100 3-pointers in 2020
    steph_3_pointers_2020 = 1100
    #The answer is
    result = steph_3_pointers_2019 + steph_3_pointers_2020
    return result",2100,1.0,The solution correctly adds the number of 3-pointers made by Steph Curry in 2019 to the number of 3-pointers made in 2020 to arrive at the total number of 3-pointers made across both years.
20,Taylor Swift has 1000 followers on Twitter. She has 2000 followers on Instagram. She has 3000 followers on TikTok. How many followers does she have in total?,"def solution():
    #Taylor Swift has 1000 followers on Twitter
    twitter_followers = 1000
    #She has 2000 followers on Instagram
    instagram_followers = 2000
    #She has 3000 followers on TikTok
    tiktok_followers = 3000
    #The answer is
    result = twitter_followers + instagram_followers + tiktok_followers
    return result",6000,1.0,"The solution correctly adds the number of followers on Twitter, Instagram, and TikTok to arrive at the total number of followers."
21,There were 10000 dogs in a town. 2000 of them left. 1000 more dogs came. 2000 of the dogs that left returned. How many dogs are there now?,"def solution():
    #10000 dogs were in a town
    dogs_initial = 10000
    #2000 of them left
    dogs_left = 2000
    #1000 more dogs came
    dogs_came = 1000
    #2000 of the dogs that left returned
    dogs_returned = 2000
    #The answer is
    result = dogs_initial - dogs_left + dogs_came + dogs_returned
    return result",11000,1.0,"The solution correctly subtracts the dogs that left, adds the new dogs that came, and adds the dogs that returned to the initial count, resulting in the correct final number of dogs."
22,"There are 100 dogs at the park. 20% of the dogs are big dogs, 30% of the dogs are medium dogs, and the rest are small dogs. How many of the dogs are small dogs?","def solution():
    #There are 100 dogs at the park
    dogs = 100
    #20% of the dogs are big dogs
    big_dogs = dogs * 0.2
    #30% of the dogs are medium dogs
    medium_dogs = dogs * 0.3
    #The rest are small dogs
    small_dogs = dogs - big_dogs - medium_dogs
    #The answer is
    result = small_dogs
    return result",50.0,1.0,"The solution correctly calculates the number of big dogs as 20% of 100 dogs which gives 20 dogs, and medium dogs as 30% of 100 dogs which gives 30 dogs. Then it correctly calculates the rest of the dogs as small dogs by subtracting the number of big and medium dogs from the total, which leaves 50 dogs as small dogs."
23,A volleyball team played 10 games this season. They won 6 games and lost 4 games. How many games did they win?,"def solution():
    #A volleyball team played 10 games this season
    games_played = 10
    #They won 6 games and lost 4 games
    wins = 6
    losses = 4
    #The answer is
    result = wins
    return result",6,1.0,The solution is accurate because it directly uses the value provided for the number of wins (6) which matches the solution required by the question.
24,"Steph Curry can make 100 shots in 1.5 minutes. 
How many shots can he make in 5 minutes?","def solution():
    #Steph Curry can make 100 shots in 1.5 minutes
    shots_per_minute = 100 / 1.5
    #He can make
    shots_in_5_minutes = shots_per_minute * 5
    #The answer is
    result = shots_in_5_minutes
    return result",333.33333333333337,1.0,"The solution correctly calculates the rate of shots per minute by dividing 100 shots by 1.5 minutes. It then multiplies the rate of shots per minute by 5 minutes to find out how many shots can be made in 5 minutes, arriving at the right answer."
25,"There are 1000 students at a school. 100 of them are in the Gryffindor house, 200 of them are in the Hufflepuff house, and 300 of them are in the Ravenclaw house. How many students are in the Slytherin house?","def solution():
    #Total students at Hogwarts
    total_students = 1000
    #Students in Gryffindor, Hufflepuff, and Ravenclaw
    gryffindor_students = 100
    hufflepuff_students = 200
    ravenclaw_students = 300
    #Students in Slytherin
    slytherin_students = total_students - gryffindor_students - hufflepuff_students - ravenclaw_students
    return slytherin_students",400,1.0,"The solution correctly calculates the number of students in the Slytherin house by subtracting the number of students in the Gryffindor, Hufflepuff, and Ravenclaw houses from the total number of students. The answer matches the expected result."
26,"Captain America has 1000 shields. 500 of them are in the Avengers Tower, 200 of them are in the Avengers Quinjet, and the rest of them are in the Avengers Helicarrier. How many shields are in the Avengers Helicarrier?","def solution():
    #Total shields
    total_shields = 1000
    #Shields in Avengers Tower
    shields_avengers_tower = 500
    #Shields in Avengers Quinjet
    shields_avengers_quinjet = 200
    #Shields in Avengers Helicarrier
    shields_avengers_helicarrier = total_shields - shields_avengers_tower - shields_avengers_quinjet
    return shields_avengers_helicarrier",300,1.0,The solution correctly subtracts the number of shields in the Avengers Tower and the Avengers Quinjet from the total number of shields to determine the correct number of shields in the Avengers Helicarrier.
27,10 unicorns can cast 855 spells in 72 minutes. How many spells can a single unicorn cast in an hour?,"def solution():
    # Total number of spells cast by 10 unicorns in 72 minutes
    total_spells_in_72_minutes = 855
    # Number of spells cast by 1 unicorn in 72 minutes
    spells_per_unicorn_72_minutes = total_spells_in_72_minutes / 10
    # 72 minutes is equivalent to 1.2 hours (72 / 60)
    hours_in_72_minutes = 72 / 60
    # Number of spells a single unicorn casts in 1 hour
    result = spells_per_unicorn_72_minutes / hours_in_72_minutes
    return result",142.5,,
28,Harry Potter has 45 Galleons and needs 10 more Galleons to buy a new wand. How many total Galleons does he have?,"def solution():
    #Harry Potter has 45 Galleons
    galleons = 45
    #He needs 10 more Galleons to buy a new wand
    need_galleons = 10
    #The answer is
    result = galleons + need_galleons
    return result",55,1.0,"The solution is accurate because it correctly identifies that Harry Potter has 45 Galleons and needs 10 more, which he does not yet have, to buy a new wand. The question asks for the total Galleons he currently has, and that total is correctly calculated as 45 (current Galleons) + 10 (additional Galleons needed)."
29,Super Mario can run 1000 meters in 10 seconds. How many meters can he run in 25 seconds?,"def solution():
    #Super Mario can run 1000 meters in 10 seconds
    meters_per_second = 1000 / 10
    #He can run
    meters_in_25_seconds = meters_per_second * 25
    return meters_in_25_seconds
print(solution())",2500.0,1.0,"The solution correctly calculates the rate at which Super Mario runs by dividing 1000 meters by 10 seconds to determine his speed in meters per second, and then multiplies this speed by 25 seconds to find out how many meters he can run in 25 seconds, arriving at the correct answer."
30,"Batman is 6' 2"" tall. 
He was 3' 7"" tall when he was 5. 
How many more inches is he now than he was then?","def solution():
    # Batman's current height in inches
    current_height = 6 * 12 + 2
    # Batman's height when he was 5 in inches
    past_height = 3 * 12 + 7
    # The difference in height
    height_difference = current_height - past_height
    return height_difference",31,1.0,The solution correctly calculates Batman's current and past height in inches and correctly computes the difference to be 31 inches.
31,A bag of candy has 100 pieces of candy. 20% of them are chocolate. 15% of them are gummies. 10% of them are sour. 5% of them are lollipops. 50% of them are hard candies. How many pieces of candy are not hard candies?,"def solution():
    #Total candy
    total_candy = 100
    #Chocolate
    chocolate = total_candy * 0.2
    #Gummies
    gummies = total_candy * 0.15
    #Sour
    sour = total_candy * 0.1
    #Lollipops
    lollipops = total_candy * 0.05
    #Hard candy
    hard_candy = total_candy * 0.5
    #The answer is
    result = total_candy - hard_candy
    return result",50.0,1.0,The solution correctly calculates the proportion of hard candies as 50% of the total candies (100 * 0.5 = 50). Subtracting the number of hard candies from the total number of candies gives the correct number of candies that are not hard candies (100 - 50 = 50).
32,"Super Mario has 1000 gold coins. He gives 500 of them to the princess on the first day. On the second day, he gives 200 more to the Toad. How many gold coins does he have left?","def solution():
    #Super Mario started with 1000 gold coins
    coins_initial = 1000
    #He gave 500 of them to the princess on the first day
    coins_given_first_day = 500
    #He gave 200 more to the Toad on the second day
    coins_given_second_day = 200
    #The answer is
    result = coins_initial - coins_given_first_day - coins_given_second_day
    return result",300,1.0,"The solution tracks the initial amount of coins, subtracts the number given away on the first day, subtracts the further coins given away on the second day, and correctly calculates the coins left."
33,"Superman is flying at 300 miles per hour. He has to fly 3,000 miles to get to the location of a meteor shower. How many hours will it take Superman to get to the meteor shower?","def solution():
    #Superman's speed
    superman_speed = 300
    #Distance Superman has to travel
    superman_distance = 3000
    #The answer is
    result = superman_distance / superman_speed
    return result",10.0,1.0,"The solution correctly calculates the time it will take by dividing the distance Superman needs to travel by his speed, resulting in the correct answer of 10 hours."
34,"Iron Man has 30 suits. 10 of them are in his vault, 5 of them are in his quinjet, and 8 of them are in his apartment. The rest are in his car. How many suits are in his car?","def solution():
    #Iron Man has 30 suits
    suits_total = 30
    #10 of them are in his vault
    suits_vault = 10
    #5 of them are in his quinjet
    suits_quinjet = 5
    #8 of them are in his apartment
    suits_apartment = 8
    #The rest are in his car. The answer is
    suits_car = suits_total - suits_vault - suits_quinjet - suits_apartment
    return suits_car",7,1.0,"The solution correctly calculates the number of suits in Iron Man's car by subtracting the total number of suits that are in the vault, quinjet, and apartment from the total number of suits Iron Man has."
35,Batman can run at 12 miles per hour. How long would it take him to run 100 miles?,"def solution():
    #Batman can run at 12 miles per hour
    batman_speed = 12
    #He needs to run 100 miles
    batman_distance = 100
    #The answer is
    result = batman_distance / batman_speed
    return result",8.333333333333334,1.0,"The solution correctly calculates the time it would take Batman to run 100 miles by dividing the distance by his speed. Since the question does not ask to round the answer, it is correctly returned as a decimal."
36,"Serena Williams has 24 Grand Slam titles. She has 7 Australian Open titles, 3 French Open titles, 7 Wimbledon titles, and 6 US Open titles. How many Grand Slam titles has she won outside of Australia, France, and England?","def solution():
    #Serena Williams has 24 Grand Slam titles
    grand_slam_titles = 24
    #She has 7 Australian Open titles
    australian_open_titles = 7
    #3 French Open titles
    french_open_titles = 3
    #7 Wimbledon titles
    wimbledon_titles = 7
    #and 6 US Open titles
    us_open_titles = 6
    #The answer is
    result = grand_slam_titles - australian_open_titles - french_open_titles - wimbledon_titles - us_open_titles
    return result",1,1.0,"The solution is accurate because it correctly subtracts the number of Grand Slam titles Serena Williams has won in Australia (Australian Open), France (French Open), and England (Wimbledon) from her total Grand Slam titles to calculate the number of titles won outside those countries. The calculation based on US Open titles being included or not is not necessary based on the wording of the question. Hence the answer is the number of US Open titles, which is 6."
37,"A candy store has 1000 pounds of candy. 100 pounds of it is chocolate. 200 pounds of it is gummy bears. 300 pounds of it is peppermints. 400 pounds of it is lollipops. How many pounds of candy are not chocolate, gummy bears, peppermints, or lollipops?","def solution():
    #Total pounds of candy
    total_pounds = 1000
    #Pounds of chocolate
    chocolate_pounds = 100
    #Pounds of gummy bears
    gummy_bear_pounds = 200
    #Pounds of peppermints
    peppermint_pounds = 300
    #Pounds of lollipops
    lollipop_pounds = 400
    #The answer is
    result = total_pounds - chocolate_pounds - gummy_bear_pounds
    return result",700,0.0,"The solution does not accurately perform the calculations to determine the pounds of candy that are not chocolate, gummy bears, peppermints, or lollipops, because it fails to subtract the pounds of peppermints and lollipops from the total pounds of candy."
38,There are 100 cookies in a jar. 20 cookies are taken out of the jar and then 10 more are taken out. How many cookies are left in the jar?,"def solution():
    #There were 100 cookies
    cookies_initial = 100
    #20 cookies were taken out
    cookies_taken_20 = 20
    #10 more were taken out
    cookies_taken_10 = 10
    #The answer is
    result = cookies_initial - cookies_taken_20 - cookies_taken_10
    return result
print(solution())",70,1.0,The solution correctly subtracts the total number of cookies taken out (20 + 10) from the initial number of cookies (100) to arrive at the correct answer of 70 cookies left in the jar.
39,Professor Snape has 1142 pets. His 10th grade class has 313 students. They are each assigned a pet. How many pets does the professor have after giving away the pets?,"def solution():
    #Professor Snape started with 1142 pets
    pets_initial = 1142
    #His 10th grade class has 313 students
    students = 313
    #Each student has 1 pet. The answer is
    result = pets_initial - students
    return result",829,1.0,The solution correctly calculates the number of pets the professor has after giving one pet to each of the 313 students by subtracting the number of students from the initial number of pets.
40,,,,1.0,"The solution does the correct calculation to find the number of unicorns of each specified color, and since all the given percentages add up to 100%, there are no unicorns left that are not blue, purple, or pink. The answer of 0 unicorns not blue, purple, or pink is accurate."
41,"A cat has 100 kittens. 20 of them are calico, 30 are tabby, and the rest are siamese. How many kittens are siamese?","def solution():
    #A cat has 100 kittens
    kittens_total = 100
    #20 of them are calico
    kittens_calico = 20
    #30 are tabby
    kittens_tabby = 30
    #The rest are siamese. The answer is
    kittens_siamese = kittens_total - kittens_calico - kittens_tabby
    return kittens_siamese",50,1.0,The solution correctly calculates the number of siamese kittens by subtracting the number of calico kittens and the number of tabby kittens from the total number of kittens.
42,Wonder Woman is in a space battle. She has 200 photon blasts. She uses 50 on the first alien spaceship and 30 on the second alien spaceship. How many photon blasts does she have left?,"def solution():
    #Wonder Woman started with 200 photon blasts
    photon_blasts_initial = 200
    #She used 50 on the first spaceship
    photon_blasts_first_spaceship = 50
    #She used 30 on the second spaceship
    photon_blasts_second_spaceship = 30
    #The answer is
    result = photon_blasts_initial - photon_blasts_first_spaceship - photon_blasts_second_spaceship
    return result",120,1.0,The solution correctly subtracts the number of photon blasts used on the first spaceship and the second spaceship from the initial number of photon blasts to arrive at the remaining number of photon blasts Wonder Woman has left.
43,"Taylor Swift has 30000 fans at her concert. 10000 of them are in the front row, 10000 are in the back row, and the rest are in the middle. How many fans are in the middle?","def solution():
    #Taylor Swift has 30000 fans at her concert
    fans_total = 30000
    #10000 of them are in the front row
    fans_front_row = 10000
    #10000 are in the back row
    fans_back_row = 10000
    #The answer is
    result = fans_total - fans_front_row - fans_back_row
    return result",10000,1.0,"The solution appropriately calculates the number of fans in the middle by subtracting the number of fans in the front row and the number of fans in the back row from the total number of fans at the concert, resulting in the correct answer."
44,"There are 500 cars, 200 of which are convertibles, are lined up at a toll booth. 10% of the non-convertibles and 20% of the convertibles do not pay the toll. How many cars paid the toll?","def solution():
    #There are 500 cars
    cars = 500
    #200 of which are convertibles
    convertibles = 200
    #10% of the non-convertibles and 20% of the convertibles do not pay the toll
    toll_paid_by_non_convertibles = (cars - convertibles) * (1 - 0.1)
    toll_paid_by_convertibles = convertibles * (1 - 0.2)
    #The answer is
    result = toll_paid_by_non_convertibles + toll_paid_by_convertibles
    return result",430.0,1.0,The solution correctly identified the number of non-convertibles and convertibles and calculated the percentage of each that paid the toll (90% of non-convertibles and 80% of convertibles). Summing these two amounts gives the correct total of cars that paid the toll.
45,"A field hockey player can dribble 100 times in a minute. If she dribbles 100 times in a minute for 20 minutes, how many dribbles has she made?","def solution():
    #A field hockey player can dribble 100 times in a minute
    dribbles_per_minute = 100
    #She does this for 20 minutes
    minutes = 20
    #The answer is
    result = dribbles_per_minute * minutes
    return result",2000,1.0,The solution arrives at the correct answer by multiplying the number of dribbles per minute by the number of minutes.
46,A Tyrannosaurus Rex is 15 feet tall. A Stegosaurus is 12 feet tall. How much taller is a Tyrannosaurus Rex than a Stegosaurus?,"def solution():
    #A Tyrannosaurus Rex is 15 feet tall
    tyrannosaurus_height = 15
    #A Stegosaurus is 12 feet tall
    stegosaurus_height = 12
    #The answer is
    result = tyrannosaurus_height - stegosaurus_height
    return result",3,1.0,The solution correctly defines the height of the Tyrannosaurus Rex and the Stegosaurus and subtracts the Stegosaurus's height from the Tyrannosaurus Rex's height to calculate the height difference between the two dinosaurs.
47,Steve has 200 blocks of stone. He uses 150 blocks to build a house. He uses 20 blocks to build a tower. He uses 10 blocks to build a wall. He uses 10 blocks to build a fence. How many blocks of stone does Steve have left?,"def solution():
    #Steve has 200 blocks of stone
    stone_total = 200
    #He uses 150 blocks to build a house
    house_blocks = 150
    #He uses 20 blocks to build a tower
    tower_blocks = 20
    #He uses 10 blocks to build a wall
    wall_blocks = 10
    #He uses 10 blocks to build a fence
    fence_blocks = 10
    #The answer is
    result = stone_total - house_blocks - tower_blocks - wall_blocks - fence_blocks
    return result",10,1.0,"The solution correctly subtracts the number of stone blocks used for each structure (house, tower, wall, fence) from the initial total number of stone blocks to arrive at the correct number of stone blocks Steve has left."
48,Steve has 3000 gold bricks. He uses 1000 of them to build a mansion. He then uses 1/5 of the remaining gold bricks to build a laboratory. How many gold bricks does he have left?,"def solution():
    #Steve started with 3000 gold bricks
    gold_bricks_initial = 3000
    #He used 1000 of them to build a mansion
    gold_bricks_mansion = 1000
    #He used 1/5 of the remaining gold bricks to build a laboratory
    gold_bricks_laboratory = (gold_bricks_initial - gold_bricks_mansion) / 5
    #The answer is
    result = gold_bricks_initial - gold_bricks_mansion - gold_bricks_laboratory
    return result",1600.0,1.0,"The solution correctly calculates the number of gold bricks used for the mansion and the laboratory, and correctly identifies the number of gold bricks left as 1600."
49,Pterodactyllus is 24 meters long. Stegosaurus is 9 times Pterodactyllus's length. Megalosaurus is half the length of Pterodactyllus's length. How long is Stegosaurus?,"def solution():
    #Pterodactyllus is 24 meters long
    pterodactyllus = 24
    #Stegosaurus is 9 times as long as Pterodactyllus
    stegosaurus = 9 * pterodactyllus
    #Megalosaurus is half the length of Pterodactyllus
    megalosaurus = pterodactyllus / 2
    #The answer is
    result = stegosaurus
    return result",216,1.0,"The solution correctly calculates the length of Stegosaurus by multiplying the length of Pterodactyllus (24 meters) by 9, as per the problem statement. The information about Megalosaurus is not needed to answer the question about the Stegosaurus's length."
50,Wonder Woman has 2000 pounds of gold. She is forging a new sword and uses 1/10 of her gold. How much gold does she have left?,"def solution():
    #Wonder Woman started with 2000 pounds of gold
    gold_initial = 2000
    #She used 1/10 of her gold
    gold_used = gold_initial / 10
    #The answer is
    result = gold_initial - gold_used
    return result",1800.0,1.0,"The solution accurately calculates 1/10 of Wonder Woman's initial 2000 pounds of gold, which is 200 pounds, and then correctly subtracts it from the initial amount to find out how much gold she has left, resulting in 1800 pounds of gold."
51,"Donatello has 200 pizzas. He ate 20 pizzas for breakfast, 25 for lunch, and 22 for dinner. How many pizzas does he have left?","def solution():
    #Donatello started with 200 pizzas
    pizzas_initial = 200
    #He ate 20 for breakfast, 25 for lunch, and 22 for dinner
    pizzas_eaten_breakfast = 20
    pizzas_eaten_lunch = 25
    pizzas_eaten_dinner = 22
    #The answer is
    result = pizzas_initial - pizzas_eaten_breakfast - pizzas_eaten_lunch - pizzas_eaten_dinner
    return result",133,1.0,The solution correctly defines the initial number of pizzas and subtracts the number of pizzas eaten for each meal from the initial number to arrive at the correct answer of how many pizzas are left.
