,question,solvability,explanation
10,"12 people are playing football. The field, the players, and the referee need to be numbered. How many numbers are needed to number the field?",0.0,"The question does not provide enough information on how the numbering is to be done. It is unclear whether individual components of the field (like yard lines or zones) need to be numbered, whether 'numbering' means assigning a unique number to the field as one unit, or if it's referring to something else entirely. Additionally, it is not clear if the numbering of the players and referee may affect what is meant by 'numbering the field'. Without a clear set of instructions, this problem lacks the information necessary to solve it."
11,Spiderman can climb 200 feet in one minute. How many feet can he climb in 10 minutes?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Since we know Spiderman's climbing rate per minute, we can simply multiply that rate by 10 minutes to determine how far he can climb in that time."
12,"30 people are going to a pizza party. 20 of them are going to eat 3 slices of pizza, 5 of them are going to eat 5 slices of pizza, and the rest of them are going to eat 7 slices of pizza. How many slices of pizza are going to be eaten in total?",,
13,"Harry Potter is playing a game of Quidditch. In the game, there are 3 players on the field for each team. Each team has a Keeper, a Seeker, and a Chaser. 

The Keeper's job is to guard the team's goalposts. The Seeker's job is to catch the Golden Snitch, a small flying ball that can earn the team extra points. The Chaser's job is to throw the Quaffle, a larger ball, through the goalposts to score points.

There are 2 teams playing, so there are a total of 3 players per team * 2 teams = 6 players on the field.

How many players are playing the game of Quidditch?",0.0,"This question is not solvable as stated because the information provided is incorrect according to the established rules of Quidditch from the Harry Potter series. Each team actually has seven players: one Keeper, one Seeker, three Chasers, and two Beaters. Since neither the number of Beaters nor the correct total number of players per team is included, students would not have the necessary information to solve the problem."
14,LeBron James has 1000 points. He scores 100 points in 2019 and 200 points in 2021. How many points does he have left?,0.0,"This question is not solvable as it is written because it implies the points are being subtracted from a total, but scoring points would actually increase the number of points LeBron James has, not decrease it. Therefore, the use of the word 'left' makes the question unclear, and the concept of scoring points doesn't align with the idea of a remaining balance being reduced."
15,"Harry Potter is a wizard. He has 500 spells. 200 of them are in his wand, 100 of them are in his book, and the rest are in his mind. How many spells are in his mind?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the number of spells in the wand and the book from the total number of spells, we can find the number of spells in his mind."
16,Spiderman can shoot 20 webs in 5 minutes. How many webs can he shoot in 10 minutes?,1.0,This question arrives at one correct answer and contains all the information needed to solve it by simply doubling the number of webs since the time is also doubled.
17,"The University of Oregon Women’s Volleyball team won 30 matches in the 2022 season and lost 5 matches in the 2022 season. If there are 34 matches in the volleyball season, how many matches did the Ducks tie?",0.0,"The question states that the team played 34 matches in total and provides the number of matches won and lost. However, the information leads to a discrepancy since 30 wins and 5 losses add up to 35 matches, which is one more than the stated total number of matches in the season. There seems to be a mistake in the provided numbers, which makes the problem unsolvable as is."
18,Mario has 22 coins. He finds 30 more and then loses 12. How many coins does he have at the end?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. There are no negative values in the context that would not make sense, and a student can easily perform the arithmetic operations to find the final number of coins."
19,A fight broke out at the Daily Express. Captain Marvel gets outnumbered and 5 villains are fighting her. She kills 3 of them and puts the rest in jail. How many villains did she kill?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. The number of villains she killed is explicitly stated in the problem.
20,"A car dealership has 20 cars. They sell 10 cars, and then buy 5 more cars. How many cars do they have left?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The dealership starts with 20 cars, sells 10 (leaving them with 10 cars), and then buys 5 more, resulting in a total of 15 cars."
21,"Ninja wants to play Fortnite on Playstation 4. Fortnite costs $15.00, but a new game costs $45.00. How much more does the new game for PS4 cost than the original game?",1.0,This question arrives at one correct answer by subtracting the cost of the original game from the cost of the new game and contains all the information needed to solve it.
22,"If a cookie jar has 12 cookies, and 5 of them are chocolate chip, how many of the cookies are not chocolate chip?",1.0,This question arrives at one correct answer. It provides the total number of cookies and the number that are chocolate chip. Subtracting the number of chocolate chip cookies from the total gives the number of cookies that are not chocolate chip.
23,"A bakery baked 100 cookies on Monday. On Tuesday, they baked 150 cookies. On Wednesday, they baked 200 cookies. On Thursday, they baked 100 cookies. How many cookies did they bake?",1.0,This question arrives at one correct answer and contains all the information needed to solve it by adding the number of cookies from each day.
24,Iron Man has 1000 HP. 100 HP is 10% of Iron Man's max HP. How much HP does Iron Man have at max?,1.0,This question has the information required to solve the problem and leads to one correct answer. The question states that 100 HP is 10% of Iron Man's max HP which implies that the max HP is 1000 HP. No calculation is necessary; the problem simply tests the student's ability to understand percentages.
25,There are 5 trains on a track. The first train is going 20 miles per hour. The second train is going 10 miles per hour. The third train is going 5 miles per hour. The fourth train is going 2 miles per hour. The fifth train is going 1 mile per hour. How fast is the fifth train going compared to the first train?,1.0,"The question is asking for a comparison of two defined speeds, which are given within the question (20 mph for the first train and 1 mph for the fifth train). The information is straightforward, allowing calculation of the answer."
26,Captain Marvel is at a movie premiere. 1000 people are in the front row. 2000 people are in the middle row. 3000 people are in the back row. How many people are at the premiere?,1.0,This question can be solved with simple addition and arrives at one correct answer. It contains all the information necessary to solve the problem.
27,Iron Man is a superhero. He can charge himself 2000 times in 10 minutes. How many times can he charge himself in 2 hours?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By converting the 2 hours into minutes and dividing by the 10-minute interval, we can calculate how many times Iron Man can charge himself in that duration."
28,"Patrick Mahomes has 24 touchdown passes. 12 of them are in the first half, 7 of them are in the second half, and the rest are in overtime. How many touchdown passes does Patrick Mahomes have in overtime?",1.0,This question is solvable as it contains the total number of touchdown passes and specifies how many were made in the first half and second half. The number of passes in overtime can be found by subtracting the sum of the first half and second half touchdowns from the total.
29,Power Rangers is a 3 hour long television show. 16 minutes is dedicated to recapping the plot. How much of the Power Rangers show is not recaps of the plot?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The total duration of the show is provided in hours, and the recap portion is provided in minutes. The student must convert the hours into minutes and then subtract the recap duration from the total duration to solve the problem."
30,"Raphael, Michelangelo, Donatello and Leonardo have a team. In the third season they trained 45 new members. They train new members daily. 
How many members do they train on a weekly basis?",0.0,"The question does not provide the time span in which the 45 new members were trained. Without specifying whether the 45 members were trained over a single day or over a different period, it is not possible to calculate how many members are trained on a weekly basis."
31,"Basketball legend, Steph Curry, scored a total of 229 three pointers in the 2015-2016 NBA season. 
How many three pointers did he shoot each game he played?",0.0,"The question does not provide the number of games that Steph Curry played in the season, which is necessary to calculate the average number of three-pointers made per game."
32,Taylor Swift has 200 albums. She gave 25 to her best friend and 50 to her little sister. How many albums does she have left?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. No negative values are involved since it is structurally sound and solvable.
33,Super Mario can jump 10 feet in the air and 15 feet to the side. He is 100 feet away from the princess. How many jumps does it take for Mario to reach the princess?,0.0,"The question does not specify the direction Mario must travel to reach the princess and only gives his vertical and horizontal jumping distances independently. It is not clear whether Mario's jumps are entirely horizontal, vertical, or if they can be diagonal. Without specifying the direction of the jumps relative to Mario's starting point and the princess's location, it is not possible to determine the number of jumps needed."
34,Taylor Swift has 1000 followers on Twitter. She has 2000 followers on Instagram. She has 3000 followers on TikTok. How many followers does she have in total?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. The total number of followers can be found by simply adding the followers from each platform.
35,Serena Williams can run 1000 meters in 2 hours. How many meters can she run in 10 hours?,1.0,This question arrives at one correct answer and contains all the information needed to solve it by using the rate of meters per hour to calculate the total distance covered in 10 hours.
36,There were 10000 dogs in a town. 2000 of them left. 1000 more dogs came. 2000 of the dogs that left returned. How many dogs are there now?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. It has a clear sequence of events affecting the dog population that can be calculated step by step.
37,"There are 100 dogs at the park. 20% of the dogs are big dogs, 30% of the dogs are medium dogs, and the rest are small dogs. How many of the dogs are small dogs?",1.0,"This question provides all necessary percentages for each size category of dogs and the total number of dogs. We can use this information to calculate the number of dogs that are big, medium, and therefore deduce the remaining small dogs."
38,"Spider-Man has 100 pieces of candy. 30 of them are gummy bears, 20 of them are lollipops, and the rest are gumballs. How many gumballs does Spider-Man have?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The total number of pieces of candy is given, as well as the number of gummy bears and lollipops, allowing the calculation of the remaining number of gumballs."
39,Iron Man can lift 500 pounds. How many times can he lift a suitcase that is 15 pounds?,0.0,"The question lacks information regarding whether Iron Man has a limit on the number of times he can lift the 15-pound suitcase continuously or within a certain time frame. Without this information, it is not possible to determine a definitive answer to how many times he can lift the suitcase."
40,"Taylor Swift sold 240,000 copies of Lover at a price of $13.99. That means she earned $3,455,200. She also got 20,000 copies of Lover for free. How much money did Taylor Swift make with Lover?",1.0,"The question arrives at one correct answer and contains all the information needed to solve it. It's clear that the income from the sold copies is $3,455,200. The additional 20,000 copies she received for free do not affect the total earnings from sales."
41,Jasmine has 120 pieces of candy. She eats 30 pieces of candy. How many pieces of candy does she have left?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Jasmine initially has 120 pieces of candy, and after eating 30, we can subtract 30 from 120 to find the remainder."
42,"There are 1000 students at a school. 100 of them are in the Gryffindor house, 200 of them are in the Hufflepuff house, and 300 of them are in the Ravenclaw house. How many students are in the Slytherin house?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the total number of students in the other three houses from the total number of students, we can find out how many students are in the Slytherin house."
43,There are 4 Ninja Turtles and each of them has 2 pizzas. How many pizzas are there in total?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By multiplying the number of Ninja Turtles (4) by the number of pizzas each has (2), we get the total number of pizzas."
44,Harry Potter has 45 Galleons and needs 10 more Galleons to buy a new wand. How many total Galleons does he have?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. Harry already has 45 Galleons; the question regarding his need for more does not change the number he currently possesses.
45,Super Mario can run 1000 meters in 10 seconds. How many meters can he run in 25 seconds?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. It provides a rate of speed for Super Mario and asks for the distance covered in a different amount of time using the same rate.
46,"Iron Man can fly 100 miles per minute. 
How many miles does he fly in 5 minutes?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By multiplying the speed (100 miles per minute) by the number of minutes (5), you can find the total distance flown."
47,Taylor Swift has 3 albums with 13 songs each. How many songs does she have in total?,1.0,This question arrives at one correct answer and contains all the information needed to solve it
48,"Super Mario has 1000 gold coins. He gives 500 of them to the princess on the first day. On the second day, he gives 200 more to the Toad. How many gold coins does he have left?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. It provides an initial amount of gold coins and specifies the exact amounts given away on two occasions.
49,"Superman is flying at 300 miles per hour. He has to fly 3,000 miles to get to the location of a meteor shower. How many hours will it take Superman to get to the meteor shower?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The student can divide the total distance (3,000 miles) by the speed (300 miles per hour) to find the time in hours."
50,"Power Rangers can morph 10 times in 15 minutes. They morph for 30 minutes each day, 5 days a week. How many times do they morph in a week?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. We can determine the number of morphs per day by doubling the number of morphs possible in 15 minutes, then multiplying that number by 5 to find the total times they morph in a week."
51,"Iron Man has 12000 dollars. He spent 1000 dollars in the morning, 2000 dollars in the afternoon, and 1000 dollars in the evening. How much money is left?",1.0,This question arrives at one correct answer and contains all the information needed to solve it
52,"Patrick Mahomes threw 50 touchdown passes in 2018. 
How many more touchdown passes did he throw than the year before?",0.0,"The given problem requires data from the year before 2018 to establish a baseline for comparison. Without knowing how many touchdown passes were thrown in 2017, it is impossible to calculate how many more passes were thrown in 2018."
53,A 5-pound bag of Starburst is 60 starbursts. Sour Patch Kids has 15 candies in each packet. How many candies do 6 bags of Starburst and 10 packets of Sour Patch Kids have?,1.0,"The question provides all the necessary information to solve the problem. You can calculate the number of candies by multiplying the quantity of bags and packets by the amount of candy in each bag and packet, respectively, then adding those two products together."
54,"Wonder Woman's bracelet has a charm that contains 800 small diamonds. Diana, her mother, gave her 100 more diamonds on her 11th birthday. The charm currently holds 400 diamonds. How many diamonds were in the charm on Wonder Woman's 10th birthday?",0.0,"The question is not solvable as stated because it contains conflicting information. It initially states that there are 800 diamonds in the charm, but later mentions that it currently holds 400 diamonds. If she were given 100 more, we would expect the number to increase, but it decreases instead. There is no information about whether any diamonds have been removed, hence we cannot determine how many diamonds the charm had on Wonder Woman's 10th birthday."
55,Iron Man can fly at a speed of 24 km/hour for 1 hour. How far can he fly in 4 hours?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The speed is given, and the time is specified, so students can calculate the distance using the formula distance = speed x time."
56,There are 100 dinosaurs. 20 more dinosaurs came. 10 dinosaurs left. How many dinosaurs are there now?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. You start with 100, add 20, and then subtract 10 to find the total number of dinosaurs remaining."
57,"Iron Man has 30 suits. 10 of them are in his vault, 5 of them are in his quinjet, and 8 of them are in his apartment. The rest are in his car. How many suits are in his car?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By adding up the suits in the vault, quinjet, and apartment, you can subtract from the total number of suits to find out how many are in the car."
58,Batman can climb 250 ledges in one hour. He climbs 150 more ledges than that in the next hour. He climbs 25% less than that in the third hour. How many ledges can he climb in three hours?,1.0,"This question is solvable as it provides all necessary information to find a solution. The number of ledges climbed in the first hour is given, the second hour's climb is based on the first hour's number, and the third hour's climb is a percentage decrease from the second hour's. The total ledges can be calculated by adding the ledges from all three hours."
59,"Black Panther is a superhero who can run at a speed of 50 miles per hour. He runs for 2 hours a day, 5 days a week. How many miles does he run in a week?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. To find the distance, multiply the speed (50 mph) by the time (2 hours per day) and then by the number of days (5 days)."
60,"Thor the God of Thunder has 3 magic hammer Uru. Thor has lost his favorite hammer, Mjolnir. Odinson the God of Lies, claims that one of the other hammers belongs to him. How many remaining Uru belong to Thor?",1.0,"Assuming that by 'Uru' the question refers to Thor's magic hammers and Odinson's claim is false (as he is the God of Lies), Thor originally has 3 hammers. Upon losing Mjolnir, he is left with 2 hammers. Despite Odinson's claim, these two would still belong to Thor. This question arrives at one correct answer and contains all the information needed to solve it, if we account for the narrative elements."
61,Batman can run at 12 miles per hour. How long would it take him to run 100 miles?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By using the formula time = distance / speed, students can find the correct answer."
62,"Serena Williams has 24 Grand Slam titles. She has 7 Australian Open titles, 3 French Open titles, 7 Wimbledon titles, and 6 US Open titles. How many Grand Slam titles has she won outside of Australia, France, and England?",1.0,"This question has one correct answer. By adding the known title counts for the Australian Open, French Open, and Wimbledon, we can subtract from the total Grand Slam titles to find out how many were won outside of these countries. The information needed to solve the problem is all present."
63,"A candy store has 1000 pounds of candy. 100 pounds of it is chocolate. 200 pounds of it is gummy bears. 300 pounds of it is peppermints. 400 pounds of it is lollipops. How many pounds of candy are not chocolate, gummy bears, peppermints, or lollipops?",1.0,"This question arrives at one correct answer and contains all the necessary information. By summing the weights of the individual types of candy and subtracting from the total, we get the weight of the remaining candy."
64,Professor Snape has 1142 pets. His 10th grade class has 313 students. They are each assigned a pet. How many pets does the professor have after giving away the pets?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the number of students (313) from the total number of pets (1142), you can find out how many pets are left."
65,"If a T-Rex is 12 feet tall and weighs 12,000 pounds, and a Velociraptor is 2 feet tall and weighs 20 pounds, how much heavier is the T-Rex than the Velociraptor?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. The comparison is asking for the difference in weight between the two creatures.
66,"There are 12000 unicorns in the land of Unicornia. 20% of them are blue, 30% of them are purple, and 50% of them are pink. How many unicorns are not blue, purple, or pink?",0.0,"The question implies that all unicorns are either blue, purple, or pink by stating their proportions add up to 100%. Therefore, there cannot be any unicorns that are not in one of these categories. This might not be an error if the intent was to check students' ability to understand that the sum of percentages is 100%, but as written, it does not make sense to ask for a count of unicorns outside of those colors, since the problem states all unicorns are of those colors."
67,Wonder Woman is in a space battle. She has 200 photon blasts. She uses 50 on the first alien spaceship and 30 on the second alien spaceship. How many photon blasts does she have left?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Wonder Woman starts with 200 photon blasts and uses a total of 80 (50 on the first and 30 on the second), so the calculation to find out the number of photon blasts left is straightforward."
68,The candy store has 100 Skittles and 252 Starbursts. How many times more Starbursts does the store have?,0.0,"The question asks for 'how many times more Starbursts does the store have' but does not specify in comparison to what the 'times more' should be calculated. It implies that it should be compared to the quantity of Skittles but does not explicitly state that, which may lead to confusion. Additionally, the term 'times more' is mathematically ambiguous without clearer context. For precision, the question should ask, 'How many times more Starbursts does the store have than Skittles?' to ensure that the intended comparison is clear."
69,"Taylor Swift has 30000 fans at her concert. 10000 of them are in the front row, 10000 are in the back row, and the rest are in the middle. How many fans are in the middle?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The total number of fans is given, along with the number of fans in the front and back rows. By subtracting these numbers from the total, one can easily find the number of fans in the middle."
70,"There are 500 cars, 200 of which are convertibles, are lined up at a toll booth. 10% of the non-convertibles and 20% of the convertibles do not pay the toll. How many cars paid the toll?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. None of the calculations result in negative numbers.
71,"A field hockey player can dribble 100 times in a minute. If she dribbles 100 times in a minute for 20 minutes, how many dribbles has she made?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The player dribbles 100 times every minute, and they do this for 20 minutes, so by multiplying the number of dribbles per minute by the number of minutes, you can find the total number of dribbles."
72,Steve has 200 blocks of stone. He uses 150 blocks to build a house. He uses 20 blocks to build a tower. He uses 10 blocks to build a wall. He uses 10 blocks to build a fence. How many blocks of stone does Steve have left?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Steve starts with 200 blocks and uses a total of 150+20+10+10 = 190 blocks, leaving him with 200 - 190 = 10 blocks."
73,"Wonder Woman can deflect 15 times per second. 

How many deflections can she make in 10 minutes?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The number of deflections per second is given, and the time duration is specified in minutes, which can be converted into seconds to find the total number of deflections."
74,Steve has 3000 gold bricks. He uses 1000 of them to build a mansion. He then uses 1/5 of the remaining gold bricks to build a laboratory. How many gold bricks does he have left?,1.0,This question arrives at one correct answer and contains all the information needed to solve it
75,Pterodactyllus is 24 meters long. Stegosaurus is 9 times Pterodactyllus's length. Megalosaurus is half the length of Pterodactyllus's length. How long is Stegosaurus?,1.0,This question arrives at one correct answer and contains all the information needed to solve it.
76,"Harry Potter has 1000 galleons. He spends 200 galleons on a new wand, 300 galleons on a new broomstick, and 100 galleons on a new cauldron. How much money does he have left?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. The student can subtract the combined total spent from the initial amount to find the money left.
77,"Serena Williams is playing in the 2019 Australian Open. She wins her first match 6-2, 6-3. She wins her second match 6-1, 6-0. She wins her third match 6-0, 6-0. How many games has she won in total?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The scores of each match she won are provided, and we have enough information to add up the total number of games won across the three matches."
78,Batman has 1000 Batarangs. He has 500 more smoke Batarangs than regular Batarangs. He has 200 more Batarangs that can attach to walls than smoke Batarangs. How many Batarangs that can attach to walls does Batman have?,0.0,"The question does not provide enough specific information to unequivocally solve it. It states that Batman has a total of 1000 Batarangs and then describes two subsets of these that are greater in number than another subset. However, without knowing the exact number of regular Batarangs, the question's solution remains ambiguous and hence, it cannot be definitively solved."
79,"You have 3 flavors of ice cream: chocolate, vanilla, and strawberry. Each flavor has 3 different sizes: small, medium, and large. How many different types of ice cream can you order?",1.0,"This question can be solved using the basic principle of permutations. For each of the 3 flavors, there are 3 different available sizes, making it a simple multiplication problem (3 flavors * 3 sizes). Thus, it arrives at one correct answer and contains all the necessary information to solve it."
80,"In the 1998 NBA Finals, Michael Jordan scored 38.5 points per game. He scored 45 points in game 1 and 33 points in game 2. How many points does he need to average in the next 5 games to score 38.5 points per game for the series?",1.0,"The question contains all the necessary information to find a solution. It provides the average target, the points scored in the first two games, and the number of games left to play. With this information, one can calculate the total points needed for the entire series and subtract the points already scored to determine the remaining points needed. That value can then be divided by the number of remaining games to find the needed average for those games."
81,There are 5000 volleyballs in a storage warehouse. A total of 5200 volleyballs are taken out of the warehouse. 250 are sold to a volleyball team. How many volleyballs are left in the warehouse?,0.0,"The question implies a negative number of volleyballs remaining in the warehouse, which is impossible. It states more volleyballs are taken out than there are available, rendering the problem unsolvable as written."
82,Iron Man has 25 armors and 15 weapons. He bought 10 more armors and 5 more weapons. How many total items does Iron Man have?,1.0,"This question arrives at one correct answer by adding the initial number of armors to the additional armors he bought, then doing the same for weapons, and finally adding these two sums together to get the total number of items Iron Man has."
83,"Naruto has 1000 ryo. 100 of the ryo are gold ryo, 200 of the ryo are silver ryo, and the rest are bronze ryo. How many bronze ryo does he have?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the gold and silver ryo from the total, we can find out how many bronze ryo there are."
84,The basketball team has 10 players. Each player has 2 shoes. How many shoes does the team have?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. You multiply the number of players (10) by the number of shoes each player has (2) to get the total number of shoes (20).
85,"Thor has 1000 Mjolnirs. He uses 500 of them to fight the Frost Giants, and 200 of them to fight the Dark Elves. How many Mjolnirs does he have left?",1.0,This question arrives at one correct answer and contains all the information needed to solve it.
86,"Thor can throw his hammer with a force of 10,000,000 Newtons. If a person weighs 70 kilograms, how much force would be needed to levitate that person?",0.0,"The question does not provide enough information to solve the problem as it lacks the information regarding the specific force required to levitate the person. While it provides Thor's hammer throwing force, this force is irrelevant in determining how much force is needed to levitate the person."
87,"There are 1000 dinosaurs in total. Out of these, 100 are allergic to peanuts, 200 are allergic to almonds, and 50 are allergic to both. How many dinosaurs have no allergies?",1.0,"This is a classic example of a problem that can be solved using the principle of inclusion-exclusion. It has all the necessary information to find a single correct answer. Although not specified, it is implied that a dinosaur can have more than one allergy, hence the figure for dinosaurs allergic to both is given to avoid over-counting. The solvability is based on subtracting the total number of allergic dinosaurs from the total number, accounting for the overlap."
88,Hello Kitty has 5 apples and 3 bananas. She wants to give 1 apple to her friend. How many fruits does she have left after giving away the apple?,1.0,"This question arrives at one correct answer and contains all the necessary information to solve it. It presents an initial count of each type of fruit, specifies the quantity being given away, and does not suggest any possibility of a negative amount of fruit."
89,"I have 2000 materials to build with. I use 1000 to build a wall, 750 to build a ramp, and 250 to build a floor. How many materials do I have left?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. Subtracting the materials used for each structure from the initial amount gives the answer.
90,"Captain America throws 100 shields. He throws 20 shields in the morning, 30 shields in the afternoon, and the rest in the evening. How many shields does he throw in the evening?",1.0,"This question is solvable because it provides clear information about the total number of shields thrown and the number thrown in the morning and afternoon, which allows for the calculation of the number thrown in the evening."
91,A wild Pikachu appears. You throw a Pokéball at it. The chance of catching a Pikachu is 1/3. What is the probability of not catching the Pikachu?,1.0,"The question provides the probability of a single event (catching a Pikachu) and asks for the complement probability, which is calculable and results in a positive answer."
92,Wonder Woman is the Princess of the Amazons. She is very strong and fast. She can run 100 meters in 10 seconds. How fast is she in miles per hour?,0.0,"The question does not provide the information necessary to convert meters into miles. There are 1609.34 meters in a mile, and 3600 seconds in an hour, both of which are necessary for the conversion and must be provided or known by all K-8 students for the problem to be solvable. Without ensuring that all K-8 students know these constants, we cannot guarantee the problem is solvable."
93,There are 5 Hello Kitty balloons floating in the air. How many Hello Kitty balloons are floating in the air if 3 more balloons float away? How many Hello Kitty balloons are floating in the air if 8 Hello Kitty balloons float away?,0.0,"The second part of the question leads to a situation which is not possible according to the first part of the question. Initially, there are 5 balloons, so if 8 balloons float away, that would result in a negative number of balloons, which is not possible as you cannot have a negative count of physical items."
94,"If a bag of candy has 100 pieces and you eat 2 pieces every minute, how many pieces of candy are left after 1 hour?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. There are 60 minutes in an hour. At 2 pieces of candy eaten each minute, that's 2 pieces/min x 60 min = 120 pieces. However, since there are only 100 pieces to begin with, and you cannot have negative pieces of candy, all the candy would be eaten within the hour. The answer is zero pieces left."
95,Spiderman can shoot 10 webs per minute. How many webs can he shoot in 10 minutes?,1.0,This question arrives at one correct answer using simple multiplication and contains all the information needed to solve it
96,"Naruto is training at the dojo. 
He has 100 missions to do, and his goal is to complete all the missions in 15 minutes. 
If he completes all the missions in 15 minutes, how many seconds do we need?",1.0,"This question asks for the conversion of 15 minutes into seconds, which is a straightforward calculation. All the necessary information is provided."
97,The T-Rex is the most ferocious dinosaur in the land. It has 3 heads and each head has 3 teeth. How many teeth does the T-Rex have in total?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. Multiplying the number of heads (3) by the number of teeth per head (3) gives a clear answer of how many teeth there are in total.
98,Patrick Mahomes threw 50 touchdown passes this season. 30 of them were to wide receivers. 20 of them were to tight ends. How many touchdown passes did Patrick Mahomes throw to running backs?,0.0,"This question implies that the total number of touchdown passes to wide receivers and tight ends exceeds the total touchdowns thrown. As the numbers provided come to a total of 50 (30+20), there are no touchdown passes left for running backs, based on the given numbers. This might be an error in the problem setup, as it does not allow for any passes to running backs, yet asks how many were made to them."
99,"Thor is the God of Thunder. 
He can throw his hammer 200 feet. 
If he throws his hammer 10 times, how far does his hammer travel?",1.0,This question arrives at one correct answer and contains all the information needed to solve it by multiplying the distance of one throw (200 feet) by the number of throws (10).
