,question_number,question,grade,answer,math_topic
32,question_32,"Mrs. Hilt's favorite first grade classes are baking muffins. Mrs. Brier's class bakes 18 muffins, Mrs. MacAdams's class bakes 20 muffins, and Mrs. Flannery's class bakes 17 muffins. How many muffins does first grade bake in all?",1,55 (muffins),Sum
33,question_33,Mrs. Hilt bought a yoyo for 24 cents and a whistle for 14 cents. How much did she spend in all for the two toys?,1,38 (cents),Addition
34,question_34,Mrs. Hilt made 5 Rice Krispie Treats. She used 8 large marshmallows and 10 mini marshmallows. How many marshmallows did she use altogether?,1,18 (marshmallows),Addition
35,question_35,"At Mrs. Hilt's house, there was 29 inches of snow, and Brecknock Elementary School received 17 inches of snow. How much more snow did Mrs. Hilt's house have?",1,12 (inches of snow),Subtraction
36,question_36,Mrs. Hilt has $10. She spends $3 on a toy truck and $2 on a pencil case. How much money does she have left?,1,5 (dollars),Subtraction
37,question_37,Mrs. Hilt reads 5 books a day. How many books does she read in 3 days?,1,15 (books),Sum
38,question_38,Mrs. Hilt saw 2 dogs and 2 chickens. How many animal legs did she see?,1,12 (legs),Addition
39,question_39,Mrs. Hilt saw 3 bugs eat two flowers each. How many flowers total did the bugs eat?,1,6 (flowers),Sum
40,question_40,Mrs. Hilt has 15 friends. She can only take 8 of her friends to the movies. How many friends can't go to the movies?,1,7 (friends),Subtraction
41,question_41,"Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday. How many total miles did she run that week?",1,12 (miles),Sum
42,question_42,Mrs. Hilt picked up a book that has 17 pages in it. She read 11 of the pages. How many pages did she have left to read?,1,6 (pages),Subtraction
43,question_43,Mrs. Hilt had 15 cents. She bought a pencil for 11 cents. How much money did she have left?,1,4 (cents),Subtraction
44,question_44,Mrs. Hilt met 15 friends. Nine of the friends were carrying pears. The rest were carrying oranges. How many friends were carrying oranges?,1,6 (friends),Subtraction
45,question_45,Mrs. Hilt spent 25 cents on one caramel apple and 15 cents on one ice cream cone. How much more did the apple cost?,1,10 (cents),Subtraction
46,question_46,Mrs. Hilt bought 2 pizzas. Each pizza had 8 slices. How many total slices of pizza did she have?,1,16 (slices),Addition
47,question_47,Mrs. Hilt read 2 books per day. How many books did she read in one week?,1,14 (books),Sum
48,question_48,Mrs. Hilt ate 5 apples every hour. How many apples had she eaten at the end of 3 hours?,1,15 (apples),Sum
49,question_49,Mrs. Hilt gave 2 pieces of candy to each student in the group. The group had a total of 9 students in it. How many pieces of candy did Mrs. Hilt give away?,1,18 (pieces),Sum
50,question_50,Mary's mom is getting ready for Mary's birthday party. She blew up 6 balloons this morning and 5 balloons this afternoon. How many balloons did she blow up in all?,1,11 (balloons),Addition
51,question_51,"Shelby's teacher gives out gold stars for great math work. Yesterday, Shelby earned 4 gold stars. Today, she earned 3 more. How many gold stars did Shelby earn in all?",1,7 (gold stars),Addition
52,question_52,The Litter Patrol picked up 10 glass bottles and 8 aluminum cans on Saturday. How many pieces of litter did they pick up altogether?,1,18 (pieces),Addition
53,question_53,Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?,1,7 (bracelets),Subtraction
54,question_54,Sammy has 9 math problems to do for homework. He has already finished 2 of them. How many math problems does Sammy have left?,1,7 (math problems),Subtraction
55,question_55,"There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?",1,7 (students),Subtraction
56,question_56,There were 8 ducks swimming in the pond. 3 ducks flew away. How many ducks are still swimming in the pond?,1,5 (ducks),Subtraction
57,question_57,Lucy went to the grocery store. She bought 12 packs of cookies and 16 packs of noodles. How many packs of groceries did she buy in all?,2,28 (packs),Addition
58,question_58,Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?,2,22 (fish),Addition
59,question_59,"I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?",2,38 (pages),Addition
60,question_60,"In a school, there are 542 girls and 387 boys. How many pupils are there in that school?",2,929 (pupils),Addition
61,question_61,Linda has 34 candies. Chloe has 28. How many candies do they have in all?,2,62 (candies),Addition
62,question_62,Jose has 28 chickens and 18 ducks. How many fowls does he have?,2,46 (fowls),Addition
63,question_63,Gino has 63 popsicle sticks. I have 50 popsicle sticks. What is the sum of our popsicle sticks?,2,113 (popsicle sticks),Addition
64,question_64,Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?,2,616 (shells),Addition
65,question_65,"There were 105 parents in the program and 698 pupils, too. How many people were present in the program?",2,803 (people),Addition
66,question_66,"Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold?",2,700 (reading materials),Addition
67,question_67,There are twelve birds on the fence. Eight more birds land on the fence. How many birds are on the fence?,2,20 (birds),Addition
68,question_68,Twenty-two boys went down the slide. Thirteen more boys went down the slide. How many boys went down the slide?,2,35 (boys),Addition
69,question_69,Thirteen ducks are swimming in a lake. Twenty more ducks come to join them. How many ducks are swimming in the lake?,2,33 (ducks),Addition
70,question_70,Thirty dogs are barking. Ten more dogs start to bark. How many dogs are barking?,2,40 (dogs),Addition
71,question_71,"Bobby ate twenty-six pieces of candy. Then, he ate seventeen more. How many pieces of candy did Bobby eat?",2,43 (pieces),Addition
72,question_72,Sandy had twenty-six pet fish. She bought six more fish. How many pet fish does Sandy have now?,2,32 (pet fish),Addition
73,question_73,The clown blew up forty-seven balloons. Then he blew up thirteen more balloons. How many balloons does the clown have now?,2,60 (balloons),Addition
74,question_74,Our class got fifty-four books from the library. Then we got twenty-three more books from the library. How many books did our class get from the library?,2,77 (books),Addition
75,question_75,Tessa has 4 apples. Anita gave her 5 more. She needs 10 apples to make a pie. Does she have enough to make a pie?,2,Yes,Comparison
76,question_76,Julia played tag with 12 kids on Monday. She played tag with 7 kids on Tuesday. How many kids did she play with altogether?,2,19 (kids),Addition
77,question_77,Molly had 14 candles on her birthday cake. She grew older and got 6 more on her birthday cake. How old is Molly now?,2,20 (years old),Addition
78,question_78,James ate 22 carrot sticks before dinner and 15 more after dinner. How many carrot sticks did he eat?,2,37 (carrot sticks),Addition
79,question_79,Charles found 6 pennies on his way to school. He also had 3 nickels already at home. How much money does he now have in all?,2,21 (cents),Addition
80,question_80,"Jovana filled her bucket with 5 pounds of shells. If she adds 12 more pounds of shell to fill her bucket, how many pounds does she have?",2,17 (pounds),Addition
81,question_81,"Jovana filled her bucket with 5 pounds of shells. If a friend comes to add 15 pounds of shells, and another friend comes to add 17 pounds of shells, how many pounds does she have altogether?",2,37 (pounds),Sum
82,question_82,"Isha's pencil is 12 cubes long. If she gets another pencil that is 12 cubes long, how many cubes long are both pencils?",2,24 (cubes),Addition
83,question_83,Isabella's hair is 18 cubes long. She gets hair extensions and it doubles her length. How much hair does she have now?,2,36 (cubes),Addition
84,question_84,"Isabella's hair is 18 cubes long. If her hair grows 4 more inches, how long will it be?",2,22 (cubes),Addition
85,question_85,Mrs. Sheridan has 17 cats. Mr. Sheridan gave her 14 more cats. How many cats does Mrs. Sheridan have altogether?,2,31 (cats),Addition
86,question_86,Mrs. Sheridan has 22 fish. Her sister gave her 47 more fish. How many fish does she have now?,2,69 (fish),Addition
87,question_87,"Mrs. Heine is buying Valentine's Day treats for her 2 dogs. If she wants to buy them 3 heart biscuits each, how many biscuits does she need to buy?",2,6 (biscuits),Addition
88,question_88,"Mrs. Heine is buying Valentine's Day treats for her 2 dogs. If she wants to buy them 5 heart biscuits each and a set of puppy boots each, how many items will she buy?",2,12 (items),Addition
89,question_89,Cade had 87 marbles. He gave 8 to Dylan. How many does he have left?,2,79 (marbles),Subtraction
90,question_90,Michael has some fish in his fish tank. Ben gave him 18 more fish. Now he has 49. How many fish did he have to begin with?,2,31 (fish),Subtraction
91,question_91,Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?,2,66 (noodles),Addition
92,question_92,Hayley had 25 meatballs on her plate. Kirsten stole some of her meatballs. Now she has 11 meatballs on her plate. How many meatballs did Kirsten steal?,2,14 (meatballs),Subtraction
93,question_93,"Isabella's hair is 18 inches long. If she gets a haircut and now her hair is 9 inches long, how much of Isabella's hair got cut off?",2,9 (inches),Subtraction
94,question_94,Isabella's hair is 18 inches long. By the end of the year her hair is 24 inches long. How much hair did she grow?,2,6 (inches),Subtraction
95,question_95,Jovana had 5 pounds of shells in her bucket. She added some shells and now has 28 pounds of shells. How many pounds did she add?,2,23 (pounds),Subtraction
96,question_96,"Isha's pencil is 31 inches long. If she sharpens it, now her pencil is 14 inches long. How much did she sharpen off of her pencil?",2,17 (inches),Subtraction
97,question_97,"Isha's pencil is 22 inches long. If she sharpens two inches off on Monday and two inches on Tuesday, how long will her pencil be then?",2,18 (inches),TVQ-Final
98,question_98,Mrs. Sheridan has 11 cats. How many more cats does Mrs. Sheridan need to have 43 cats?,2,32 (cats),Subtraction
99,question_99,Mrs. Wong had 30 Valentines. She gave 8 Valentines to her children. How many does she have left?,2,22 (Valentines),Subtraction
100,question_100,Mrs. Franklin had 58 Valentines. Mrs. Franklin gave some to her students. Now she has 16. How many Valentines did Mrs. Franklin give to her students?,2,42 (Valentines),Subtraction
101,question_101,Mrs. Snyder made 86 heart cookies. She made 36 red cookies and the rest are pink. How many pink cookies did she make?,2,50 (pink cookies),Subtraction
102,question_102,29 birds were sitting in a tree. Some more fly up to the tree. Then there were 42 birds in the tree. How many more flew up to the tree?,2,13 (birds),Subtraction
103,question_103,"18 children were riding on the bus. At the bus stop, some more children got on the bus. Then there were 25 children altogether on the bus. How many children got on the bus at the bus stop?",2,7 (children),Subtraction
104,question_104,There were 28 girls and 35 boys on the playground at recess. How many children were there in all?,2,63 (children),Addition
105,question_105,The elephant had 407 peanuts. She ate 129 of them. How many peanuts did the elephant have left?,2,278 (peanuts),Subtraction
106,question_106,There were 58 geese and 37 ducks in the marsh. How many birds were there in all?,2,95 (birds),Addition
107,question_107,Robin had 18 pieces of gum. Her brother gave her some more pieces. Now Robin has 44 pieces in all. How many pieces of gum did Robin's brother give her?,2,26 (pieces),Subtraction
108,question_108,"Tommy had some balloons. His mom gave him 34 more balloons for his birthday. Then, Tommy had 60 balloons. How many balloons did Tommy have to start with?",2,26 (balloons),Subtraction
109,question_109,Alex had some candles for his Jack O'Lanterns. He used 32 of them. Now he has 12 left. How many candles did Alex have to start with?,2,44 (candles),Addition
110,question_110,There were 14 kids on the soccer field. 22 kids decided to join in. Now how many kids are on the soccer field?,2,36 (kids),Addition
111,question_111,Finn has 89 goldfish. 32 of the goldfish die. How many goldfish are left?,2,57 (goldfish),Subtraction
112,question_112,"Jane has 28 old, brown sheets of drawing paper and 27 old, yellow sheets of drawing paper. How many pieces of drawing paper does she have?",2,55 (pieces of drawing paper),Addition
113,question_113,Mikey had 356 leaves. Some of her leaves blew away. Now she has 112 leaves left. How many of her leaves blew away?,2,244 (leaves),Subtraction
114,question_114,Marcus has 210 baseball cards. He has 58 more than Carter. How many baseball cards does Carter have?,2,152 (baseball cards),Subtraction
115,question_115,Gavin has 23 shirts. 6 are blue the rest are green. How many green shirts does Gavin have?,2,17 (green shirts),Subtraction
116,question_116,Ethan has 31 presents. Alissa has 22 more than Ethan. How many presents does Alissa have?,2,53 (presents),Addition
117,question_117,"Cindy had 41 pieces of candy. She ate six pieces in the morning, and twelve more pieces in the afternoon. How many pieces of candy does she have left?",2,23 (pieces of candy),TVQ-Final
118,question_118,Robert wants to practice goal kicks for soccer. He decides to have 98 kicks before going home from the park. He takes 43 kicks before taking a break to get a drink of water. He then takes another 36 kicks. How many more kicks does he need to make before he goes home?,2,19 (kicks),TVQ-Final
119,question_119,Cindy has 105 stickers. She uses 23 stickers. She buys 45 more stickers. How many stickers does Cindy have now?,2,127 (stickers),TVQ-Final
120,question_120,Brian has 39 pencils. He gives 18 pencils to a friend. He buys 22 more pencils. How many pencils does Brian have now?,2,43 (pencils),TVQ-Final
121,question_121,Karen has 252 markers. Her mother gives her 34 more markers. Karen loses 11 markers. How many markers does she have now?,2,275 (markers),TVQ-Final
122,question_122,On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week. How many stickers did Pat have at the end of the week?,2,61 (stickers),Addition
123,question_123,Kelly had 56 apples. How many more apples does Kelly need to pick to have 105 apples altogether?,2,49 (apples),Subtraction
124,question_124,Todd has some gum. Steve gave him 16 more pieces of gum. Now Todd has 54 pieces of gum. How many pieces did Todd have to start with?,2,38 (pieces),Subtraction
125,question_125,Josh had 142 pencils. He gave 31 pencils to Dorothy. How many pencils does Josh have left?,2,111 (pencils),Subtraction
126,question_126,Nell collects baseball cards. She had 304 cards. She gave some of her cards to Jeff and now has 276 cards left. How many cards did Nell give to Jeff?,2,28 (cards),Subtraction
127,question_127,"Sarah had some trucks. She gave 13 to Jeff, and now she has 38 trucks left. How many trucks did Sarah have to start with?",2,51 (trucks),Addition
128,question_128,There are 40 boys and some girls on the playground. There are 117 children altogether. How many girls are on the playground?,2,77 (girls),Subtraction
129,question_129,Each CD rack holds 8 CDs. A shelf can hold four racks. How many total CDs can fit on the shelf?,2,32 (CDs),Sum
130,question_130,Carla has some marbles. She bought 134 marbles. Now she has 187 marbles. How many did she start with?,2,53 (marbles),Subtraction
131,question_131,Paco had 35 cookies. He ate 6 of them. How many cookies did Paco have left?,2,29 (cookies),Subtraction
132,question_132,Connie has 41 red markers and 64 blue markers. How many markers does she have altogether?,2,105 (markers),Addition
133,question_133,"Joe had fifty toy cars. If he gets twelve more cars, how many cars will he have then?",2,62 (cars),Addition
134,question_134,Maria had twenty-five pieces of gum. Tommy gave her sixteen more pieces. Luis gave her twenty more pieces. How many pieces of gum does Maria have now?,2,61 (pieces of gum),Sum
135,question_135,There are sixty-four pigs in the barn. Some more come to join them. Now there are eighty-six pigs. How many pigs came to join them?,2,22 (pigs),Subtraction
136,question_136,"Rosa had sixty-seven flowers. Andre gave her some more flowers. Now, Rosa has ninety flowers. How many flowers did Andre give to Rosa?",2,23 (flowers),Subtraction
137,question_137,Adolfo made a tower with thirty-five blocks. He added some more blocks and now he has sixty-five blocks. How many did he have to add?,2,30 (blocks),Subtraction
138,question_138,Lucy put sixty-eight shells in her bucket. She found some more shells and now she has eighty-nine shells. How many more did she find?,2,21 (shells),Subtraction
139,question_139,Hugo had seventy-nine stickers in his sticker book. He got some more to add to his book and now he has one hundred-twenty stickers. How many did he add to his book?,2,41 (stickers),Subtraction
140,question_140,Josh had 16 marbles in his collection. He lost 7 marbles. How many marbles does he have now?,2,9 (marbles),Subtraction
141,question_141,Megan has 19 seashells. How many more seashells does she need to find to have 25 seashells in her collection?,2,6 (seashells),Subtraction
142,question_142,Brad has 17 balloons. 8 balloons are red and the rest are green. How many green balloons does Brad have?,2,9 (balloons),Subtraction
143,question_143,There are 38 books on the shelf. Marta put 10 more books on the shelf. How many books are on the shelf now?,2,48 (books),Addition
144,question_144,A bee has 6 legs. How many legs do 8 bees have?,2,48 (legs),Multiplication
145,question_145,Mrs. Hilt bought an ice cream cone for 99 cents. How much would 2 ice cream cones cost?,2,198 (cents),Addition
146,question_146,Mrs. Hilt wants to make a border around her garden. She needs 125 rocks to complete the border. She has 64 rocks. How many more rocks does she need to complete the border?,2,61 (rocks),Subtraction
147,question_147,Mrs. Hilt had 38 marbles. She lost 15 of them. How many marbles does she have left?,2,23 (marbles),Subtraction
148,question_148,Mrs. Hilt and her sister drove to a concert 78 miles away. They drove 32 miles and then stopped for gas. Her sister put 28 gallons of gas in the car. How many miles did they have left to drive?,2,46 (miles),Subtraction
149,question_149,Mrs. Hilt spent 1 hour and 30 minutes shoveling snow on Saturday morning and 45 minutes shoveling snow on Saturday afternoon. How much total time did she spend shoveling snow?,2,135 (minutes),Sum
150,question_150,Mrs. Hilt bought 6 hot dogs. Each hot dog cost 50 cents. How much money did she pay for all of the hot dogs?,2,300 (cents),Multiplication
151,question_151,Mrs. Hilt reads 13 books on every day that starts with the letters T and S. How many books does she read in one week?,2,52 (books),Multiplication
152,question_152,Mrs. Hilt has 50 cents. A pencil costs 5 cents. How many pencils can she buy with the money she has?,2,10 (pencils),Common-Division
153,question_153,"Mrs. Hilt saw 33 butterflies. Some of the butterflies were red and others were orange. If 20 of the butterflies were orange, how many of them were red?",2,13 (butterflies),Subtraction
154,question_154,Mrs. Hilt bought a pencil for 17 cents. She used exactly minimized coins to buy the pencil. How many coins did she use?,2,4 (coins),Sum
155,question_155,Mrs. Hilt had 43 cents. She bought a pencil for 20 cents and a piece of candy for 5 cents. How much money did she have left?,2,18 (cents),TVQ-Final
156,question_156,"On Tuesday, Mrs. Hilt saw 88 raisins on a tray in the cafeteria. That was 8 more raisins than she saw the day before. How many raisins were on the table on Monday?",2,80 (raisins),Subtraction
157,question_157,"Mrs. Hilt bought carnival tickets. The tickets cost $1 for 4 tickets. If Mrs. Hilt bought 12 tickets, how much did she pay?",2,3 (dollars),Common-Division
158,question_158,Mrs. Hilt bought 3 pizzas for $8 each. What was the total amount she paid for the three pizzas?,2,24 (dollars),Multiplication
159,question_159,"Mrs. Hilt saw 21 snakes, 11 alligators, 36 frogs, and 57 bears. How many reptiles did Mrs. Hilt see?",2,32 (reptiles),Addition
160,question_160,The Hawks scored three touchdowns worth 7 points each. How many points do they have?,2,21 (points),Multiplication
161,question_161,I have 28 cents in my pocket. How coins could I have on minimization?,2,4 (coins),Addition
162,question_162,Zach scored 42 points in the football game. Ben scored 21 points. How many more points did Zach score?,2,21 (points),Subtraction
163,question_163,A game spinner has 5 equal parts. Two parts are blue and three parts are purple. Which color would you most likely spin?,2,Purple,Comparison
164,question_164,"I have 3 hundreds, 8 tens, and 3 ones. What number am I?",2,383,Number-Operation
165,question_165,The puppet show begins at 2:00 p.m. It lasts 1 hour and 30 minutes. What time does it end?,2,3:30 p.m.,Sum
166,question_166,John's birthday is January 20th. His sister's birthday comes 14 days later. When is his sister's birthday?,2,February 3rd,Subtraction
167,question_167,A quarter equals $0.25. How many quarters equal $2.25?,2,9 (quarters),Common-Division
168,question_168,Kate has 223 pennies. John has 388 pennies. How many more pennies does John have?,2,165 (pennies),Subtraction
169,question_169,There are 5 birds in a tree. How many bird legs do you see?,2,10 (bird legs),Multiplication
170,question_170,"Two dimes and 3 pennies, does the former equal the latter?",2,Yes,Comparison
171,question_171,There are 3 spiders. How many spider legs are there?,2,24 (spider legs),Multiplication
172,question_172,Karen wants to buy a pen that costs 75 cents. She has 2 quarters and 3 dimes. Does she have enough money?,2,Yes,Comparison
173,question_173,Jeff has twice as many crayons as Joan. Joan has 12 crayons. How many does Jeff have?,2,24 (crayons),Multiplication
174,question_174,It is 2:00. What time will it be in three hours and forty-five minutes?,2,5:45,Sum
175,question_175,Kate gave the clerk $1.00. Her candy cost 54 cents. How much change should Kate get back?,2,0.46 (dollars),Subtraction
176,question_176,"Mark has 13 trees in his backyard. If he plants 12 more, how many trees will he have?",2,25 (trees),Addition
177,question_177,Joy will see her grandma in two days. How many hours until she sees her?,2,48 (hours),Multiplication
178,question_178,Kim has 4 cousins. She wants to give each one 5 pieces of gum. How much gum will she need?,2,20 (pieces of gum),Multiplication
179,question_179,Dan has $3.00. He bought a candy bar for $1.00. How much money is left?,2,2 (dollars),Subtraction
180,question_180,5 boats are in the lake. Each boat has 3 people. How many people are on boats in the lake?,2,15 (people),Multiplication
181,question_181,"There are 43 dogs, 72 fish, and 34 cats at my farm. How many pets do I have at my farm?",2,149 (pets),Sum
182,question_182,Dane eats lunch at 12:30. It takes him 20 minutes to eat. What time does Dane finish eating?,2,12:50,Addition
183,question_183,"Kyle has four dimes, one nickel, and one quarter. Does he have enough to buy a book that costs $1.00?",2,No,Comparison
184,question_184,Charlie has 31 more snowballs than Lucy. She has 19 snowballs. How many does Charlie have?,2,50 (snowballs),Addition
185,question_185,Josh had $1.80. He paid 45 cents for a candy car. How much change will he get?,2,1.35 (dollars),Subtraction
186,question_186,"I have 9 pennies, 4 nickels, and 3 dimes. How much money do I have?",2,0.59 (dollars),Sum
187,question_187,Randy has 78 blocks. He uses 19 blocks to build a tower. How many blocks are left?,2,59 (blocks),Subtraction
188,question_188,Hailey's bus is third in line. Danny's bus is 3 buses behind hers. What place in line is Danny's bus?,2,6th,Sequential-Operation
189,question_189,"Alex has 5 dimes, 4 nickels and one penny. Does he have enough to buy a hat that costs 90 cents?",2,No,Comparison
190,question_190,"Gino has 15 brown bears, 24 white bears, and 27 black bears. How many bears does Gino have?",2,66 (bears),Sum
191,question_191,"Rob has seven quarters, three dimes, five nickels, and twelve pennies. How much money does Rob have?",2,2.42 (dollar),Sum
192,question_192,"Morgan has 65 red pens, 45 blue pens, and 58 black pens. How many pens does she have?",2,168 (pens),Sum
193,question_193,Adi bought a pencil for 35 cents. He paid with a one-dollar bill. How much change will he get?,2,65 (change),Subtraction
194,question_194,Rachel is third in line. Julie is 2 spots in front of her. What place in line is Julie?,2,1st,Sequential-Operation
195,question_195,Bryan has 50 skittles. Ben has 20 M&amp;M's. Who has more?,2,Bryan,Comparison
196,question_196,Bryan has 50 skittles. Ben has 20 M&amp;M's. How many more does Brian have?,2,30 (skittles),Subtraction
197,question_197,"It takes 20 minutes to cook pizza. If Jack wants to eat at 6:30, what time should he put it in the oven?",2,6:10,Subtraction
198,question_198,"It takes 15 minutes for Michael to get to Edgewood. If Michael arrives at 8:30, what time did Michael leave to get there?",2,8:15,Subtraction
199,question_199,The train left for the station at 9:45 and arrived at 10:00. How long did it take?,2,15 (minutes),Subtraction
200,question_200,"Charlie and his father, an engineer, decided to build a treehouse in their backyard. In order to start constructing the house, Charlie and his father needed to gather some wood from the forest. If they initially have 15 extra planks of wood in the house and Charlie and his father got 10 planks of wood each, how many pieces of wood do they have in total?",3,35 (pieces),Sum
201,question_201,"While building the house, Charlie noticed that they were running out of nails so he told his father he's going to buy some. If they still have 9 nails left and Charlie bought 2 boxes of nails, the big one containing 55 nails and the small one containing 31, how many nails will they have?",3,95 (nails),Sum
202,question_202,"To have a more stable treehouse, Charlie's father decided to tie the corner posts of the house to the tree itself. He used 24 inches of rope for the first post, 20 inches on the second, 14 inches on the third and 12 inches on the fourth. How many inches of rope were used?",3,70 (inches),Sum
203,question_203,"The treehouse is almost done; all they need is to paint it. His father estimated that they will use 20 ounces of white paint, 15 ounces of green paint and 34 ounces of brown paint. How many ounces of paint would they buy in total?",3,69 (ounces),Sum
204,question_204,"Upon finishing the treehouse, Charlie's mother served them freshly baked cookies. If Charlie ate 15 cookies, his father ate 10 and his mother only ate 5, how many cookies were eaten in total?",3,30 (cookies),Sum
205,question_205,"Annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party. Jessica, Annie's best friend, is hosting the party. She plans on making pizza for everyone. If she bought 15 pieces of pepperoni, 10 pieces of salami and 30 pieces of bacon as meat ingredients, how many pieces of meat did she buy in total?",3,55 (pieces),Sum
206,question_206,"Andrew, Annie's other friend, was assigned with the preparation of appetizers. He decided to bring 30 hotdogs on sticks, 20 pieces of bite-sized cheese pops and 40 pieces of chicken nuggets. How many portions of appetizers did Andrew bring in all?",3,90 (portions),Sum
207,question_207,"Annie's mother has also been asked to be a part of the surprise. She was tasked to be in charge of drinks. She made 25 glasses of orange juice, 15 glasses of grape juice and 5 glasses of apple juice. How many glasses of juice would there be?",3,45 (glasses),Sum
208,question_208,"Annie's friends wanted to make sure that there will be enough utensils to go around. If they already have 10 spoons and 10 forks and they bought 30 more for forks and 20 more spoons, how many utensils do they have available for the party?",3,70 (utensils),Sum
209,question_209,"On the actual day of Annie's birthday, almost everyone in her class came to surprise her. If Annie has 15 girl classmates, 20 boy classmates and 3 teachers in her class, how many people attended her birthday party?",3,38 (people),Sum
210,question_210,"It's Halloween in Chicago. Bob, Mary, John, Sue and Sam dressed as superheroes and went out to do some trick or treating. After passing through the houses on Main Street, the five friends counted how much candy they have. If Bob has 10 candies, Mary has 5, Sue has 20, John has 5 as well and Sam has also 10 candies. How many candies did they have together?",3,50 (candies),Sum
