,question,solution,answer,topic,question_number
90,Iron Man has 49 armors. He uses 20 of them for offense. He uses 15 of them for defense. He uses 10 of them for special teams. He uses 5 of them for the practice squad. How many armors does Iron Man have?,"def solution():
    #Iron Man has 20 offensive armors
    offensive_armors = 20
    #15 defensive armors
    defensive_armors = 15
    #10 special teams armors
    special_teams_armors = 10
    #5 practice squad armors
    practice_squad_armors = 5
    #The answer is
    result = offensive_armors + defensive_armors + special_teams_armors + practice_squad_armors
    return result",50,Iron Man,mammoth_q90
1060,"Thor, the God of Thunder, is a superhero. He has 1200 ryo. 1/4 of his ryo is in the form of coins. 1/2 of his ryo is in the form of bills. 1/8 of his ryo is in the form of a check. How many ryo is in the form of a check?","def solution():
    #Thor has 1200 ryo
    ryo_total = 1200
    #1/4 of his ryo is in the form of coins
    ryo_coins = ryo_total / 4
    #1/2 of his ryo is in the form of bills
    ryo_bills = ryo_total / 2
    #1/8 of his ryo is in the form of a check
    ryo_check = ryo_total / 8
    #The answer is
    result = ryo_check
    return result",150.0,"Thor, the God of Thunder",llama_q1052
464,"The cheerleaders performed an energetic cheer at their school's basketball game. 
The male cheerleaders performed in the back row. 
The girls performed in front of the male cheerleaders. 
How many total cheerleaders were at the game?","def solution():
    #There were 4 male cheerleaders
    male_cheerleaders = 4
    #There were 6 female cheerleaders
    female_cheerleaders = 6
    #The answer is
    result = male_cheerleaders + female_cheerleaders
    return result",10,cheer leading,llema_q464
41,Wonder Woman has 2000 fans. 500 of them are in the A-list. 300 of the A-listers are in the VIP. 100 of the VIPs are in the Platinum tier. How many fans are in the Platinum tier?,"def solution():
    #Wonder Woman has 2000 fans
    total_fans = 2000
    #500 of them are in the A-list
    a_list_fans = 500
    #300 of the A-listers are in the VIP
    vip_fans = 300
    #100 of the VIPs are in the Platinum tier
    platinum_fans = 100
    #The answer is
    result = platinum_fans
    return result",100,Wonder Woman,mammoth_q41
299,Thor can throw his hammer 25 miles in 5 minutes. How many miles can he throw his hammer in 10 minutes?,"def solution():
    #Thor can throw his hammer 25 miles in 5 minutes
    miles_per_5_minutes = 25
    #The answer is
    result = (miles_per_5_minutes * 10) / 5
    return result
print(solution())",50.0,"Thor, the God of Thunder",mammoth_q299
326,A wild Pikachu appears. You throw a Pokéball at it. The chance of catching a Pikachu is 1/3. What is the probability of not catching the Pikachu?,"def solution():
    # The probability of catching a Pikachu is 1/3
    probability_catching_pikachu = 1/3
    # The probability of not catching the Pikachu is 1 - probability_catching_pikachu
    probability_not_catching_pikachu = 1 - probability_catching_pikachu
    return probability_not_catching_pikachu
print(solution())",0.6666666666666667,Pokémon,mammoth_q326
241,Serena Williams has 23 Grand Slam titles.  She is 4 Grand Slam titles away from the all-time record.  She wins 1 Grand Slam title a year.  How many years will it take for her to break the all-time record?,"def solution():
    #Serena Williams's current Grand Slam titles
    williams_grand_slam_titles = 23
    #Grand Slam titles away from the all-time record
    away_from_record = 4
    #Grand Slam titles per year
    per_year = 1

    #years to break the all-time record
    years_to_break_record = away_from_record / per_year

    return years_to_break_record",4.0,Serena Williams,mathwell_q237
279,"The bakery made 120 cookies. They sold 20 on Monday, 30 on Tuesday, and 40 on Wednesday. How many cookies are left?","def solution():
    #The bakery started with 120 cookies
    cookies_initial = 120
    #They sold 20 on Monday
    cookies_sold_monday = 20
    #30 on Tuesday
    cookies_sold_tuesday = 30
    #And 40 on Wednesday
    cookies_sold_wednesday = 40
    #The answer is
    result = cookies_initial - cookies_sold_monday - cookies_sold_tuesday - cookies_sold_wednesday
    return result",30,cookies,mammoth_q279
291,Steph Curry can make 5 three-pointers in 5 minutes. How many three-pointers can he make in 60 minutes?,"def solution():
    #Steph Curry can make 5 three-pointers in 5 minutes
    three_pointers_5_minutes = 5
    #60 minutes is 12 times 5 minutes
    time_60_minutes = 12
    #The answer is
    result = three_pointers_5_minutes * time_60_minutes
    return result",60,Steph Curry,mammoth_q291
236,"A soccer team has 11 players. 3 of the players are forwards, 5 are midfielders, and the rest are defenders. How many defenders are there?","def solution():
    #The soccer team has 11 players
    total_players = 11
    #3 of the players are forwards
    forwards = 3
    #5 are midfielders
    midfielders = 5
    #The rest are defenders
    defenders = total_players - forwards - midfielders
    return defenders",3,soccer,mathwell_q233
328,The candy store has 100 Skittles and 252 Starbursts. How many times more Starbursts does the store have?,"def solution():
    #The store has 100 Skittles
    skittles = 100
    #The store has 252 Starbursts
    starbursts = 252
    #The answer is
    result = starbursts / skittles
    return result",2.52,candy,llema_q328
1080,Spiderman has 100 spiderwebs. 50 of them are used to make a web net to catch criminals. 20 of them are used to make a web rope to swing around the city. 10 of them are used to make a web parachute. How many spiderwebs does he have left?,"def solution():
    #Spiderman started with 100 spiderwebs
    spiderwebs_initial = 100
    #50 of them were used to make a web net to catch criminals
    spiderwebs_net = 50
    #20 of them were used to make a web rope to swing around the city
    spiderwebs_rope = 20
    #10 of them were used to make a web parachute
    spiderwebs_parachute = 10
    #The answer is
    result = spiderwebs_initial - spiderwebs_net - spiderwebs_rope - spiderwebs_parachute
    return result",20,Spiderman,llama_q1070
487,"Superman can fly at a top speed of 1,000 mph.  He's in a race with the Flash, who can run at a top speed of 1,000,000 mph.  The race is 1,000,000 miles long.  How long does it take for the Flash to finish the race?","def solution():
    #Superman's top speed
    superman_speed = 1000
    #Flash's top speed
    flash_speed = 1000000
    #Race distance
    race_distance = 1000000
    #The answer is
    result = race_distance / flash_speed
    return result",1.0,Superman,mathwell_q479
790,"Ninja wants to play Fortnite on Playstation 4.  Fortnite costs $15.00, but a new game costs$45.00. How much more does the new game for PS4 cost than the original game?","def solution():
    #Fortnite costs $15.00  #A new game costs$45.00
    new_game_cost = 45
    #The answer is
    difference = new_game_cost - 15
    result = difference
    return result",30,Fortnite,llema_q787
244,Barbie has 2000 dresses. She wears 1000 dresses on Tuesday and 500 dresses on Wednesday. How many dresses does she have left?,"def solution():
    #Barbie started with 2000 dresses
    dresses_initial = 2000
    #She wore 1000 dresses on Tuesday
    dresses_worn_tuesday = 1000
    #She wore 500 dresses on Wednesday
    dresses_worn_wednesday = 500
    #The answer is
    result = dresses_initial - dresses_worn_tuesday - dresses_worn_wednesday
    return result",500,Barbie,llama_q244
622,Serena Williams is playing a tennis match. She has won 3 games and her opponent has won 2 games. How many more games does Serena need to win to win the match?,"def solution():
    #Serena Williams has won 3 games
    serena_games = 3
    #Her opponent has won 2 games
    opponent_games = 2
    #The answer is
    result = serena_games + 2 - opponent_games
    return result",3,Serena Williams,llama_q620
1200,"The Empire State Building is 1,250 feet tall. The Eiffel Tower is 984 feet tall. How many feet taller is the Empire State Building?","def solution():
    #The Empire State Building is 1,250 feet tall
    empire_state_building_height = 1250
    #The Eiffel Tower is 984 feet tall
    eiffel_tower_height = 984
    #The answer is
    result = empire_state_building_height - eiffel_tower_height
    return result",266,trains,llama_q1187
314,A car travels 50 miles per hour for 2 hours. How far is the car from where it started?,"def solution():
    # define the variables
    speed = 50  # in miles per hour
    time = 2  # in hours

    # calculate the distance
    distance = speed * time

    # return the result
    return distance
print(solution())",100,cars,mammoth_q314
146,Iron Man has 12 hours to reach his destination. He can travel 40 miles per hour. How many miles can he travel in the given time?,"def solution():
    #Iron Man has 12 hours to reach his destination
    time = 12
    #He can travel 40 miles per hour
    speed = 40
    #The distance he can travel is
    result = time * speed
    return result
print(solution())",480,Iron Man,mammoth_q146
221,Harry Potter has 200 galleons. He spent 93 galleons in the morning and 39 galleons in the afternoon. A store returned 6 galleons. How many galleons does Harry Potter have left?,"def solution():
    # Harry Potter started with 200 galleons
    galleons_start = 200
    # He spent 93 galleons in the morning and 39 galleons in the afternoon
    galleons_spent_morning = 93
    galleons_spent_afternoon = 39
    # A store returned 6 galleons
    galleons_returned = 6
    # The answer is
    result = galleons_start - galleons_spent_morning - galleons_spent_afternoon + galleons_returned
    return result",74,Harry Potter,mammoth_q221
101,"There are 100 unicorns in a magical forest. 25 of them are pink, 30 of them are blue, and the rest are rainbow. How many unicorns are rainbow?","def solution():
    # total unicorns
    total_unicorns = 100
    # pink unicorns
    pink_unicorns = 25
    # blue unicorns
    blue_unicorns = 30
    # rainbow unicorns
    rainbow_unicorns = total_unicorns - pink_unicorns - blue_unicorns
    return rainbow_unicorns",45,unicorns,mathwell_q101
427,A cookie has 100 calories. How many calories are in 10 cookies?,"def solution():
    #A cookie has 100 calories
    calories_per_cookie = 100
    #10 cookies will have
    calories_10_cookies = 10 * calories_per_cookie
    return calories_10_cookies",1000,cookies,llama_q427
96,"Captain America has a shield in the shape of a circle. The shield is 2 meters in diameter, and is 2 meters tall. If Captain America holds his shield like a cone, 2 meters above the ground, how many square meters of the shield will be touching the ground?","def solution():
    #The diameter of the shield
    shield_diameter = 2
    #The height of the shield
    shield_height = 2
    #The area of the circle
    circle_area = 3.141592 * (shield_diameter/2) ** 2
    #The volume of the cone
    cone_area = 3.14 * 2 * (shield_height - 2) ** 2
    #The answer is
    result = circle_area - cone_area
    return result",3.141592,Captain America,llema_q96
941,"A Minecraft player has 1000 Minecoins. He spends 200 on a new skin, 300 on a new cape, and 100 on a new world. How many Minecoins does he have left?","def solution():
    #The player started with 1000 Minecoins
    minecoins_initial = 1000
    #He spent 200 on a new skin, 300 on a new cape, and 100 on a new world
    minecoins_spent_skin = 200
    minecoins_spent_cape = 300
    minecoins_spent_world = 100
    #The answer is
    result = minecoins_initial - minecoins_spent_skin - minecoins_spent_cape - minecoins_spent_world
    return result",400,Minecraft,mathwell_q909
615,Batman has 1000 Batarangs. He uses 200 of them to fight the Joker. He then uses 300 of them to fight Bane. How many Batarangs does he have left?,"def solution():
    #Batman has 1000 Batarangs
    batarangs_initial = 1000
    #He uses 200 of them to fight the Joker
    batarangs_used_against_joker = 200
    #He then uses 300 of them to fight Bane
    batarangs_used_against_bane = 300
    #The answer is
    result = batarangs_initial - batarangs_used_against_joker - batarangs_used_against_bane
    return result",500,Batman,mathwell_q594
1100,T'Challa can throw 20 punches in 10 seconds. How many punches can he throw in 3 minutes?,"def solution():
    #T'Challa can throw 20 punches in 10 seconds
    punches_per_10_seconds = 20
    #How many punches can he throw in 3 minutes?
    punches_per_3_minutes = punches_per_10_seconds * 3 * 6
    #The answer is
    result = punches_per_3_minutes
    return result",360,Black Panther,llama_q1090
894,James made 50 cookies. He took 40 cookies to the park. 15 people ate those cookies. James made another 75 cookies. How many cookies did James make?,"def solution():
    # total cookies
    total_cookies = 50
    return result",5,cookies,llema_q890
501,"You gave Hello Kitty a bottle of water. You used a pitcher and poured in 2L. Then you poured in 1L in a second time. Finally, you poured in 3L in a third time. There was still 3L left. How much water could the bottle hold?","def solution():
    #You gave Hello Kitty a bottle of water. You used a pitcher and poured in 2L
    poured_first = 2
    #Then you poured in 1L in a second time
    poured_second = 1
    #and 3L in a third time
    poured_third = 3
    #There was still 3L left
    left_over = 3
    #The answer is
    result = poured_first + poured_second + poured_third + left_over
    return result",9,Hello Kitty,llema_q501
125,"If one scoop of ice cream is 50 calories, and you can eat 10 scoops of ice cream in 10 seconds, how many calories can you eat in 40 seconds?","def solution():
    #One scoop of ice cream is 50 calories
    calories_per_scoop = 50
    #You can eat 10 scoops of ice cream in 10 seconds
    scoops_in_10_seconds = 10
    #You can eat 10*4 = 40 scoops of ice cream in 40 seconds
    scoops_in_40_seconds = scoops_in_10_seconds * 4
    #The total calories you can eat in 40 seconds is 40*50 = 2000
    total_calories = calories_per_scoop * scoops_in_40_seconds
    return total_calories",2000,ice cream,mammoth_q125
1112,"A candy store has 200 lollipops. They sold 50 on Monday, 35 on Tuesday, and 45 on Wednesday. How many lollipops are left?","def solution():
    #The candy store started with 200 lollipops
    lollipops_initial = 200
    #They sold 50 on Monday, 35 on Tuesday, and 45 on Wednesday
    lollipops_sold_monday = 50
    lollipops_sold_tuesday = 35
    lollipops_sold_wednesday = 45
    #The answer is
    result = lollipops_initial - lollipops_sold_monday - lollipops_sold_tuesday - lollipops_sold_wednesday
    return result",70,candy,llama_q1102
1168,"There are 300 dogs in a dog park. 200 of the dogs are large, 60 of the dogs are medium, and 40 of the dogs are small. How many large and small dogs are there?","def solution():
    #There are 300 dogs in a dog park
    dogs_total = 300
    #200 of the dogs are large
    dogs_large = 200
    #60 of the dogs are medium
    dogs_medium = 60
    #40 of the dogs are small
    dogs_small = 40
    #The answer is
    result = dogs_large + dogs_small
    return result",240,dogs,mathwell_q1124
1007,5000 people are in the stands at a football game. 750 of them are wearing the home team's jersey. 2500 are wearing the away team's jersey. The rest are wearing neutral jerseys. How many people are wearing neutral jerseys?,"def solution():
    #Total number of people in the stands
    total_people = 5000
    #Number of people wearing home team's jersey
    home_team_jersey = 750
    #Number of people wearing away team's jersey
    away_team_jersey = 2500
    #Number of people wearing neutral jerseys is
    neutral_jersey = total_people - home_team_jersey - away_team_jersey
    return neutral_jersey",1750,soccer,llama_q1001
1147,A 250-car train is 2.5 miles long. How many 250-car trains can fit on a 100-mile track?,"def solution():
    #1 train is 2.5 miles long
    train_length = 2.5
    #100 miles is 400,000 feet
    track_length = 100 * 5280
    #The answer is
    result = track_length / train_length
    return result",211200.0,trains,mathwell_q1105
89,"There are 300 dogs in a shelter. 
20% of them are pitbulls. 
10% of the remaining dogs are chihuahuas. 
How many dogs are left?","def solution():
    #Total number of dogs
    total_dogs = 300
    #Number of pitbulls
    pitbulls = 0.20 * total_dogs
    #Remaining dogs after removing pitbulls
    remaining_dogs = total_dogs - pitbulls
    #Number of chihuahuas
    chihuahuas = 0.10 * remaining_dogs
    #Remaining dogs after removing chihuahuas
    remaining_dogs_final = remaining_dogs - chihuahuas
    return remaining_dogs_final
print(solution())",216.0,dogs,mammoth_q89
1062,"There are 4 Ninja Turtles. 
Raphael is 6'2"" tall. 
Leonardo is 1' shorter than Raphael. 
Michelangelo is 2' shorter than Leonardo. 
Donatello is 3' taller than Michelangelo. 
How tall is Donatello?","def solution():
    #Raphael is 6'2"" tall
    raphael_height = 6.2
    #Leonardo is 1' shorter than Raphael
    leonardo_height = raphael_height - 1
    #Michelangelo is 2' shorter than Leonardo
    michelangelo_height = leonardo_height - 2
    #Donatello is 3' taller than Michelangelo
    donatello_height = michelangelo_height + 3
    #The answer is
    result = donatello_height
    return result",6.2,Ninja Turtles,mathwell_q1024
933,The soccer team has 200 fans. 1/4 of the fans are from the United States. 1/5 of the fans are from the United Kingdom. 1/8 of the fans are from Germany. 1/10 of the fans are from France. The rest of the fans are from other countries. How many of the fans are from other countries?,"def solution():
    #Total fans
    total_fans = 200
    #Fans from the US
    fans_us = total_fans / 4
    #Fans from the UK
    fans_uk = total_fans / 5
    #Fans from Germany
    fans_germany = total_fans / 8
    #Fans from France
    fans_france = total_fans / 10
    #Fans from other countries. The answer is
    fans_other = total_fans - fans_us - fans_uk - fans_germany - fans_france
    return fans_other",65.0,soccer,mathwell_q901
333,"In a lacrosse game, Team A scored 4 goals in the first quarter, 6 goals in the second quarter, and 5 goals in the third quarter. How many goals did Team A score in the first three quarters of the game?","def solution():
    # Team A scored 4 goals in the first quarter, 6 goals in the second quarter, and 5 goals in the third quarter.
    goals_first_quarter = 4
    goals_second_quarter = 6
    goals_third_quarter = 5
    # The total goals scored in the first three quarters is the sum of the goals in each quarter.
    total_goals = goals_first_quarter + goals_second_quarter + goals_third_quarter
    return total_goals",15,lacrosse,mammoth_q333
296,"Malcolm is shooting three-point shots, and he shoots 42% overall. If Malcolm attempts 60% more three-point shots than two-point shots, how many more three-point shots must he attempt in order to have attempted an equal number of two-point and three-point shots?","def solution():
    two_pointers = 20
    three_pointers = 60
    total_shots = 40
    #Two-point shots
    #Two-pointers/total*100%
    two_pointers_percent = two_pointers / total_shots * 100
    #Three-point shots
    #Three-pointers/total*100%
    three_pointers_percent = three_pointers / total_shots * 100
    #The answer is
    result = three_pointers - two_pointers
    return result",40,basketball,llema_q296
954,"The airport has 1000 planes. 
200 of them are for international flights. 
300 of them are for domestic flights. 
The rest are for charter flights. 
How many planes are for charter flights?","def solution():
    #Total number of planes
    total_planes = 1000
    #Number of planes for international flights
    international_planes = 200
    #Number of planes for domestic flights
    domestic_planes = 300
    #The answer is
    result = total_planes - international_planes - domestic_planes
    return result",500,planes,mathwell_q922
24,Harry Potter has 7 books. Each book has 200 pages. How many total pages are there in all the books?,"def solution():
    # number of books
    books = 7
    # number of pages per book
    pages_per_book = 200
    # calculate total pages
    total_pages = books * pages_per_book
    return total_pages",1400,Harry Potter,mammoth_q24
218,Batman can climb 250 ledges in one hour. 150 more ledges than that in the next hour. 25% less than that in the third hour. How many ledges can he climb in three hours?,"def solution():
    #Batman can climb 250 ledges in one hour
    ledges_hour_1 = 250
    #150 more ledges than that in the next hour
    ledges_hour_2 = ledges_hour_1 + 150
    #25% less than that in the third hour
    ledges_hour_3 = ledges_hour_2 - ledges_hour_2 * 0.25
    #The answer is
    result = ledges_hour_1 + ledges_hour_2 + ledges_hour_3
    return result",950.0,Batman,llema_q218
81,"If a person eats 3 scoops of ice cream in 5 minutes, how many scoops of ice cream can they eat in 10 minutes?","def solution():
    # define the variables
    scoops_in_5_minutes = 3
    minutes = 10

    # calculate the number of scoops in 10 minutes
    scoops_in_10_minutes = (scoops_in_5_minutes / 5) * minutes

    # print the result
    return scoops_in_10_minutes
print(solution())",6.0,ice cream,mammoth_q81
1368,Hello Kitty has 2000 yen. She spends 1000 yen on a new outfit and 500 yen on a new toy. How much yen does she have left?,"def solution():
    #Hello Kitty started with 2000 yen
    yen_initial = 2000
    #She spent 1000 yen on a new outfit
    yen_spent_outfit = 1000
    #She spent 500 yen on a new toy
    yen_spent_toy = 500
    #The answer is
    result = yen_initial - yen_spent_outfit - yen_spent_toy
    return result",500,Hello Kitty,mathwell_q1313
859,Mentos sell for $3.25 per bag. How much do 4 bags of Mentos cost?,"def solution(): #Mentos sell for$3.25 per bag
    candy_price_per_bag = 3.25
    #The price of 4 bags is
    return result",5,candy,llema_q855
938,Steve has 200 blocks of stone. He uses 150 blocks to build a house. He uses 20 blocks to build a tower. He uses 10 blocks to build a wall. He uses 10 blocks to build a fence. How many blocks of stone does Steve have left?,"def solution():
    #Steve has 200 blocks of stone
    stone_total = 200
    #He uses 150 blocks to build a house
    house_blocks = 150
    #He uses 20 blocks to build a tower
    tower_blocks = 20
    #He uses 10 blocks to build a wall
    wall_blocks = 10
    #He uses 10 blocks to build a fence
    fence_blocks = 10
    #The answer is
    result = stone_total - house_blocks - tower_blocks - wall_blocks - fence_blocks
    return result",10,Minecraft,llama_q932
1349,"100 cars are parked in a parking lot. 20 of them are Toyotas, 30 of them are Hondas, and 40 of them are Fords. The rest of the cars are Chevrolets. How many Chevrolets are in the parking lot?","def solution():
    #100 cars are parked in a parking lot
    total_cars = 100
    #20 of them are Toyotas
    toyota_cars = 20
    #30 of them are Hondas
    honda_cars = 30
    #40 of them are Fords
    ford_cars = 40
    #The rest of the cars are Chevrolets. The answer is
    chevrolet_cars = total_cars - toyota_cars - honda_cars - ford_cars
    return chevrolet_cars",10,cars,llama_q1334
495,"Taylor Swift sold 240,000 copies of Lover at a price of $13.99. That means she earned$3,455,200. She also got 20,000 copies of Lover for free. How much money did Taylor Swift make with Lover?","def solution():
    #Taylor Swift sold 240,000 copies of Lover at a price of $13.99. #240,000 *$13.99
    money_made_by_lover = 240000 * 13.99
    result = 3455200 - money_made_by_lover
    return result",97600.0,Taylor Swift,llema_q495
303,There are 100 Ninja Turtles. 1/3 of the Ninja Turtles are in the sewers. 1/4 of the Ninja Turtles in the sewers are in the Technodrome. How many Ninja Turtles are in the Technodrome?,"def solution():
    #Total number of Ninja Turtles
    total_turtles = 100
    #1/3 of the Ninja Turtles are in the sewers
    sewer_turtles = total_turtles / 3
    #1/4 of the Ninja Turtles in the sewers are in the Technodrome
    technodrome_turtles = sewer_turtles / 4
    #The answer is
    result = technodrome_turtles
    return result",8.333333333333334,Ninja Turtles,llama_q303
930,"Serena Williams is the best tennis player in the world. She has 39 Grand Slam titles. In 2016, she won 2 Grand Slam titles. How many more Grand Slam titles does she need to win to reach 50?","def solution():
    #Serena Williams has 39 Grand Slam titles
    grand_slam_titles = 39
    #She won 2 Grand Slam titles in 2016
    grand_slam_titles_2016 = 2
    #The answer is
    result = grand_slam_titles + grand_slam_titles_2016
    return result",41,Serena Williams,llama_q924
116,"Thor, the God of Thunder can throw his hammer 10 times a day and he does this for 5 days of the week. How many times did he throw his hammer in 4 weeks?","def solution():
    #Thor can throw his hammer 10 times a day
    hammer_throws_per_day = 10
    #He does this for 5 days of the week
    days_per_week = 5
    #There are 4 weeks
    weeks = 4
    #The answer is
    result = hammer_throws_per_day * days_per_week * weeks
    return result
print(solution())",200,"Thor, the God of Thunder",mammoth_q116
49,A 400-car freight train is 4 miles long. A 200-car passenger train is 2 miles long. How many miles long is a 300-car train?,"def solution():
    #A 400-car freight train is 4 miles long
    freight_train_cars = 400
    freight_train_length = 4
    #A 200-car passenger train is 2 miles long
    passenger_train_cars = 200
    passenger_train_length = 2
    #A 300-car train is
    train_cars = 300
    #The answer is
    result = (freight_train_cars * freight_train_length + passenger_train_cars * passenger_train_length) / train_cars
    return result",6.666666666666667,trains,mathwell_q49
550,Wonder Woman is in a space battle. She has 200 photon blasts. She uses 50 on the first alien spaceship and 30 on the second alien spaceship. How many photon blasts does she have left?,"def solution():
    #Wonder Woman started with 200 photon blasts
    photon_blasts_initial = 200
    #She used 50 on the first spaceship
    photon_blasts_first_spaceship = 50
    #She used 30 on the second spaceship
    photon_blasts_second_spaceship = 30
    #The answer is
    result = photon_blasts_initial - photon_blasts_first_spaceship - photon_blasts_second_spaceship
    return result",120,Wonder Woman,llama_q548
439,"Thor's car has a 12 gallon gas tank. After getting gas, there are 3 gallons of gas left. How many gallons of gas did Thor's car start with?","def solution():
    #Total gallons in the tank
    total_gallons = 12
    #Gallons left after fill up
    left_gallons = 3
    #Answer is
    result = total_gallons - left_gallons
    return result",9,"Thor, the God of Thunder",llema_q439
175,"The volleyball team at the University of Michigan has 22 players. 5 of the players are seniors, 7 are juniors, and the rest are sophomores. How many sophomores are on the team?","def solution():
    #Total number of players
    total_players = 22
    #Number of seniors
    seniors = 5
    #Number of juniors
    juniors = 7
    #Sophomores are the rest of the players
    sophomores = total_players - seniors - juniors
    return sophomores",10,volleyball,llama_q175
332,A lacrosse team has 12 lacrosse players. 1/3 of the lacrosse players live in Richmond. 1/4 of the lacrosse players live in San Francisco. 1/6 of the lacrosse players live in Miami. How many lacrosse players live in other cities?,"def solution():
    #A lacrosse team has 12 lacrosse players
    lacrosse_players = 12
    #1/3 of the lacrosse players live in Richmond
    lacrosse_players_richmond = lacrosse_players / 3
    #1/4 of the lacrosse players live in San Francisco
    lacrosse_players_sf = lacrosse_players / 4
    #1/6 of the lacrosse players live in Miami
    lacrosse_players_miami = lacrosse_players / 6
    #The number of lacrosse players living in other cities is
    result = lacrosse_players - lacrosse_players_richmond
    return result",8.0,lacrosse,llema_q332
298,"750000 people attended the Super Bowl.
120000 of those people were Cleveland Browns fans.
800 Cleveland Browns fans got into a brawl with 200 Ravens fans.
How many people did the Ravens fans outnumber?","def solution():
    #Number of people at the Super Bowl
    num_people = 750000
    #Number of Cleveland Browns fans
    cleveland_fans = 120000
    #Browns fans
    browns_fans = cleveland_fans
    #Ravens fans that got into a fight
    ravens_fight = 200
    #Ravens fans in total
    ravens_total = ravens_fight + browns_fans
    #Answer
    result = ravens_total - browns_fans
    return result",200,football,llema_q298
