,0
19,"
{
  ""question"": ""12 people are playing football. The field, the players, and the referee need to be numbered. How many numbers are needed to number the field?"",
  ""solvability"": 0,
  ""explanation"": ""The question does not provide enough information on how the numbering is to be done. It is unclear whether individual components of the field (like yard lines or zones) need to be numbered, whether 'numbering' means assigning a unique number to the field as one unit, or if it's referring to something else entirely. Additionally, it is not clear if the numbering of the players and referee may affect what is meant by 'numbering the field'. Without a clear set of instructions, this problem lacks the information necessary to solve it.""
}
"
20,"
{
  ""question"": ""Spiderman can climb 200 feet in one minute. How many feet can he climb in 10 minutes?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. Since we know Spiderman's climbing rate per minute, we can simply multiply that rate by 10 minutes to determine how far he can climb in that time.""
}
"
21,"
{
  ""question"": ""30 people are going to a pizza party. 20 of them are going to eat 3 slices of pizza, 5 of them are going to eat 5 slices of pizza, and the rest of them are going to eat 7 slices of pizza. How many slices of pizza are going to be eaten in total?""
}
"
22,"
{
  ""question"": ""Harry Potter is playing a game of Quidditch. In the game, there are 3 players on the field for each team. Each team has a Keeper, a Seeker, and a Chaser. \n\nThe Keeper's job is to guard the team's goalposts. The Seeker's job is to catch the Golden Snitch, a small flying ball that can earn the team extra points. The Chaser's job is to throw the Quaffle, a larger ball, through the goalposts to score points.\n\nThere are 2 teams playing, so there are a total of 3 players per team * 2 teams = 6 players on the field.\n\nHow many players are playing the game of Quidditch?"",
  ""solvability"": 0,
  ""explanation"": ""This question is not solvable as stated because the information provided is incorrect according to the established rules of Quidditch from the Harry Potter series. Each team actually has seven players: one Keeper, one Seeker, three Chasers, and two Beaters. Since neither the number of Beaters nor the correct total number of players per team is included, students would not have the necessary information to solve the problem.""
}
"
23,"
{
  ""question"": ""LeBron James has 1000 points. He scores 100 points in 2019 and 200 points in 2021. How many points does he have left?"",
  ""solvability"": 0,
  ""explanation"": ""This question is not solvable as it is written because it implies the points are being subtracted from a total, but scoring points would actually increase the number of points LeBron James has, not decrease it. Therefore, the use of the word 'left' makes the question unclear, and the concept of scoring points doesn't align with the idea of a remaining balance being reduced.""
}
"
24,"{'question': 'If you have $10 and you buy 3 scoops of ice cream, how much money do you have left?', 'solvability': 0, 'explanation': 'The question does not provide the cost of the ice cream scoops, making it impossible to determine how much money would be left after the purchase.'}"
25,"
{
    ""question"": ""Harry Potter is a wizard. He has 500 spells. 200 of them are in his wand, 100 of them are in his book, and the rest are in his mind. How many spells are in his mind?"",
    ""solvability"": 1,
    ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the number of spells in the wand and the book from the total number of spells, we can find the number of spells in his mind.""
}
"
26,"This question is not solvable as provided because there is no information on the number of mushrooms Mario collected in the 2019 game. Without this crucial piece of information, we cannot determine the number of mushrooms collected in either the 2020 or the 2021 game. 

The updated JSON object should be:
```
{
  'question': 'Mario is the star of most of the Nintendo games. He can eat mushrooms that give him additional lives.\nIn a 2020 game, Mario collected 10 more mushrooms than he did in a 2019 game. He also collected 17 more in a 2021 game. \nHow many mushrooms did he collect in 2021?',
  'solvability': 0,
  'explanation': 'The question does not provide the number of mushrooms collected in the 2019 game, which is necessary information for calculating the amounts for 2020 and 2021 games.'
}
```"
27,"
{
  ""question"": ""Spiderman can shoot 20 webs in 5 minutes. How many webs can he shoot in 10 minutes?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it by simply doubling the number of webs since the time is also doubled.""
}
"
28,"
{
  ""question"": ""The University of Oregon Women’s Volleyball team won 30 matches in the 2022 season and lost 5 matches in the 2022 season. If there are 34 matches in the volleyball season, how many matches did the Ducks tie?"",
  ""solvability"": 0,
  ""explanation"": ""The question states that the team played 34 matches in total and provides the number of matches won and lost. However, the information leads to a discrepancy since 30 wins and 5 losses add up to 35 matches, which is one more than the stated total number of matches in the season. There seems to be a mistake in the provided numbers, which makes the problem unsolvable as is.""
}
"
29,"
{
  'question': 'Black Panther has 50000 vibranium coins. He lost 17500 of them in a robbery. He gave 2500 coins to Storm. How many coins does Black Panther have left?',
  'solvability': 1, 
  'explanation': 'This question arrives at one correct answer and contains all the information needed to solve it since it gives the initial number of coins, how many were lost, and how many were given away.'
}
"
30,"{
    'question': 'There are 1000 cars in a parking lot. 200 of them are SUVs. 400 of them are trucks. 100 of them are vans. The rest are sedans. How many sedans are there?',
    'solvability': 1,
    'explanation': 'This question arrives at one correct answer and contains all the necessary information to solve it. To find the number of sedans, we subtract the sum of the SUVs, trucks, and vans from the total number of cars.'
}"
31,"
{
  ""question"": ""Mario has 22 coins. He finds 30 more and then loses 12. How many coins does he have at the end?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. There are no negative values in the context that would not make sense, and a student can easily perform the arithmetic operations to find the final number of coins.""
}
"
32,"{
  'question': 'Iron Man ate 100 burgers for lunch and 100 burgers for dinner. How many burgers did Iron Man eat in all?',
  'solvability': 1,
  'explanation': 'This question arrives at one correct answer, which is 200 burgers, and contains all the necessary information needed to solve it.'
}"
33,"To evaluate the solvability of the given question:

{'question': 'Captain America is fighting a super villain. He has 50 throwing shields. 25 of them are in his shield belt, 15 of them are in his shield backpack, and 5 of them are in his shield suitcase. How many throwing shields does Captain America have on his person?'}

The information provided allows for one correct answer. The question specifies the number of shields in each container on Captain America's person (belt, backpack, and suitcase). However, the question's phrasing asks for the number ""on his person,"" which can imply the total number of shields carried by Captain America, whether on his person or elsewhere, but since no other place has been mentioned, we should assume that all are on his person.

While the question mentions that Captain America ""has 50 throwing shields"", this piece of information is extraneous. It doesn't specify whether there are 50 in total or if this is an additional count outside of the specified containers. However, since no further information is provided regarding any other shields that are not in the belt, backpack, or suitcase, we can infer that the question is simply asking for a sum of the shields in those three locations.

Thus, the assessment would be:

{'question': 'Captain America is fighting a super villain. He has 50 throwing shields. 25 of them are in his shield belt, 15 of them are in his shield backpack, and 5 of them are in his shield suitcase. How many throwing shields does Captain America have on his person?', 'solvability': 1, 'explanation': 'This question arrives at one correct answer by adding the number of shields in the belt, backpack, and suitcase, even though mentioning he has 50 shields is unnecessary and potentially confusing.'}"
34,"
{
  ""question"": ""A fight broke out at the Daily Express. Captain Marvel gets outnumbered and 5 villains are fighting her. She kills 3 of them and puts the rest in jail. How many villains did she kill?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. The number of villains she killed is explicitly stated in the problem.""
}
"
35,"
{
  ""question"": ""A car dealership has 20 cars. They sell 10 cars, and then buy 5 more cars. How many cars do they have left?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. The dealership starts with 20 cars, sells 10 (leaving them with 10 cars), and then buys 5 more, resulting in a total of 15 cars.""
}
"
36,"
{
  ""question"": ""Ninja wants to play Fortnite on Playstation 4. Fortnite costs $15.00, but a new game costs $45.00. How much more does the new game for PS4 cost than the original game?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer by subtracting the cost of the original game from the cost of the new game and contains all the information needed to solve it.""
}
"
37,"{
  'question': 'Steph Curry has 6000 points. He has 2000 more points than LeBron James. How many points does LeBron James have?',
  'solvability': 1,
  'explanation': 'This question arrives at one correct answer and contains all the information needed to solve it. By subtracting 2000 from 6000, you find out how many points LeBron James has.'
}"
38,"
{
  ""question"": ""If a cookie jar has 12 cookies, and 5 of them are chocolate chip, how many of the cookies are not chocolate chip?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer. It provides the total number of cookies and the number that are chocolate chip. Subtracting the number of chocolate chip cookies from the total gives the number of cookies that are not chocolate chip.""
}
"
39,"
{
  ""question"": ""A bakery baked 100 cookies on Monday. On Tuesday, they baked 150 cookies. On Wednesday, they baked 200 cookies. On Thursday, they baked 100 cookies. How many cookies did they bake?"", 
  ""solvability"": 1, 
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it by adding the number of cookies from each day.""
}
"
40,"
{
  'question': 'A swimming pool is 50 yards long. Swimmers can swim 10 laps in 15 minutes. How many more laps can they swim in 23 hours?',
  'solvability': 0,
  'explanation': 'The question does not state explicitly what the term ""more"" is in reference to. Without a baseline or additional context for comparison, it cannot be deduced how many ""more"" laps the swimmers can swim in the given time.'
}
"
41,"
{
  ""question"": ""Iron Man has 1000 HP. 100 HP is 10% of Iron Man's max HP. How much HP does Iron Man have at max?"",
  ""solvability"": 1,
  ""explanation"": ""This question has the information required to solve the problem and leads to one correct answer. The question states that 100 HP is 10% of Iron Man's max HP which implies that the max HP is 1000 HP. No calculation is necessary; the problem simply tests the student's ability to understand percentages.""
}
"
42,"
{
  ""question"": ""There are 5 trains on a track. The first train is going 20 miles per hour. The second train is going 10 miles per hour. The third train is going 5 miles per hour. The fourth train is going 2 miles per hour. The fifth train is going 1 mile per hour. How fast is the fifth train going compared to the first train?"",
  ""solvability"": 1,
  ""explanation"": ""The question is asking for a comparison of two defined speeds, which are given within the question (20 mph for the first train and 1 mph for the fifth train). The information is straightforward, allowing calculation of the answer.""
}
"
43,"
{
  ""question"": ""Captain Marvel is at a movie premiere. 1000 people are in the front row. 2000 people are in the middle row. 3000 people are in the back row. How many people are at the premiere?"",
  ""solvability"": 1,
  ""explanation"": ""This question can be solved with simple addition and arrives at one correct answer. It contains all the information necessary to solve the problem.""
}
"
44,"
{
  ""question"": ""Iron Man is a superhero. He can charge himself 2000 times in 10 minutes. How many times can he charge himself in 2 hours?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. By converting the 2 hours into minutes and dividing by the 10-minute interval, we can calculate how many times Iron Man can charge himself in that duration.""
}
"
45,"
{
  ""question"": ""Patrick Mahomes has 24 touchdown passes. 12 of them are in the first half, 7 of them are in the second half, and the rest are in overtime. How many touchdown passes does Patrick Mahomes have in overtime?"",
  ""solvability"": 1,
  ""explanation"": ""This question is solvable as it contains the total number of touchdown passes and specifies how many were made in the first half and second half. The number of passes in overtime can be found by subtracting the sum of the first half and second half touchdowns from the total.""
}
"
46,"
{
  ""question"": ""Power Rangers is a 3 hour long television show. 16 minutes is dedicated to recapping the plot. How much of the Power Rangers show is not recaps of the plot?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. The total duration of the show is provided in hours, and the recap portion is provided in minutes. The student must convert the hours into minutes and then subtract the recap duration from the total duration to solve the problem.""
}
"
47,"
{
  ""question"": ""Raphael, Michelangelo, Donatello and Leonardo have a team. In the third season they trained 45 new members. They train new members daily. \nHow many members do they train on a weekly basis?"",
  ""solvability"": 0,
  ""explanation"": ""The question does not provide the time span in which the 45 new members were trained. Without specifying whether the 45 members were trained over a single day or over a different period, it is not possible to calculate how many members are trained on a weekly basis.""
}
"
48,"```
{
    'question': ""Batman can jump 60 feet to the ground before he loses too much speed. Robin jumps 15 feet to the ground before he loses too much speed. A gangster is 75 feet from the ground. What's the maximum number of jumps Robin and Batman can do from the highest floor before they reach the gangster?"",
    'solvability': 0,
    'explanation': ""The question provides the distances Batman and Robin can jump, but the term 'maximum number of jumps' is ambiguous without additional context such as the height of the floors they are jumping from or whether they take turns. Additionally, the number of jumps required to reach a gangster who is 75 feet from the ground can't be calculated given only the distance each character can jump before they 'lose too much speed,' which does not necessarily equate to the distance they can descend in one jump. The question is missing important details required to provide a solvable answer.""
}
```"
49,"
{
  'question': ""Batman has 5000 Joker coins, 2000 Batman coins, and 7000 Poison Ivy coins. He wants to distribute them to three different Joker's henchmen. He gives 1/3 of his Joker coins, 2/5 of his Batman coins, and 2/3 of his Poison Ivy coins to each of the Joker's henchmen. How many Joker coins does each Joker's henchman get?"",
  'solvability': 0,
  'explanation': 'The question is asking specifically about the number of Joker coins each henchman gets, which can be calculated. However, the distribution of Batman coins and Poison Ivy coins is irrelevant information for answering this question. Despite the extraneous information, the actual question about the Joker coins is solvable because it provides all necessary details for that computation.'
}
"
50,"
{
  ""question"": ""Basketball legend, Steph Curry, scored a total of 229 three pointers in the 2015-2016 NBA season. \nHow many three pointers did he shoot each game he played?"",
  ""solvability"": 0,
  ""explanation"": ""The question does not provide the number of games that Steph Curry played in the season, which is necessary to calculate the average number of three-pointers made per game.""
}
"
51,"
{
    ""question"": ""Taylor Swift has 200 albums. She gave 25 to her best friend and 50 to her little sister. How many albums does she have left?"",
    ""solvability"": 1,
    ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. No negative values are involved since it is structurally sound and solvable.""
}
"
52,"{'question': 'Barbie wants to buy 100 scoops of ice cream. She wants to buy 30 scoops of vanilla, 20 scoops of chocolate, and 15 scoops of strawberry. How many scoops of ice cream does she have left to buy?', 'solvability': 1, 'explanation': 'This question arrives at one correct answer and contains all the information needed to solve it. The sum of the scoops of specific flavors is provided, and when subtracted from the total scoops she wants to buy, we can determine the number of scoops left to buy.'}"
53,"The evaluated JSON object for the provided question would be:

```
{
  'question': 'Steph Curry made 1000 3-pointers in 2019. He made 1100 3-pointers in 2020. How many 3-pointers did Steph Curry make in 2019 and 2020?',
  'solvability': 1,
  'explanation': 'This question arrives at one correct answer and contains all the information needed to solve it. The student simply needs to add the 3-pointers made in each year together.'
}
```

The problem is solvable because it contains all necessary information (the number of 3-pointers made in 2019 and in 2020), does not result in any negative numbers, and leads to a single correct answer, which is the sum of 3-pointers made in both years."
54,"
{
  ""question"": ""Super Mario can jump 10 feet in the air and 15 feet to the side. He is 100 feet away from the princess. How many jumps does it take for Mario to reach the princess?"",
  ""solvability"": 0,
  ""explanation"": ""The question does not specify the direction Mario must travel to reach the princess and only gives his vertical and horizontal jumping distances independently. It is not clear whether Mario's jumps are entirely horizontal, vertical, or if they can be diagonal. Without specifying the direction of the jumps relative to Mario's starting point and the princess's location, it is not possible to determine the number of jumps needed.""
}
"
55,"```
{
  'question': 'In Fortnite, a player can choose between 4 different rarities for their weapons. These rarities are: Common (10% of the time), Uncommon (20% of the time), Rare (30% of the time), Epic (30% of the time), and Legendary (10% of the time). If a player chooses a weapon with a Common rarity, how often will they choose a weapon with a rarity other than Common?',
  'solvability': 0,
  'explanation': 'The problem statement mentions 4 different rarities, but 5 rarities are actually listed. This discrepancy makes the question unsolvable as stated because it is not clear how to account for the probabilities given this contradiction. Furthermore, the question seems to be asking for the complementary probability of not choosing Common, but all percentages provided sum up to more than 100%.'
}
```"
56,"
{
  ""question"": ""Taylor Swift has 1000 followers on Twitter. She has 2000 followers on Instagram. She has 3000 followers on TikTok. How many followers does she have in total?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. The total number of followers can be found by simply adding the followers from each platform.""
}
"
57,"{
  'question': 'The cheerleading squad has 15 members. 10 of the members are girls. How many boys are on the squad?',
  'solvability': 1,
  'explanation': 'This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the number of girls from the total number of members, the number of boys can be determined.'
}"
58,"
{
  ""question"": ""Serena Williams can run 1000 meters in 2 hours. How many meters can she run in 10 hours?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it by using the rate of meters per hour to calculate the total distance covered in 10 hours.""
}
"
59,"
{
  ""question"": ""There were 10000 dogs in a town. 2000 of them left. 1000 more dogs came. 2000 of the dogs that left returned. How many dogs are there now?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. It has a clear sequence of events affecting the dog population that can be calculated step by step.""
}
"
60,"To evaluate the given question for solvability:

```
{'question': 'Serena Williams is playing a tennis match. She has won 3 games and her opponent has won 2 games. How many more games does Serena need to win to win the match?'}
```

We need to check whether the problem arrives at one correct answer, contains the necessary information to solve the problem, and does not arrive at a negative answer when it is not possible to have a negative number. 

The question lacks the information required to determine how many games in total Serena needs to win to win the match. In tennis, typically, a player must win 6 games to win a set, and be ahead by 2 games, but the match could be best of three sets or five sets, and the question does not specify the match format. 

Therefore, based on the given information, the solvability assessment for this question is as follows:

```
{'question': 'Serena Williams is playing a tennis match. She has won 3 games and her opponent has won 2 games. How many more games does Serena need to win to win the match?', 'solvability': 0, 'explanation': 'The question does not provide enough information about the match format (e.g., the number of games needed to win a set or the number of sets required to win the match), making it impossible to determine the number of additional games Serena needs to win to secure the match.'}
```"
61,"
{
  ""question"": ""There are 100 dogs at the park. 20% of the dogs are big dogs, 30% of the dogs are medium dogs, and the rest are small dogs. How many of the dogs are small dogs?"",
  ""solvability"": 1,
  ""explanation"": ""This question provides all necessary percentages for each size category of dogs and the total number of dogs. We can use this information to calculate the number of dogs that are big, medium, and therefore deduce the remaining small dogs.""
}
"
62,"
{
  ""question"": ""Spider-Man has 100 pieces of candy. 30 of them are gummy bears, 20 of them are lollipops, and the rest are gumballs. How many gumballs does Spider-Man have?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. The total number of pieces of candy is given, as well as the number of gummy bears and lollipops, allowing the calculation of the remaining number of gumballs.""
}
"
63,"{'question': 'A volleyball team played 10 games this season. They won 6 games and lost 4 games. How many games did they win?', 'solvability': 1, 'explanation': 'This question arrives at one correct answer and contains all the information needed to solve it. The question asks directly how many games the team won, and that information is explicitly given in the problem statement.'}"
64,"
{
  ""question"": ""Iron Man can lift 500 pounds. How many times can he lift a suitcase that is 15 pounds?"",
  ""solvability"": 0,
  ""explanation"": ""The question lacks information regarding whether Iron Man has a limit on the number of times he can lift the 15-pound suitcase continuously or within a certain time frame. Without this information, it is not possible to determine a definitive answer to how many times he can lift the suitcase.""
}
"
65,"
{
  'question': 'Steph Curry can make 100 shots in 1.5 minutes. \nHow many shots can he make in 5 minutes?',
  'solvability': 1,
  'explanation': 'This question arrives at one correct answer by using a simple proportion. It contains all the information needed to solve it: the number of shots he makes in a given time and the time period for which we need to find the answer.'
}
"
66,"Here is the evaluated question:

{
  'question': 'A field hockey team has 6 players. 3 of the players are 15 years old. 2 of the players are 16. 1 of the players is 14. How many years old is the average player on the team?',
  'solvability': 1,
  'explanation': 'This question arrives at one correct answer and contains all the necessary information to solve it. To calculate the average age, add the ages together and divide by the number of players: (3 * 15 + 2 * 16 + 1 * 14) / 6 = (45 + 32 + 14) / 6 = 91 / 6 = 15.166, which is typically rounded to 15 years old for reporting the average age in a full year format.'
}"
67,"
{
  ""question"": ""Taylor Swift sold 240,000 copies of Lover at a price of $13.99. That means she earned $3,455,200. She also got 20,000 copies of Lover for free. How much money did Taylor Swift make with Lover?"",
  ""solvability"": 1,
  ""explanation"": ""The question arrives at one correct answer and contains all the information needed to solve it. It's clear that the income from the sold copies is $3,455,200. The additional 20,000 copies she received for free do not affect the total earnings from sales.""
}
"
68,"```
{
  'question': 'Hello Kitty is 10 years old. She is 10 years younger than her sister. How old is her sister?',
  'solvability': 1,
  'explanation': 'This question states the age of Hello Kitty and the age difference between Hello Kitty and her sister, which allows for the calculation of her sister’s age. It arrives at one correct answer.'
}
```"
69,"
{
    ""question"": ""Jasmine has 120 pieces of candy. She eats 30 pieces of candy. How many pieces of candy does she have left?"",
    ""solvability"": 1,
    ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. Jasmine initially has 120 pieces of candy, and after eating 30, we can subtract 30 from 120 to find the remainder.""
}
"
70,"{'question': 'Tony Stark has 100 Iron Man suits. He uses 15 suits to defeat Thanos. He uses 20 suits to defeat Ultron. He uses 15 suits to defeat Loki. How many suits does he have left?', 'solvability': 1, 'explanation': 'This question arrives at one correct answer and contains all the information needed to solve it. The total number of suits used is the sum of suits used against each villain, which can be subtracted from the original number of suits to determine the number of suits left.'}"
71,"
{
  ""question"": ""There are 1000 students at a school. 100 of them are in the Gryffindor house, 200 of them are in the Hufflepuff house, and 300 of them are in the Ravenclaw house. How many students are in the Slytherin house?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the total number of students in the other three houses from the total number of students, we can find out how many students are in the Slytherin house.""
}
"
72,"```
{
    'question': 'Captain America has 1000 shields. 500 of them are in the Avengers Tower, 200 of them are in the Avengers Quinjet, and the rest of them are in the Avengers Helicarrier. How many shields are in the Avengers Helicarrier?',
    'solvability': 1,
    'explanation': 'This question arrives at one correct answer and contains all the necessary information to solve it. By subtracting the number of shields in the Avengers Tower and the Quinjet from the total, we can find the number of shields in the Avengers Helicarrier.'
}
```"
73,"
{
  ""question"": ""There are 4 Ninja Turtles and each of them has 2 pizzas. How many pizzas are there in total?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. By multiplying the number of Ninja Turtles (4) by the number of pizzas each has (2), we get the total number of pizzas.""
}
"
74,"```
{
  'question': '10 unicorns can cast 855 spells in 72 minutes. How many spells can a single unicorn cast in an hour?',
  'solvability': 0,
  'explanation': 'The question is unsolvable because it does not specify if each unicorn casts spells at the same rate. Without this information, it's impossible to determine how many spells a single unicorn can cast in an hour.'
}
```"
75,"
{
  ""question"": ""Harry Potter has 45 Galleons and needs 10 more Galleons to buy a new wand. How many total Galleons does he have?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. Harry already has 45 Galleons; the question regarding his need for more does not change the number he currently possesses.""
}
"
