,model,question_number,solvability,accuracy,appropriateness,topic,notes,addition,subtraction,multiplication,division,fractions,decimals,no_ops,total_ops,good,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,question,solution,answer,topic_y,Unnamed: 0.4,Unnamed: 0.5,text,acc_text
13,mathwell,mathwell_q1087,1,1.0,1.0,1,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1,,,214.0,1127,Captain Marvel is 1.83 m tall. 1 m is 3.281 ft. How many feet is Captain Marvel tall?,"def solution():
    #Captain Marvel is 1.83 m tall
    captain_marvel_height_in_meters = 1.83
    #1 m is 3.281 ft
    meter_to_foot = 3.281
    #The answer is
    result = captain_marvel_height_in_meters * meter_to_foot
    return result",6.004230000000001,Captain Marvel,,,"Question: Captain Marvel is 1.83 m tall. 1 m is 3.281 ft. How many feet is Captain Marvel tall?
Answer: 6.004230000000001","Question: Captain Marvel is 1.83 m tall. 1 m is 3.281 ft. How many feet is Captain Marvel tall?
Solution:
def solution():
    #Captain Marvel is 1.83 m tall
    captain_marvel_height_in_meters = 1.83
    #1 m is 3.281 ft
    meter_to_foot = 3.281
    #The answer is
    result = captain_marvel_height_in_meters * meter_to_foot
    return result"
14,mathwell,mathwell_q1140,1,1.0,1.0,1,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,1,,,336.0,1184,"A Minecraft player has 12000 experience points. 20% of the experience points are from fighting zombies, 30% are from fighting creepers, and the rest are from fighting skeletons. How many experience points are from fighting skeletons?","def solution():
    #A Minecraft player has 12000 experience points
    experience_points = 12000
    #20% of the experience points are from fighting zombies
    experience_points_zombies = (20 / 100) * experience_points
    #30% are from fighting creepers
    experience_points_creepers = (30 / 100) * experience_points
    #The rest are from fighting skeletons
    experience_points_skeletons = experience_points - experience_points_zombies - experience_points_creepers
    #The answer is
    result = experience_points_skeletons
    return result",6000.0,Minecraft,,,"Question: A Minecraft player has 12000 experience points. 20% of the experience points are from fighting zombies, 30% are from fighting creepers, and the rest are from fighting skeletons. How many experience points are from fighting skeletons?
Answer: 6000.0","Question: A Minecraft player has 12000 experience points. 20% of the experience points are from fighting zombies, 30% are from fighting creepers, and the rest are from fighting skeletons. How many experience points are from fighting skeletons?
Solution:
def solution():
    #A Minecraft player has 12000 experience points
    experience_points = 12000
    #20% of the experience points are from fighting zombies
    experience_points_zombies = (20 / 100) * experience_points
    #30% are from fighting creepers
    experience_points_creepers = (30 / 100) * experience_points
    #The rest are from fighting skeletons
    experience_points_skeletons = experience_points - experience_points_zombies - experience_points_creepers
    #The answer is
    result = experience_points_skeletons
    return result"
15,mathwell,mathwell_q1246,1,1.0,1.0,1,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1,,,422.0,1297,Steph Curry is 6 feet 2 inches tall. 1 inch is 2.54 cm. How many centimeters is he tall?,"def solution():
    #Steph Curry is 6 feet 2 inches tall
    feet_tall = 6
    inches_tall = 2
    #1 foot is 30.48 cm and 1 inch is 2.54 cm
    foot_to_cm = 30.48
    inch_to_cm = 2.54
    #The answer is
    result = (feet_tall * foot_to_cm) + (inches_tall * inch_to_cm)
    return result",187.96,Steph Curry,,,"Question: Steph Curry is 6 feet 2 inches tall. 1 inch is 2.54 cm. How many centimeters is he tall?
Answer: 187.96","Question: Steph Curry is 6 feet 2 inches tall. 1 inch is 2.54 cm. How many centimeters is he tall?
Solution:
def solution():
    #Steph Curry is 6 feet 2 inches tall
    feet_tall = 6
    inches_tall = 2
    #1 foot is 30.48 cm and 1 inch is 2.54 cm
    foot_to_cm = 30.48
    inch_to_cm = 2.54
    #The answer is
    result = (feet_tall * foot_to_cm) + (inches_tall * inch_to_cm)
    return result"
16,mathwell,mathwell_q710,1,1.0,1.0,1,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1,,,834.0,733,200 cats are in a cat park. 100 more cats show up at the cat park. 25% of the cats at the cat park are meowing. How many cats are meowing?,"def solution():
    #200 cats are in a cat park
    cats_initial = 200
    #100 more cats show up
    cats_showed_up = 100
    #25% of the cats at the cat park are meowing
    meowing_cats_percentage = 0.25
    #The answer is
    result = (cats_initial + cats_showed_up) * meowing_cats_percentage
    return result",75.0,cats,,,"Question: 200 cats are in a cat park. 100 more cats show up at the cat park. 25% of the cats at the cat park are meowing. How many cats are meowing?
Answer: 75.0","Question: 200 cats are in a cat park. 100 more cats show up at the cat park. 25% of the cats at the cat park are meowing. How many cats are meowing?
Solution:
def solution():
    #200 cats are in a cat park
    cats_initial = 200
    #100 more cats show up
    cats_showed_up = 100
    #25% of the cats at the cat park are meowing
    meowing_cats_percentage = 0.25
    #The answer is
    result = (cats_initial + cats_showed_up) * meowing_cats_percentage
    return result"
17,mathwell,mathwell_q1117,1,1.0,1.0,1,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,1,,,943.0,1161,"Wonder Woman has 100 lassos. 
She uses 20% of them to capture bad guys. 
She then buys 50 more lassos. 
How many lassos does she have now?","def solution():
    #Wonder Woman has 100 lassos
    lassos_initial = 100
    #She uses 20% of them to capture bad guys
    lassos_used = 0.20 * lassos_initial
    #She then buys 50 more lassos
    lassos_bought = 50
    #The answer is
    result = lassos_initial - lassos_used + lassos_bought
    return result",130.0,Wonder Woman,,,"Question: Wonder Woman has 100 lassos. 
She uses 20% of them to capture bad guys. 
She then buys 50 more lassos. 
How many lassos does she have now?
Answer: 130.0","Question: Wonder Woman has 100 lassos. 
She uses 20% of them to capture bad guys. 
She then buys 50 more lassos. 
How many lassos does she have now?
Solution:
def solution():
    #Wonder Woman has 100 lassos
    lassos_initial = 100
    #She uses 20% of them to capture bad guys
    lassos_used = 0.20 * lassos_initial
    #She then buys 50 more lassos
    lassos_bought = 50
    #The answer is
    result = lassos_initial - lassos_used + lassos_bought
    return result"
18,mathwell,mathwell_q901,1,1.0,1.0,1,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1,,,20.0,933,The soccer team has 200 fans. 1/4 of the fans are from the United States. 1/5 of the fans are from the United Kingdom. 1/8 of the fans are from Germany. 1/10 of the fans are from France. The rest of the fans are from other countries. How many of the fans are from other countries?,"def solution():
    #Total fans
    total_fans = 200
    #Fans from the US
    fans_us = total_fans / 4
    #Fans from the UK
    fans_uk = total_fans / 5
    #Fans from Germany
    fans_germany = total_fans / 8
    #Fans from France
    fans_france = total_fans / 10
    #Fans from other countries. The answer is
    fans_other = total_fans - fans_us - fans_uk - fans_germany - fans_france
    return fans_other",65.0,soccer,,,"Question: The soccer team has 200 fans. 1/4 of the fans are from the United States. 1/5 of the fans are from the United Kingdom. 1/8 of the fans are from Germany. 1/10 of the fans are from France. The rest of the fans are from other countries. How many of the fans are from other countries?
Answer: 65.0","Question: The soccer team has 200 fans. 1/4 of the fans are from the United States. 1/5 of the fans are from the United Kingdom. 1/8 of the fans are from Germany. 1/10 of the fans are from France. The rest of the fans are from other countries. How many of the fans are from other countries?
Solution:
def solution():
    #Total fans
    total_fans = 200
    #Fans from the US
    fans_us = total_fans / 4
    #Fans from the UK
    fans_uk = total_fans / 5
    #Fans from Germany
    fans_germany = total_fans / 8
    #Fans from France
    fans_france = total_fans / 10
    #Fans from other countries. The answer is
    fans_other = total_fans - fans_us - fans_uk - fans_germany - fans_france
    return fans_other"
19,mathwell,mathwell_q1048,1,1.0,1.0,1,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1,,,129.0,1088,"The Power Rangers are 5 in number. 2 of them are 18 years old, 1 of them is 16 years old, and 2 of them are 14 years old. How old is the average Power Ranger?","def solution():
    #Total number of Power Rangers
    total_rangers = 5
    #Number of 18-year-old Power Rangers
    rangers_18 = 2
    #Number of 16-year-old Power Rangers
    rangers_16 = 1
    #Number of 14-year-old Power Rangers
    rangers_14 = 2
    #The answer is
    result = (rangers_18 * 18 + rangers_16 * 16 + rangers_14 * 14) / total_rangers
    return result",16.0,Power Rangers,,,"Question: The Power Rangers are 5 in number. 2 of them are 18 years old, 1 of them is 16 years old, and 2 of them are 14 years old. How old is the average Power Ranger?
Answer: 16.0","Question: The Power Rangers are 5 in number. 2 of them are 18 years old, 1 of them is 16 years old, and 2 of them are 14 years old. How old is the average Power Ranger?
Solution:
def solution():
    #Total number of Power Rangers
    total_rangers = 5
    #Number of 18-year-old Power Rangers
    rangers_18 = 2
    #Number of 16-year-old Power Rangers
    rangers_16 = 1
    #Number of 14-year-old Power Rangers
    rangers_14 = 2
    #The answer is
    result = (rangers_18 * 18 + rangers_16 * 16 + rangers_14 * 14) / total_rangers
    return result"
20,mathwell,mathwell_q163,1,1.0,1.0,1,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,,,186.0,164,"In the 1995 ""Spiderman: The Animated Series"", Spiderman had to web-sling 1200 feet to get to the top of the Empire State Building. He can web-sling 300 feet per minute. How many minutes does it take him to get to the top of the Empire State Building?","def solution():
    #Spiderman had to web-sling 1200 feet to get to the top of the Empire State Building
    spiderman_web_sling_feet = 1200
    #He can web-sling 300 feet per minute
    spiderman_web_sling_speed = 300
    #The answer is
    time = spiderman_web_sling_feet / spiderman_web_sling_speed
    return time",4.0,Spiderman,,,"Question: In the 1995 ""Spiderman: The Animated Series"", Spiderman had to web-sling 1200 feet to get to the top of the Empire State Building. He can web-sling 300 feet per minute. How many minutes does it take him to get to the top of the Empire State Building?
Answer: 4.0","Question: In the 1995 ""Spiderman: The Animated Series"", Spiderman had to web-sling 1200 feet to get to the top of the Empire State Building. He can web-sling 300 feet per minute. How many minutes does it take him to get to the top of the Empire State Building?
Solution:
def solution():
    #Spiderman had to web-sling 1200 feet to get to the top of the Empire State Building
    spiderman_web_sling_feet = 1200
    #He can web-sling 300 feet per minute
    spiderman_web_sling_speed = 300
    #The answer is
    time = spiderman_web_sling_feet / spiderman_web_sling_speed
    return time"
21,mathwell,mathwell_q237,1,1.0,1.0,1,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,,,212.0,241,Serena Williams has 23 Grand Slam titles.  She is 4 Grand Slam titles away from the all-time record.  She wins 1 Grand Slam title a year.  How many years will it take for her to break the all-time record?,"def solution():
    #Serena Williams's current Grand Slam titles
    williams_grand_slam_titles = 23
    #Grand Slam titles away from the all-time record
    away_from_record = 4
    #Grand Slam titles per year
    per_year = 1

    #years to break the all-time record
    years_to_break_record = away_from_record / per_year

    return years_to_break_record",4.0,Serena Williams,,,"Question: Serena Williams has 23 Grand Slam titles.  She is 4 Grand Slam titles away from the all-time record.  She wins 1 Grand Slam title a year.  How many years will it take for her to break the all-time record?
Answer: 4.0","Question: Serena Williams has 23 Grand Slam titles.  She is 4 Grand Slam titles away from the all-time record.  She wins 1 Grand Slam title a year.  How many years will it take for her to break the all-time record?
Solution:
def solution():
    #Serena Williams's current Grand Slam titles
    williams_grand_slam_titles = 23
    #Grand Slam titles away from the all-time record
    away_from_record = 4
    #Grand Slam titles per year
    per_year = 1

    #years to break the all-time record
    years_to_break_record = away_from_record / per_year

    return years_to_break_record"
22,mathwell,mathwell_q316,1,1.0,1.0,1,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1,,,230.0,321,Superman can punch 100 times in 30 seconds. How many times can he punch in 2 minutes?,"def solution():
    #Superman can punch 100 times in 30 seconds
    punches_per_30_seconds = 100
    #2 minutes is 120 seconds
    seconds_2_minutes = 120
    #The answer is
    result = (punches_per_30_seconds / 30) * seconds_2_minutes
    return result",400.0,Superman,,,"Question: Superman can punch 100 times in 30 seconds. How many times can he punch in 2 minutes?
Answer: 400.0","Question: Superman can punch 100 times in 30 seconds. How many times can he punch in 2 minutes?
Solution:
def solution():
    #Superman can punch 100 times in 30 seconds
    punches_per_30_seconds = 100
    #2 minutes is 120 seconds
    seconds_2_minutes = 120
    #The answer is
    result = (punches_per_30_seconds / 30) * seconds_2_minutes
    return result"
24,mathwell,mathwell_q1203,1,1.0,1.0,1,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,,,349.0,1251,How many scoops of ice cream are in 300 mL of ice cream if each scoop is 100 mL?,"def solution():
    #300 mL of ice cream
    ice_cream_300ml = 300
    #Each scoop is 100 mL
    scoop_100ml = 100
    #The answer is
    result = ice_cream_300ml / scoop_100ml
    return result",3.0,ice cream,,,"Question: How many scoops of ice cream are in 300 mL of ice cream if each scoop is 100 mL?
Answer: 3.0","Question: How many scoops of ice cream are in 300 mL of ice cream if each scoop is 100 mL?
Solution:
def solution():
    #300 mL of ice cream
    ice_cream_300ml = 300
    #Each scoop is 100 mL
    scoop_100ml = 100
    #The answer is
    result = ice_cream_300ml / scoop_100ml
    return result"
25,mathwell,mathwell_q1053,1,1.0,1.0,1,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1,,,357.0,1093,"There are 4 Ninja Turtles. 2 of them are 15 years old, and the other 2 are 17 years old. What is the average age of the Ninja Turtles?","def solution():
    #2 of the Ninja Turtles are 15 years old
    turtles_15 = 2
    #The other 2 are 17 years old
    turtles_17 = 2
    #The average age is
    result = (turtles_15 * 15 + turtles_17 * 17) / 4
    return result",16.0,Ninja Turtles,,,"Question: There are 4 Ninja Turtles. 2 of them are 15 years old, and the other 2 are 17 years old. What is the average age of the Ninja Turtles?
Answer: 16.0","Question: There are 4 Ninja Turtles. 2 of them are 15 years old, and the other 2 are 17 years old. What is the average age of the Ninja Turtles?
Solution:
def solution():
    #2 of the Ninja Turtles are 15 years old
    turtles_15 = 2
    #The other 2 are 17 years old
    turtles_17 = 2
    #The average age is
    result = (turtles_15 * 15 + turtles_17 * 17) / 4
    return result"
26,mathwell,mathwell_q979,1,1.0,1.0,1,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1,,,420.0,1013,"Wonder Woman can lasso 20 bad guys in 10 minutes. 
How many bad guys can she lasso in 2 hours?","def solution():
    #Wonder Woman can lasso 20 bad guys in 10 minutes
    bad_guys_10_minutes = 20
    #2 hours is 120 minutes
    minutes_2_hours = 120
    #The answer is
    result = (bad_guys_10_minutes / 10) * minutes_2_hours
    return result",240.0,Wonder Woman,,,"Question: Wonder Woman can lasso 20 bad guys in 10 minutes. 
How many bad guys can she lasso in 2 hours?
Answer: 240.0","Question: Wonder Woman can lasso 20 bad guys in 10 minutes. 
How many bad guys can she lasso in 2 hours?
Solution:
def solution():
    #Wonder Woman can lasso 20 bad guys in 10 minutes
    bad_guys_10_minutes = 20
    #2 hours is 120 minutes
    minutes_2_hours = 120
    #The answer is
    result = (bad_guys_10_minutes / 10) * minutes_2_hours
    return result"
28,mathwell,mathwell_q1214,1,1.0,1.0,1,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1,,,562.0,1263,"Serena Williams has 24 Grand Slam titles. 
She has 6 more than twice as many Grand Slam titles as Naomi Osaka. 
How many Grand Slam titles does Naomi Osaka have?","def solution():
    #Serena Williams has 24 Grand Slam titles
    serena_titles = 24
    #She has 6 more than twice as many Grand Slam titles as Naomi Osaka
    naomi_titles = (serena_titles - 6) / 2
    #The answer is
    result = naomi_titles
    return result",9.0,Serena Williams,,,"Question: Serena Williams has 24 Grand Slam titles. 
She has 6 more than twice as many Grand Slam titles as Naomi Osaka. 
How many Grand Slam titles does Naomi Osaka have?
Answer: 9.0","Question: Serena Williams has 24 Grand Slam titles. 
She has 6 more than twice as many Grand Slam titles as Naomi Osaka. 
How many Grand Slam titles does Naomi Osaka have?
Solution:
def solution():
    #Serena Williams has 24 Grand Slam titles
    serena_titles = 24
    #She has 6 more than twice as many Grand Slam titles as Naomi Osaka
    naomi_titles = (serena_titles - 6) / 2
    #The answer is
    result = naomi_titles
    return result"
30,mathwell,mathwell_q198,1,1.0,1.0,1,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,,,892.0,200,A car is traveling at 60 miles per hour. It is 120 miles from its destination. How many hours will it take to get there?,"def solution():
    # car is traveling at 60 miles per hour
    speed = 60
    # it is 120 miles from its destination
    distance = 120
    # the answer is
    result = distance / speed
    return result",2.0,cars,,,"Question: A car is traveling at 60 miles per hour. It is 120 miles from its destination. How many hours will it take to get there?
Answer: 2.0","Question: A car is traveling at 60 miles per hour. It is 120 miles from its destination. How many hours will it take to get there?
Solution:
def solution():
    # car is traveling at 60 miles per hour
    speed = 60
    # it is 120 miles from its destination
    distance = 120
    # the answer is
    result = distance / speed
    return result"
