,0,operation,success
98,"### Response: 

Question:
Captain America has 100 vibranium shields. 25 of the shields are damaged and 15 of the shields are in the process of being repaired. 
How many vibranium shields are in a usable condition?

Solution:
def solution():
    # total number of vibranium shields
    total_shields = 100
    # number of damaged shields
    damaged_shields = 25
    # number of shields in the process of being repaired
    repairing_shields = 15
    # number of usable shields
    usable_shields = total_shields - damaged_shields - repairing_shields
    return usable_shields

# Call the function and print",addition,0
99,"### Response: 
Question: A T-Rex has 50 teeth. A Triceratops has 300 teeth. A Stegosaurus has 1000 teeth. How many teeth do the three dinosaurs have in total?

Solution:
def solution():
    #A T-Rex has 50 teeth
    t_rex_teeth = 50
    #A Triceratops has 300 teeth
    triceratops_teeth = 300
    #A Stegosaurus has 1000 teeth
    stegosaurus_teeth = 1000
    #The answer is
    result = t_rex_teeth + triceratops_teeth + stegosaurus_teeth
    return result

# Uncomment below to call the function and print the result",addition,1
0,"### Response: 
Question:
In a basketball game, the home team scored 80 points. The away team scored 60 points. How many more points did the home team score than the away team?
Solution:
def solution():
    # The home team scored 80 points
    home_team_score = 80
    # The away team scored 60 points
    away_team_score = 60
    # The difference in score is
    points_difference = home_team_score - away_team_score
    return points_difference",subtraction,1
1,"### Response: 
Question: LeBron James has 35,000 points in his career. He has 5,000 more points than Kobe Bryant. How many points does Kobe Bryant have in his career?
Solution:
def solution():
    #LeBron James has 35,000 points
    lebron_points = 35000
    #He has 5,000 more points than Kobe Bryant
    kobe_points = lebron_points - 5000
    #The answer is
    result = kobe_points
    return result",subtraction,1
2,"### Response: 
Question: 
The New England Patriots are a football team. 
They have 11 players on the field at a time. 
They have 32 players on the roster. 
5 of the players are on the injured reserve. 
How many healthy players are on the roster?
Solution:
def solution():
    #The New England Patriots have 32 players on the roster
    roster = 32
    #5 of the players are on the injured reserve
    injured_reserve = 5
    #The answer is
    result = roster - injured_reserve
    return result",subtraction,1
3,"### Response: 

Question: 

There are 200 dogs in a dog park. 50 of the dogs are dachshunds, 30 of the dogs are beagles, and 40 of the dogs are corgis. 

How many of the dogs are not dachshunds, beagles, or corgis?

Solution:

def solution():
    total_dogs = 200
    dachshunds = 50
    beagles = 30
    corgis = 40
    other_dogs = total_dogs - dachshunds - beagles - corgis
    return other_dogs

print(solution())",subtraction,1
4,"### Response: 

Question: 

A 747 can hold 400 passengers.

A 777 can hold 300 passengers.

How many more passengers can a 747 hold than a 777?
Solution:
def solution():
    #A 747 can hold 400 passengers
    passengers_747 = 400
    #A 777 can hold 300 passengers
    passengers_777 = 300
    #The answer is
    result = passengers_747 - passengers_777
    return result",subtraction,1
5,"### Response: 
Question: A lacrosse team has 12 players. 8 of the players are on the field at a time. 3 of the players are on the bench. How many players are in the locker room?
Solution:
def solution():
    # A lacrosse team has 12 players
    total_players = 12
    # 8 of the players are on the field at a time
    players_on_field = 8
    # 3 of the players are on the bench
    players_on_bench = 3
    # The answer is
    result = total_players - players_on_field - players_on_bench
    return result",subtraction,1
6,"### Response: 
Question: 
The cheerleading squad has 12 members. 
5 of the members are on the base, 
2 of the members are on the back, 
and the rest are on the top. 
How many members are on the top?

Solution:
def solution():
    # total number of cheerleading squad members
    total_members = 12
    # number of members on the base
    base_members = 5
    # number of members on the back
    back_members = 2
    # number of members on the top
    top_members = total_members - base_members - back_members
    return top_members",subtraction,1
7,"### Response: 
Question:
A airline has 200 planes. 50 of them are Boeing 737s, 60 are Airbus A320s, and the rest are Boeing 777s. How many Boeing 777s does the airline have?
Solution:
def solution():
    #A airline has 200 planes
    total_planes = 200
    #50 of them are Boeing 737s
    boeing_737s = 50
    #60 are Airbus A320s
    airbus_a320s = 60
    #The answer is
    boeing_777s = total_planes - boeing_737s - airbus_a320s
    return boeing_77",subtraction,1
8,"### Response: 
Question: Wonder Woman has 5000 lassos. She lassos 200 bad guys a day. How many lassos does she have left after 5 days?
Solution:
def solution():
    #Wonder Woman has 5000 lassos
    lassos_initial = 5000
    #She lassos 200 bad guys a day
    lassos_used_daily = 200
    #How many lassos does she have left after 5 days?
    lassos_left = lassos_initial - (lassos_used_daily * 5)
    #The answer is
    result = lassos_left
    return result",subtraction,0
9,"### Response: 
Question: The 49ers have 100 rushing yards. They also have 200 passing yards. How many total yards do they have?
Solution:
def solution():
    rushing_yards = 100
    passing_yards = 200
    total_yards = rushing_yards + passing_yards
    return total_yards",subtraction,0
10,"### Response: 
Question: Spiderman has 200 pounds of webbing. He shoots 20 pounds of webbing at a criminal. How much webbing does he have left?
Solution:
def solution():
    #Spiderman has 200 pounds of webbing
    spideyman_webbing_initial = 200
    #He shoots 20 pounds of webbing at a criminal
    spideyman_webbing_spent = 20
    #The answer is
    result = spideyman_webbing_initial - spideyman_webbing_spent
    return result",subtraction,1
11,"### Response: 
Question: 
Captain Marvel has 1000 energy points. She uses 200 energy points to punch, 300 energy points to kick, and 500 energy points to fly. How many energy points does she have left?

Solution:
def solution():
    #Captain Marvel has 1000 energy points
    energy_points = 1000
    #She uses 200 energy points to punch
    punch_energy = 200
    #300 energy points to kick
    kick_energy = 300
    #500 energy points to fly
    fly_energy = 500
    #The answer is
    result = energy_points - punch_energy - kick_energy - fly_energy
    return result",subtraction,1
12,"### Response: 
Question: 
5 unicorns ate 32 apples. 
2 unicorns ate 12 more apples than the first 5 unicorns. 
How many apples did the 2 unicorns eat?
Solution:
def solution():
    #5 unicorns ate 32 apples
    unicorns_1 = 5
    apples_1 = 32
    #2 unicorns ate 12 more apples than the first 5 unicorns
    unicorns_2 = 2
    apples_2 = apples_1 + 12
    #The answer is
    result = apples_2
    return result",subtraction,0
13,"### Response: 
Question: In the first Harry Potter book, Harry, Ron, and Hermione have to get past a 3-headed dog. 
Each head has 20 teeth. 
How many teeth does the 3-headed dog have?
Solution:
def solution():
    #Each head has 20 teeth
    teeth_per_head = 20
    #There are 3 heads
    number_of_heads = 3
    #The answer is
    result = teeth_per_head * number_of_heads
    return result",subtraction,0
14,"### Response: 

Question: 
Steph Curry is the all-time leader in 3-point shots made. He has 3117 3-pointers. 

Ray Allen is in second place with 2973 3-pointers. 

How many more 3-pointers does Steph Curry have than Ray Allen?
Solution:
def solution():
    #Steph Curry has 3117 3-pointers
    curry_3_pointers = 3117
    #Ray Allen has 2973 3-pointers
    allen_3_pointers = 2973
    #The answer is
    result = curry_3_pointers - allen_3_pointers
    return result",subtraction,1
15,"### Response: 
Question:
The 1992 USA Olympic Dream Team had 12 players. 
5 of the players are now in the Hall of Fame. 
How many of the players are not in the Hall of Fame?
Solution:
def solution():
    #The 1992 USA Olympic Dream Team had 12 players
    players = 12
    #5 of the players are now in the Hall of Fame
    hall_of_fame_players = 5
    #The answer is
    result = players - hall_of_fame_players
    return result",subtraction,1
16,"### Response: 
Question: Wonder Woman has 200 lassos. She lassos 50 criminals and 20 more than twice as many monsters as criminals. How many lassos does she have left?

Solution:
def solution():
    #Wonder Woman has 200 lassos
    lassos = 200
    #She lassos 50 criminals
    lassos_criminals = 50
    #She lassos 20 more than twice as many monsters as criminals
    lassos_monsters = 20 + 2*50
    #The answer is
    result = lassos - lassos_criminals - lassos_monsters
    return result",subtraction,0
17,"### Response: 
Question: Black Panther has 5 vibranium claws. He loses 2 claws in battle. How many vibranium claws does he have left?
Solution:
def solution():
    #Black Panther has 5 vibranium claws
    initial_claws = 5
    #He loses 2 claws in battle
    lost_claws = 2
    #The answer is
    result = initial_claws - lost_claws
    return result",subtraction,1
18,"### Response: 
Question: Captain America can punch 1000 times per minute. 
He punches 1000 times in the first 30 seconds of a fight. 
How many more punches can he throw in the next 30 seconds?
Solution:
def solution():
    #Captain America can punch 1000 times per minute
    punches_per_minute = 1000
    #He punches 1000 times in the first 30 seconds of a fight
    punches_30_seconds = 1000
    #The answer is
    result = punches_30_seconds
    return result",subtraction,0
19,"### Response: 
Question: 
A pizza has 8 slices. 
Mary ate 3 slices. 
How many slices are left?
Solution:
def solution():
    #A pizza has 8 slices
    pizza_slices = 8
    #Mary ate 3 slices
    slices_eaten = 3
    #The answer is
    result = pizza_slices - slices_eaten
    return result",subtraction,1
20,"### Response: 
Question: 
Ash has 100 Poké Balls. He uses 20 of them to catch Pokémon. How many Poké Balls does he have left?
Solution:
def solution():
    #Ash has 100 Poké Balls
    poke_balls_total = 100
    #He uses 20 of them to catch Pokémon
    poke_balls_used = 20
    #How many Poké Balls does he have left?
    result = poke_balls_total - poke_balls_used
    return result",subtraction,1
21,"### Response: 
Question: Naruto has 500 ramen. He ate 100 ramen for breakfast, 100 ramen for lunch, and 100 ramen for dinner. How many ramen does he have left?

Solution:
def solution():
    #Naruto has 500 ramen
    ramen_total = 500
    #He ate 100 ramen for breakfast, 100 ramen for lunch, and 100 ramen for dinner
    ramen_breakfast = 100
    ramen_lunch = 100
    ramen_dinner = 100
    #The answer is
    result = ramen_total - ramen_breakfast - ramen_lunch - ramen_dinner
    return result",subtraction,1
22,"### Response: 
Question: A T-Rex weighs 10,0-00 pounds. A Brontosaurus weighs 2,000 more pounds than a T-Rex. How much does a Brontosaurus weigh?
Solution:
def solution():
    #A T-Rex weighs 10,000 pounds
    t_rex_weight = 10000
    #A Brontosaurus weighs 2,000 more pounds than a T-Rex
    brontosaurus_weight = t_rex_weight + 2000
    #The answer is
    result = brontosaurus_weight
    return result",subtraction,0
23,"### Response: 
Question: A 400-car freight train is 4 miles long. A 200-car passenger train is 2 miles long. How much longer is the freight train than the passenger train?
Solution:
def solution():
    #A 400-car freight train is 4 miles long
    freight_train_cars = 400
    freight_train_length = 4
    #A 200-car passenger train is 2 miles long
    passenger_train_cars = 200
    passenger_train_length = 2
    #The answer is
    result = freight_train_length - passenger_train_length
    return result",subtraction,1
24,"### Response: 
Question: 
If an ice cream truck has 100 scoops of ice cream and it sells 20 scoops, how many scoops of ice cream does it have left?

Solution:
def solution():
    # total scoops of ice cream
    total_scoops = 100
    # scoops of ice cream sold
    sold_scoops = 20
    # scoops of ice cream left
    left_scoops = total_scoops - sold_scoops
    return left_scoops",subtraction,1
25,"### Response: 
Question: Spiderman has 2000 spiderwebs. 
He has 500 more spiderwebs than the Green Goblin. 
How many spiderwebs does the Green Goblin have?
Solution:
def solution():
    spiderman_webs = 2000
    green_goblin_webs = spiderman_webs - 500
    return green_goblin_webs",subtraction,1
26,"### Response: 
Question: Super Mario has 500 coins. He has 200 more coins than mushrooms. How many mushrooms does he have?

Solution:
def solution():
    #Super Mario has 500 coins
    coins = 500
    #He has 200 more coins than mushrooms
    mushrooms = coins - 200
    #The answer is
    result = mushrooms
    return result",subtraction,1
27,"### Response: 
Question: 
Two trains are traveling in opposite directions on the same track. 
Train A is traveling at a speed of 50 miles per hour, and Train B is traveling at a speed of 60 miles per hour. 
If the two trains pass each other at 2:00 PM, how many miles apart are they at 2:10 PM?
Solution:
def solution():
    # define the speeds of the trains
    speed_train_A = 50
    speed_train_B = 60
    # 10 minutes is 1/6 of an hour
    time = 1/6
    # the trains are traveling in opposite directions, so the total speed is
    total_speed = speed_train_A + speed_train_B
    # the answer is
    result = total_speed * time
    return",subtraction,0
28,"### Response: 
Question: Iron Man has 5000 suits. He has 2000 more suits than Thor. How many suits does Thor have?
Solution:
def solution():
    #Iron Man has 5000 suits
    iron_man_suits = 5000
    #He has 2000 more suits than Thor
    thor_suits = iron_man_suits - 2000
    #The answer is
    result = thor_suits
    return result",subtraction,1
29,"### Response: 
Question: A 200-car freight train is 2 miles long. A 100-car passenger train is 1 mile long. How much longer is the freight train than the passenger train?
Solution:
def solution():
    # length of freight train
    freight_train_length = 2
    # length of passenger train
    passenger_train_length = 1
    # the difference in length
    difference = freight_train_length - passenger_train_length
    # the answer
    result = difference
    return result",subtraction,1
30,"### Response: 
Question: LeBron James has 5000 points. He scores 2000 points in the first half of the season and 3000 points in the second half. How many points does he have left?
Solution:
def solution():
    #LeBron James has 5000 points
    total_points = 5000
    #He scores 2000 points in the first half of the season
    points_first_half = 2000
    #He scores 3000 points in the second half of the season
    points_second_half = 3000
    #The answer is
    result = total_points - points_first_half - points_second_half
    return result",subtraction,1
31,"### Response: 
Question: 12 unicorns are in a field. 5 of the unicorns are white, 4 of the unicorns are pink, and the rest are purple. How many unicorns are purple?
Solution:
def solution():
    # total unicorns
    total_unicorns = 12
    # white unicorns
    white_unicorns = 5
    # pink unicorns
    pink_unicorns = 4
    # purple unicorns
    purple_unicorns = total_unicorns - white_unicorns - pink_unicorns
    return purple_unicorns",subtraction,1
32,"### Response: 
Question: Barbie has 200 pink dresses. She has 50 more pink dresses than her friend. How many pink dresses does her friend have?
Solution:
def solution():
    # Barbie has 200 pink dresses
    barbie_dresses = 200
    # She has 50 more pink dresses than her friend
    friend_dresses = barbie_dresses - 50
    # The answer is
    result = friend_dresses
    return result",subtraction,1
33,"### Response: 
Question: Wonder Woman has 5000 lassos. 

She lassos 1000 villains. 

How many lassos does she have left?
Solution:
def solution():
    #Wonder Woman has
    wonder_woman_lassos = 5000
    #She lassos
    lassos_used = 1000
    #The answer is
    result = wonder_woman_lassos - lassos_used
    return result",subtraction,1
34,"### Response: 
Question: Hello Kitty has 2000 pencils. She has 1000 more pencils than her friend. How many pencils does her friend have?
Solution:
def solution():
    #Hello Kitty has 2000 pencils
    hello_kitty_pencils = 2000
    #She has 1000 more pencils than her friend
    friend_pencils = hello_kitty_pencils - 1000
    #The answer is
    result = friend_pencils
    return result",subtraction,1
35,"### Response: 
Question: A Creeper has 100 health points. It has 40 more health points than a Zombie. How many health points does a Zombie have?

Solution:
def solution():
    # A Creeper has 100 health points
    creeper_health = 100
    # It has 40 more health points than a Zombie
    zombie_health = creeper_health - 40
    # The answer is
    result = zombie_health
    return result",subtraction,1
36,"### Response: 
Question: Serena Williams has 23 Grand Slam titles. 

Venus Williams has 7 Grand Slam titles. 

How many more Grand Slam titles does Serena Williams have than Venus Williams?

Solution:
def solution():
    #Serena Williams has 23 Grand Slam titles
    serena_titles = 23
    #Venus Williams has 7 Grand Slam titles
    venus_titles = 7
    #The answer is
    result = serena_titles - venus_titles
    return result",subtraction,1
37,"### Response: 
Question: Naruto has 1000 ramen. He eats 200 ramen a day. How many ramen does he have left after 5 days?
Solution:
def solution():
    #Naruto has 1000 ramen
    ramen_initial = 1000
    #He eats 200 ramen a day
    ramen_eaten_per_day = 200
    #The answer is
    result = ramen_initial - (ramen_eaten_per_day * 5)
    return result",subtraction,0
38,"### Response: 
Question: A T-Rex has 60 teeth. A Stegosaurus has 100 teeth. How many more teeth does a Stegosaurus have than a T-Rex?
Solution:
def solution():
    # A T-Rex has 60 teeth
    t_rex_teeth = 60
    # A Stegosaurus has 100 teeth
    stegosaurus_teeth = 100
    # The answer is
    result = stegosaurus_teeth - t_rex_teeth
    return result",subtraction,1
39,"### Response: 
Question: The Dallas Cowboys have 450 rushing yards. 

They have 250 more passing yards than rushing yards. 

How many total yards do they have?
Solution:
def solution():
    #The Dallas Cowboys have 450 rushing yards
    rushing_yards = 450
    #They have 250 more passing yards than rushing yards
    passing_yards = rushing_yards + 250
    #The answer is
    result = rushing_yards + passing_yards
    return result",subtraction,0
40,"### Response: 
Question: 
There are 12 players on a volleyball team. 4 of them are on the front row, and the rest are on the back row. How many players are on the back row?
Solution:
def solution():
    #The total number of players is 12
    total_players = 12
    #4 of them are on the front row
    front_row_players = 4
    #The rest are on the back row
    back_row_players = total_players - front_row_players
    #The answer is
    result = back_row_players
    return result",subtraction,1
41,"### Response: 
Question: 
Solution:
def solution():
    #...
    return ...",subtraction,0
42,"### Response: 
Question: 

A cat has 9 lives. 

A dog has 3 lives. 

How many more lives does a cat have than a dog?
Solution:
def solution():
    #A cat has 9 lives
    cat_lives = 9
    #A dog has 3 lives
    dog_lives = 3
    #The answer is
    result = cat_lives - dog_lives
    return result",subtraction,1
43,"### Response: 
Question: The Tampa Bay Buccaneers have 11 players on the field. The Kansas City Chiefs have 2 more players on the field than the Buccaneers. How many players are on the field for the Chiefs?
Solution:
def solution():
    #The Tampa Bay Buccaneers have 11 players on the field
    buccaneers_players = 11
    #The Kansas City Chiefs have 2 more players on the field than the Buccaneers
    chiefs_players = buccaneers_players + 2
    #The answer is
    result = chiefs_players
    return result",subtraction,0
44,"### Response: 
Question: 
A soccer team has 11 players. 
4 of the players are defenders, 3 are midfielders, and 2 are forwards. 
How many goalkeepers are there?
Solution:
def solution():
    #A soccer team has 11 players
    total_players = 11
    #4 of the players are defenders, 3 are midfielders, and 2 are forwards
    defenders = 4
    midfielders = 3
    forwards = 2
    #The answer is
    goalkeepers = total_players - defenders - midfielders - forwards
    return goalkeepers",subtraction,1
45,"### Response: 
Question: Hello Kitty has 200 pencils. She has 20 more pencils than erasers. She has 50 more erasers than notebooks. How many notebooks does Hello Kitty have?

Solution:
def solution():
    #Hello Kitty has 200 pencils
    pencils = 200
    #She has 20 more pencils than erasers
    erasers = pencils - 20
    #She has 50 more erasers than notebooks
    notebooks = erasers - 50
    #The answer is
    result = notebooks
    return result",subtraction,1
46,"### Response: 
Question:
A bakery baked 1000 cookies. They sold 200 cookies in the morning and 300 cookies in the afternoon. How many cookies are left?

Solution:
def solution():
    #The bakery baked 1000 cookies
    cookies_baked = 1000
    #They sold 200 cookies in the morning
    cookies_sold_morning = 200
    #They sold 300 cookies in the afternoon
    cookies_sold_afternoon = 300
    #The answer is
    result = cookies_baked - cookies_sold_morning - cookies_sold_afternoon
    return result",subtraction,1
47,"### Response: 
Question: Serena Williams has 22 Grand Slam titles. 10 of them are in singles, and the rest are in doubles. 5 of the doubles titles are with her sister Venus. How many of her doubles titles are with other partners?
Solution:
def solution():
    #Serena Williams has 22 Grand Slam titles
    total_titles = 22
    #10 of them are in singles
    singles_titles = 10
    #The rest are in doubles
    doubles_titles = total_titles - singles_titles
    #5 of the doubles titles are with her sister Venus
    doubles_titles_with_Venus = 5
    #The answer is
    doubles_titles_with_other_partners = doubles_titles - doubles_titles_with_Venus
    return doubles_",subtraction,1
48,"### Response: 
Question: 
A Minecraft player has 1000 experience points. 
They use 200 experience points to enchant a sword. 
They then use 300 experience points to enchant a pickaxe. 
How many experience points do they have left?
Solution:
def solution():
    # total experience points
    total_experience = 1000
    # experience points used for sword
    sword_experience = 200
    # experience points used for pickaxe
    pickaxe_experience = 300
    # the answer is
    result = total_experience - sword_experience - pickaxe_experience
    return result",subtraction,1
49,"### Response: 
Question: A Minecraft player has 1000 ores. 200 of the ores are iron. 300 of the ores are gold. 500 of the ores are diamond. How many of the ores are not diamond?
Solution:
def solution():
    #Total ores
    total_ores = 1000
    #Iron ores
    iron_ores = 200
    #Gold ores
    gold_ores = 300
    #Diamond ores
    diamond_ores = 500
    #The answer is
    result = total_ores - diamond_ores
    return result",subtraction,1
50,"### Response: 
Question: Batman has 100 Batarangs. He has 20 more Batarangs than Robin. How many Batarangs does Robin have?
Solution:
def solution():
    #Batman has 100 Batarangs
    batman_batarangs = 100
    #He has 20 more Batarangs than Robin
    robin_batarangs = batman_batarangs - 20
    #The answer is
    result = robin_batarangs
    return result",subtraction,1
51,"### Response: 
Question: 
The New England Patriots have 11 Super Bowl wins. 

The Pittsburgh Steelers have 6. 

How many more Super Bowl wins does New England have than Pittsburgh?
Solution:
def solution():
    #New England has
    new_england_wins = 11
    #Pittsburgh has
    pittsburgh_wins = 6
    #The answer is
    result = new_england_wins - pittsburgh_wins
    return result",subtraction,1
52,"### Response: 

Question:
Wakanda is a fictional country in the Marvel Cinematic Universe. It is home to the superhero Black Panther. 

Wakanda is 5,050 square miles. 

The United States is 3,531,900 square miles. 

How many more square miles is the United States than Wakanda?
Solution:
def solution():
    #Wakanda is 5,050 square miles
    wakanda_square_miles = 5050
    #The United States is 3,531,900 square miles
    usa_square_miles = 3531900
    #The answer is
    result = usa_square_miles - wakanda_square_miles
    return result",subtraction,1
53,"### Response: 
Question: 
Taylor Swift has 1000 social media followers. 200 of them are on Twitter, 300 of them are on Instagram, and the rest are on TikTok. How many followers does she have on TikTok?
Solution:
def solution():
    #Total followers
    total_followers = 1000
    #Followers on Twitter
    twitter_followers = 200
    #Followers on Instagram
    instagram_followers = 300
    #Followers on TikTok
    tiktok_followers = total_followers - twitter_followers - instagram_followers
    return tiktok_followers",subtraction,1
54,"### Response: 
Question: 
There are 200 unicorns in a magical forest. 50 of the unicorns are pink, 60 are blue, and the rest are white. How many white unicorns are there?

Solution:
def solution():
    # total unicorns
    total_unicorns = 200
    # pink unicorns
    pink_unicorns = 50
    # blue unicorns
    blue_unicorns = 60
    # white unicorns
    white_unicorns = total_unicorns - pink_unicorns - blue_unicorns
    # the answer is
    result = white_unicorns
    return result",subtraction,1
55,"### Response: 
Question: Wonder Woman is in a battle. She has 250 lassos. She uses 50 lassos to tie up 10 villains. How many lassos does Wonder Woman have left?
Solution:
def solution():
    #Wonder Woman has 250 lassos
    lassos_initial = 250
    #She uses 50 lassos to tie up 10 villains
    lassos_used = 50
    #The answer is
    lassos_left = lassos_initial - lassos_used
    return lassos_left",subtraction,1
56,"### Response: 
Question: LeBron James has 1000 points. He has 200 more 3-point shots than 2-point shots. How many 2-point shots does he have?

Solution:
def solution():
    #LeBron James has 1000 points
    total_points = 1000
    #He has 200 more 3-point shots than 2-point shots
    three_point_shots = (total_points - 200) / 3
    #The answer is
    result = three_point_shots - 200
    return result",subtraction,0
57,"### Response: 

Question: Taylor Swift has 1000 followers on Twitter. She has 100 more followers on Instagram. How many followers does she have on Instagram?

Solution:
def solution():
    # Taylor Swift has 1000 followers on Twitter
    twitter_followers = 1000
    # She has 100 more followers on Instagram
    instagram_followers = twitter_followers + 100
    # The answer is
    result = instagram_followers
    return result",subtraction,0
58,"### Response: 
Question: 
A Pikachu has 1000 PP (Pokémon Power). 
A Squirtle has 2000 PP. 
A Charmander has 500 PP. 
How much more PP does a Squirtle have than a Charmander?

Solution:
def solution():
    #A Pikachu has 1000 PP
    pikachu_pp = 1000
    #A Squirtle has 2000 PP
    squirtle_pp = 2000
    #A Charmander has 500 PP
    charmander_pp = 500
    #The answer is
    result = squirtle_pp - charmander_pp
    return result",subtraction,1
59,"### Response: 
Question: 
A volleyball team has 6 players on the court. 
3 of the players are setters, 2 are hitters, and 1 is a defensive specialist. 
How many players are not defensive specialists?
Solution:
def solution():
    #total players

    total_players = 6

    #players who are setters

    setter_players = 3

    #players who are hitters

    hitter_players = 2

    #players who are defensive specialists

    defensive_specialist_players = 1

    #players who are not defensive specialists

    non_defensive_specialist_players = total_players - defensive_specialist_players

    return non_defensive_specialist_play",subtraction,1
60,"### Response: 

Question: Hello Kitty has 25 bows. She wears 5 bows on her head, 6 bows on her paws, and 4 bows on her tail. How many bows does she have left?

Solution:
def solution():
    #Hello Kitty has 25 bows
    bows_total = 25
    #She wears 5 bows on her head
    bows_head = 5
    #6 bows on her paws
    bows_paws = 6
    #4 bows on her tail
    bows_tail = 4
    #The answer is
    result = bows_total - bows_head - bows_paws - bows_tail
    return result",subtraction,1
61,"### Response: 
Question: Taylor Swift has 1000 Instagram followers. 200 of them are inactive, and 300 of them are bots. How many real, active followers does she have?

Solution:
def solution():
    #Taylor Swift has 1000 Instagram followers
    followers = 1000
    #200 of them are inactive, and 300 of them are bots
    inactive_followers = 200
    bot_followers = 300
    #The answer is
    result = followers - inactive_followers - bot_followers
    return result",subtraction,1
62,"### Response: 
Question:
In a soccer game, Team A scored 20 goals. Team B scored 12 more goals than Team A. How many goals did Team B score?

Solution:
def solution():
    #Team A scored 20 goals
    team_a_goals = 20
    #Team B scored 12 more goals than Team A
    team_b_goals = team_a_goals + 12
    #The answer is
    result = team_b_goals
    return result",subtraction,0
63,"### Response: 
Question: A bakery has 100 cookies. 20 of the cookies are chocolate chip, 30 of the cookies are oatmeal raisin, and the rest are peanut butter. How many of the cookies are peanut butter?
Solution:
def solution():
    # total number of cookies
    total_cookies = 100
    # number of chocolate chip cookies
    chocolate_chip_cookies = 20
    # number of oatmeal raisin cookies
    oatmeal_raisin_cookies = 30
    # number of peanut butter cookies
    peanut_butter_cookies = total_cookies - chocolate_chip_cookies - oatmeal_raisin_cookies
    return peanut_butter",subtraction,1
64,"### Response: 
Question: Captain America is in a battle. He has 100 vibranium shields. He uses 20 of them to defend himself. How many vibranium shields does he have left?

Solution:
def solution():
    #Captain America has 100 vibranium shields
    vibranium_shields_initial = 100
    #He uses 20 of them
    vibranium_shields_used = 20
    #The answer is
    result = vibranium_shields_initial - vibranium_shields_used
    return result",subtraction,1
65,"### Response: 

Question: 

A volleyball team has 6 players on the court. 

3 of the players are setters, 2 are hitters, and 1 is a defensive specialist. 

How many players are not defensive specialists?

Solution:

def solution():
    #total players

    total_players = 6

    #players who are setters

    setter_players = 3

    #players who are hitters

    hitter_players = 2

    #players who are defensive specialists

    defensive_specialist_players = 1

    #players who are not defensive specialists

    non_defensive_specialist_players = total_players - defensive_specialist_players

    return non_def",subtraction,1
66,"### Response: 

Question: 

A soccer team has 11 players on the field. 

3 of the players are forwards, 5 are midfielders, and 3 are defenders. 

How many players are not forwards?

Solution:

def solution():

    # total players

    total_players = 11

    # forwards

    forwards = 3

    # midfielders

    midfielders = 5

    # defenders

    defenders = 3

    # players who are not forwards

    non_forwards = total_players - forwards

    return non_forwards",subtraction,1
67,"### Response: 
Question: The 49ers have 18 first downs. The Seahawks have 11 first downs. How many more first downs do the 49ers have than the Seahawks?
Solution:
def solution():
    #The 49ers have 18 first downs
    49ers_first_downs = 18
    #The Seahawks have 11 first downs
    seahawks_first_downs = 11
    #The answer is
    result = 49ers_first_downs - seahawks_first_downs
    return result",subtraction,1
68,"### Response: 
Question: 
Spiderman has 20 spider-sense tingles. 
He has 5 more tingles than the Hulk. 
How many tingles does the Hulk have?

Solution:
def solution():
    spiderman_tingles = 20
    hulk_tingles = spiderman_tingles - 5
    return hulk_tingles",subtraction,1
69,"### Response: 
Question: 
The lacrosse team has 24 players. 12 of the players are on the offense. 10 of the players are on the defense. 2 of the players are the goalies. How many players are not goalies?
Solution:
def solution():
    #Total number of players
    total_players = 24
    #Number of offensive players
    offensive_players = 12
    #Number of defensive players
    defensive_players = 10
    #Number of goalies
    goalies = 2
    #The answer is
    result = total_players - goalies
    return result",subtraction,1
70,"### Response: 
Question: Serena Williams has 23 Grand Slam titles. 

Venus Williams has 7 Grand Slam titles. 

How many more Grand Slam titles does Serena Williams have than Venus Williams?
Solution:
def solution():
    # Serena has 23 Grand Slam titles
    serena_titles = 23
    # Venus has 7 Grand Slam titles
    venus_titles = 7
    # The answer is
    result = serena_titles - venus_titles
    return result",subtraction,1
71,"### Response: 
Question: The field hockey team has 20 players. 8 of them are forwards, 6 are midfielders, and the rest are defenders. How many defenders are there?
Solution:
def solution():
    #The field hockey team has 20 players
    players_total = 20
    #8 of them are forwards
    forwards = 8
    #6 are midfielders
    midfielders = 6
    #The rest are defenders. The answer is
    result = players_total - forwards - midfielders
    return result",subtraction,0
72,"### Response: 
Question: 
Solution:
def solution():
    #The answer is
    result = 
    return result",subtraction,0
73,"### Response: 
Question: A 10-car train is 1200 feet long. A 20-car train is 2400 feet long. How many more feet is the 20-car train than the 10-car train?
Solution:
def solution():
    #A 10-car train is 1200 feet long
    train10_car = 1200
    #A 20-car train is 2400 feet long
    train20_car = 2400
    #The answer is
    result = train20_car - train10_car
    return result",subtraction,1
74,"### Response: 
Question: 
Solution:
def solution():
    #
    return",subtraction,0
75,"### Response: 
Question: A 300-car train is 3 miles long. A 200-car train is 2 miles long. How much longer is the 300-car train than the 200-car train?

Solution:
def solution():
    # A 300-car train is 3 miles long
    train_300_cars = 3
    # A 200-car train is 2 miles long
    train_200_cars = 2
    # How much longer is the 300-car train than the 200-car train?
    difference = train_300_cars - train_200_cars
    return difference",subtraction,1
