,question,solution,answer,topic
13,Captain Marvel is 1.83 m tall. 1 m is 3.281 ft. How many feet is Captain Marvel tall?,"def solution():
    #Captain Marvel is 1.83 m tall
    captain_marvel_height_in_meters = 1.83
    #1 m is 3.281 ft
    meter_to_foot = 3.281
    #The answer is
    result = captain_marvel_height_in_meters * meter_to_foot
    return result",6.004230000000001,Captain Marvel
14,"A Minecraft player has 12000 experience points. 20% of the experience points are from fighting zombies, 30% are from fighting creepers, and the rest are from fighting skeletons. How many experience points are from fighting skeletons?","def solution():
    #A Minecraft player has 12000 experience points
    experience_points = 12000
    #20% of the experience points are from fighting zombies
    experience_points_zombies = (20 / 100) * experience_points
    #30% are from fighting creepers
    experience_points_creepers = (30 / 100) * experience_points
    #The rest are from fighting skeletons
    experience_points_skeletons = experience_points - experience_points_zombies - experience_points_creepers
    #The answer is
    result = experience_points_skeletons
    return result",6000.0,Minecraft
15,Steph Curry is 6 feet 2 inches tall. 1 inch is 2.54 cm. How many centimeters is he tall?,"def solution():
    #Steph Curry is 6 feet 2 inches tall
    feet_tall = 6
    inches_tall = 2
    #1 foot is 30.48 cm and 1 inch is 2.54 cm
    foot_to_cm = 30.48
    inch_to_cm = 2.54
    #The answer is
    result = (feet_tall * foot_to_cm) + (inches_tall * inch_to_cm)
    return result",187.96,Steph Curry
16,200 cats are in a cat park. 100 more cats show up at the cat park. 25% of the cats at the cat park are meowing. How many cats are meowing?,"def solution():
    #200 cats are in a cat park
    cats_initial = 200
    #100 more cats show up
    cats_showed_up = 100
    #25% of the cats at the cat park are meowing
    meowing_cats_percentage = 0.25
    #The answer is
    result = (cats_initial + cats_showed_up) * meowing_cats_percentage
    return result",75.0,cats
17,"Wonder Woman has 100 lassos. 
She uses 20% of them to capture bad guys. 
She then buys 50 more lassos. 
How many lassos does she have now?","def solution():
    #Wonder Woman has 100 lassos
    lassos_initial = 100
    #She uses 20% of them to capture bad guys
    lassos_used = 0.20 * lassos_initial
    #She then buys 50 more lassos
    lassos_bought = 50
    #The answer is
    result = lassos_initial - lassos_used + lassos_bought
    return result",130.0,Wonder Woman
18,The soccer team has 200 fans. 1/4 of the fans are from the United States. 1/5 of the fans are from the United Kingdom. 1/8 of the fans are from Germany. 1/10 of the fans are from France. The rest of the fans are from other countries. How many of the fans are from other countries?,"def solution():
    #Total fans
    total_fans = 200
    #Fans from the US
    fans_us = total_fans / 4
    #Fans from the UK
    fans_uk = total_fans / 5
    #Fans from Germany
    fans_germany = total_fans / 8
    #Fans from France
    fans_france = total_fans / 10
    #Fans from other countries. The answer is
    fans_other = total_fans - fans_us - fans_uk - fans_germany - fans_france
    return fans_other",65.0,soccer
19,"The Power Rangers are 5 in number. 2 of them are 18 years old, 1 of them is 16 years old, and 2 of them are 14 years old. How old is the average Power Ranger?","def solution():
    #Total number of Power Rangers
    total_rangers = 5
    #Number of 18-year-old Power Rangers
    rangers_18 = 2
    #Number of 16-year-old Power Rangers
    rangers_16 = 1
    #Number of 14-year-old Power Rangers
    rangers_14 = 2
    #The answer is
    result = (rangers_18 * 18 + rangers_16 * 16 + rangers_14 * 14) / total_rangers
    return result",16.0,Power Rangers
20,"In the 1995 ""Spiderman: The Animated Series"", Spiderman had to web-sling 1200 feet to get to the top of the Empire State Building. He can web-sling 300 feet per minute. How many minutes does it take him to get to the top of the Empire State Building?","def solution():
    #Spiderman had to web-sling 1200 feet to get to the top of the Empire State Building
    spiderman_web_sling_feet = 1200
    #He can web-sling 300 feet per minute
    spiderman_web_sling_speed = 300
    #The answer is
    time = spiderman_web_sling_feet / spiderman_web_sling_speed
    return time",4.0,Spiderman
21,Serena Williams has 23 Grand Slam titles.  She is 4 Grand Slam titles away from the all-time record.  She wins 1 Grand Slam title a year.  How many years will it take for her to break the all-time record?,"def solution():
    #Serena Williams's current Grand Slam titles
    williams_grand_slam_titles = 23
    #Grand Slam titles away from the all-time record
    away_from_record = 4
    #Grand Slam titles per year
    per_year = 1

    #years to break the all-time record
    years_to_break_record = away_from_record / per_year

    return years_to_break_record",4.0,Serena Williams
22,Superman can punch 100 times in 30 seconds. How many times can he punch in 2 minutes?,"def solution():
    #Superman can punch 100 times in 30 seconds
    punches_per_30_seconds = 100
    #2 minutes is 120 seconds
    seconds_2_minutes = 120
    #The answer is
    result = (punches_per_30_seconds / 30) * seconds_2_minutes
    return result",400.0,Superman
24,How many scoops of ice cream are in 300 mL of ice cream if each scoop is 100 mL?,"def solution():
    #300 mL of ice cream
    ice_cream_300ml = 300
    #Each scoop is 100 mL
    scoop_100ml = 100
    #The answer is
    result = ice_cream_300ml / scoop_100ml
    return result",3.0,ice cream
25,"There are 4 Ninja Turtles. 2 of them are 15 years old, and the other 2 are 17 years old. What is the average age of the Ninja Turtles?","def solution():
    #2 of the Ninja Turtles are 15 years old
    turtles_15 = 2
    #The other 2 are 17 years old
    turtles_17 = 2
    #The average age is
    result = (turtles_15 * 15 + turtles_17 * 17) / 4
    return result",16.0,Ninja Turtles
26,"Wonder Woman can lasso 20 bad guys in 10 minutes. 
How many bad guys can she lasso in 2 hours?","def solution():
    #Wonder Woman can lasso 20 bad guys in 10 minutes
    bad_guys_10_minutes = 20
    #2 hours is 120 minutes
    minutes_2_hours = 120
    #The answer is
    result = (bad_guys_10_minutes / 10) * minutes_2_hours
    return result",240.0,Wonder Woman
28,"Serena Williams has 24 Grand Slam titles. 
She has 6 more than twice as many Grand Slam titles as Naomi Osaka. 
How many Grand Slam titles does Naomi Osaka have?","def solution():
    #Serena Williams has 24 Grand Slam titles
    serena_titles = 24
    #She has 6 more than twice as many Grand Slam titles as Naomi Osaka
    naomi_titles = (serena_titles - 6) / 2
    #The answer is
    result = naomi_titles
    return result",9.0,Serena Williams
30,A car is traveling at 60 miles per hour. It is 120 miles from its destination. How many hours will it take to get there?,"def solution():
    # car is traveling at 60 miles per hour
    speed = 60
    # it is 120 miles from its destination
    distance = 120
    # the answer is
    result = distance / speed
    return result",2.0,cars
31,"3000 people lined up to get ice cream. 1/4 of them got a scoop of chocolate, 1/5 of them got a scoop of vanilla, and 1/6 of them got a scoop of strawberry. How many people got a scoop of ice cream that was not chocolate, vanilla, or strawberry?","def solution():
    #3000 people lined up to get ice cream
    people = 3000
    #1/4 of them got a scoop of chocolate
    chocolate = people / 4
    #1/5 of them got a scoop of vanilla
    vanilla = people / 5
    #1/6 of them got a scoop of strawberry
    strawberry = people / 6
    #The answer is
    result = people - chocolate - vanilla - strawberry
    return result",1150.0,ice cream
33,Patrick Mahomes has 20000 yards. He gains 10000 more yards in the 2020 season. He gains 15000 in the 2021 season. How many yards does he have now?,"def solution():
    #Patrick Mahomes started with 20000 yards
    yards_initial = 20000
    #He gained 10000 in the 2020 season
    yards_2020 = 10000
    #He gained 15000 in the 2021 season
    yards_2021 = 15000
    #The answer is
    result = yards_initial + yards_2020 + yards_2021
    return result",45000.0,Patrick Mahomes
34,"Batman has 100 batarangs. 20 of them are in his utility belt, 30 of them are in his cape, and the rest are in his Batmobile. How many batarangs are in his Batmobile?","def solution():
    #Batman has 100 batarangs
    batarangs_total = 100
    #20 of them are in his utility belt
    batarangs_utility_belt = 20
    #30 of them are in his cape
    batarangs_cape = 30
    #The answer is
    batarangs_batmobile = batarangs_total - batarangs_utility_belt - batarangs_cape
    return batarangs_batmobile",50.0,Batman
35,"A candy store has 125 lollipops. 25 of the lollipops are sour, 50 are sweet, and the rest are spicy. How many spicy lollipops are there?","def solution():
    #The candy store has 125 lollipops
    lollipops = 125
    #25 of the lollipops are sour
    sour_lollipops = 25
    #50 are sweet
    sweet_lollipops = 50
    #The rest are spicy. The answer is
    spicy_lollipops = lollipops - sour_lollipops - sweet_lollipops
    return spicy_lollipops",50.0,candy
36,"There are 300 dogs in a dog park. 200 of the dogs are large, 60 of the dogs are medium, and 40 of the dogs are small. How many large and small dogs are there?","def solution():
    #There are 300 dogs in a dog park
    dogs_total = 300
    #200 of the dogs are large
    dogs_large = 200
    #60 of the dogs are medium
    dogs_medium = 60
    #40 of the dogs are small
    dogs_small = 40
    #The answer is
    result = dogs_large + dogs_small
    return result",240.0,dogs
37,"Serena Williams has 23 Grand Slam titles. 

Venus Williams has 7. 

How many more Grand Slam titles does Serena have than Venus?","def solution():
    #Serena has
    serena_titles = 23
    #Venus has
    venus_titles = 7
    #The answer is
    result = serena_titles - venus_titles
    return result",16.0,Serena Williams
39,"A Minecraft player has 1000 experience points. 
They use 500 experience points to enchant their sword. 
They then use 200 more experience points to enchant their armor. 
How many experience points do they have left?","def solution():
    # The player started with 1000 experience points
    experience_points_initial = 1000
    # They used 500 experience points to enchant their sword
    experience_points_sword = 500
    # They used 200 more experience points to enchant their armor
    experience_points_armor = 200
    # The answer is
    result = experience_points_initial - experience_points_sword - experience_points_armor
    return result",300.0,Minecraft
40,Wonder Woman is in a battle. She has 2000 beads. 1000 of the beads are in her lasso. 500 of the beads are in her tiara. 250 of the beads are in her bracelets. How many beads are left?,"def solution():
    #Wonder Woman has 2000 beads
    beads_total = 2000
    #1000 of the beads are in her lasso
    beads_in_lasso = 1000
    #500 of the beads are in her tiara
    beads_in_tiara = 500
    #250 of the beads are in her bracelets
    beads_in_bracelets = 250
    #The answer is
    result = beads_total - beads_in_lasso - beads_in_tiara - beads_in_bracelets
    return result",250.0,Wonder Woman
41,The first-place winner in the Fortnite tournament gets 5000 V-Bucks. The second-place winner gets 2500 V-Bucks. The third-place winner gets 1250 V-Bucks. How many V-Bucks do the winners get in total?,"def solution():
    #The first-place winner gets 5000 V-Bucks
    v_bucks_first_place = 5000
    #The second-place winner gets 2500 V-Bucks
    v_bucks_second_place = 2500
    #The third-place winner gets 1250 V-Bucks
    v_bucks_third_place = 1250
    #The answer is
    result = v_bucks_first_place + v_bucks_second_place + v_bucks_third_place
    return result",8750.0,Fortnite
42,Hello Kitty has 2000 pencils. She bought 3000 more pencils. She then gave 2000 pencils to her friends. How many pencils does Hello Kitty have left?,"def solution():
    #Hello Kitty has 2000 pencils
    pencils_initial = 2000
    #She bought 3000 more pencils
    pencils_bought = 3000
    #She gave 2000 pencils to her friends
    pencils_given = 2000
    #The answer is
    result = pencils_initial + pencils_bought - pencils_given
    return result",3000.0,Hello Kitty
44,Hello Kitty has 2000 yen. She spends 1000 yen on a new outfit and 500 yen on a new toy. How much yen does she have left?,"def solution():
    #Hello Kitty started with 2000 yen
    yen_initial = 2000
    #She spent 1000 yen on a new outfit
    yen_spent_outfit = 1000
    #She spent 500 yen on a new toy
    yen_spent_toy = 500
    #The answer is
    result = yen_initial - yen_spent_outfit - yen_spent_toy
    return result",500.0,Hello Kitty
45,Barbie has 120 pink shoes. She has 300 more blue shoes than pink shoes. How many shoes does Barbie have in total?,"def solution():
    #Barbie has 120 pink shoes
    pink_shoes = 120
    #She has 300 more blue shoes than pink shoes
    blue_shoes = pink_shoes + 300
    #The answer is
    result = pink_shoes + blue_shoes
    return result",540.0,Barbie
46,"A field hockey team has 15 players. 5 of the players are forwards, 6 of the players are midfielders, and the rest are defenders. How many defenders are on the team?","def solution():
    #A field hockey team has 15 players
    players_total = 15
    #5 of the players are forwards
    players_forwards = 5
    #6 of the players are midfielders
    players_midfielders = 6
    #The rest are defenders
    players_defenders = players_total - players_forwards - players_midfielders
    #The answer is
    result = players_defenders
    return result",4.0,field hockey
47,Steph Curry has 2000 3-pointers. He makes 50 more 3-pointers each week for 10 weeks. How many 3-pointers does he have now?,"def solution():
    #Steph Curry started with 2000 3-pointers
    three_pointers_initial = 2000
    #He makes 50 more 3-pointers each week for 10 weeks
    three_pointers_gained_per_week = 50
    #The answer is
    result = three_pointers_initial + three_pointers_gained_per_week * 10
    return result",2500.0,Steph Curry
48,Captain Marvel is a superhero. She is 1000 times stronger than a normal human. A normal human can lift 100 pounds. How many pounds can Captain Marvel lift?,"def solution():
    #A normal human can lift 100 pounds
    normal_human_lift = 100
    #Captain Marvel is 1000 times stronger than a normal human
    captain_marvel_lift = normal_human_lift * 1000
    #The answer is
    result = captain_marvel_lift
    return result",100000.0,Captain Marvel
49,"Batman has 50 Batarangs. He uses 10 of them to fight the Joker, 15 of them to fight the Penguin, and 12 of them to fight the Riddler. How many Batarangs does he have left?","def solution():
    #Batman has 50 Batarangs
    batarangs_total = 50
    #He uses 10 of them to fight the Joker
    batarangs_joker = 10
    #15 of them to fight the Penguin
    batarangs_penguin = 15
    #12 of them to fight the Riddler
    batarangs_riddler = 12
    #The answer is
    result = batarangs_total - batarangs_joker - batarangs_penguin - batarangs_riddler
    return result",13.0,Batman
50,"A soccer team has 11 players. 3 of the players are forwards, 5 are midfielders, and the rest are defenders. How many defenders are there?","def solution():
    #The soccer team has 11 players
    total_players = 11
    #3 of the players are forwards
    forwards = 3
    #5 are midfielders
    midfielders = 5
    #The rest are defenders
    defenders = total_players - forwards - midfielders
    return defenders",3.0,soccer
51,"Naruto has 100 ramen. He ate 20 ramen for breakfast, 30 ramen for lunch, and 20 ramen for dinner. How many ramen does he have left?","def solution():
    #Naruto has 100 ramen
    ramen_total = 100
    #He ate 20 ramen for breakfast
    ramen_breakfast = 20
    #30 ramen for lunch
    ramen_lunch = 30
    #20 ramen for dinner
    ramen_dinner = 20
    #The answer is
    result = ramen_total - ramen_breakfast - ramen_lunch - ramen_dinner
    return result",30.0,Naruto
52,A lacrosse team has 1200.00. They used 100.00 to buy a new goal. They then used 250.00 to buy new sticks. They used 50.00 to buy new pads. How much money is left?,"def solution():
    #The team started with 1200.00
    money_initial = 1200
    #They used 100.00 to buy a new goal
    goal_cost = 100
    #250.00 to buy new sticks
    sticks_cost = 250
    #and 50.00 to buy new pads
    pads_cost = 50
    #The answer is
    result = money_initial - goal_cost - sticks_cost - pads_cost
    return result",800.0,lacrosse
53,"Serena Williams has 18 Grand Slam singles titles. 5 of them are from the Australian Open, 3 are from the French Open, 7 are from Wimbledon, and the rest are from the US Open. How many of her Grand Slam singles titles are from the US Open?","def solution():
    #Serena Williams has 18 Grand Slam singles titles
    total_titles = 18
    #5 of them are from the Australian Open
    australian_open_titles = 5
    #3 are from the French Open
    french_open_titles = 3
    #7 are from Wimbledon
    wimbledon_titles = 7
    #The answer is
    us_open_titles = total_titles - australian_open_titles - french_open_titles - wimbledon_titles
    return us_open_titles",3.0,Serena Williams
54,"The soccer team has 20 players. 
8 of the players are forwards, 6 are midfielders, and 6 are defenders. 
How many goalkeepers are there?","def solution():
    #Total number of players
    total_players = 20
    #Number of forwards, midfielders, and defenders
    forwards = 8
    midfielders = 6
    defenders = 6
    #The answer is
    goalkeepers = total_players - forwards - midfielders - defenders
    return goalkeepers",0.0,soccer
55,Ms. Fields baked 120 chocolate chip cookies. She put them on a tray and took them to the dining room. 20 of the cookies were eaten by her kids. She ate 10 of the cookies. How many cookies are left?,"def solution():
    #Ms. Fields baked 120 chocolate chip cookies
    cookies_baked = 120
    #20 of the cookies were eaten by her kids
    cookies_eaten_kids = 20
    #She ate 10 of the cookies
    cookies_eaten_herself = 10
    #The answer is
    result = cookies_baked - cookies_eaten_kids - cookies_eaten_herself
    return result",90.0,cookies
56,Patrick Mahomes has 4000 passing yards. He has 2000 more passing yards than rushing yards. How many rushing yards does he have?,"def solution():
    #Patrick Mahomes has 4000 passing yards
    passing_yards = 4000
    #He has 2000 more passing yards than rushing yards
    rushing_yards = passing_yards - 2000
    #The answer is
    result = rushing_yards
    return result",2000.0,Patrick Mahomes
57,Superman can punch 2000 times a minute. How many punches can he throw in 10 minutes?,"def solution():
    #Superman can punch 2000 times a minute
    punches_per_minute = 2000
    #In 10 minutes, he can punch
    punches_10_minutes = punches_per_minute * 10
    return punches_10_minutes",20000.0,Superman
58,"1000 unicorns were in a magical forest. 100 of them were pink, 200 of them were purple, and the rest were blue. How many blue unicorns were in the forest?","def solution():
    #1000 unicorns were in a magical forest
    total_unicorns = 1000
    #100 of them were pink
    pink_unicorns = 100
    #200 of them were purple
    purple_unicorns = 200
    #The rest were blue
    blue_unicorns = total_unicorns - pink_unicorns - purple_unicorns
    #The answer is
    result = blue_unicorns
    return result",700.0,unicorns
60,Super Mario has 100 coins. 20 of them are from the Mushroom Kingdom. 30 of them are from the Koopa Kingdom. 10 of them are from the Star Kingdom. The rest are from the Fire Kingdom. How many coins does Super Mario have from the Fire Kingdom?,"def solution():
    #Super Mario has 100 coins
    coins = 100
    #20 of them are from the Mushroom Kingdom
    mushroom_kingdom_coins = 20
    #30 of them are from the Koopa Kingdom
    koopa_kingdom_coins = 30
    #10 of them are from the Star Kingdom
    star_kingdom_coins = 10
    #The rest are from the Fire Kingdom
    fire_kingdom_coins = coins - mushroom_kingdom_coins - koopa_kingdom_coins - star_kingdom_coins
    return fire_kingdom_coins",40.0,Super Mario
61,Batman has 1000 Batarangs. He uses 200 of them to fight the Joker. He then uses 300 of them to fight Bane. How many Batarangs does he have left?,"def solution():
    #Batman has 1000 Batarangs
    batarangs_initial = 1000
    #He uses 200 of them to fight the Joker
    batarangs_used_against_joker = 200
    #He then uses 300 of them to fight Bane
    batarangs_used_against_bane = 300
    #The answer is
    result = batarangs_initial - batarangs_used_against_joker - batarangs_used_against_bane
    return result",500.0,Batman
63,Pikachu has 100 thunderbolts. He used 20 thunderbolts in a battle with Squirtle. He then used 30 thunderbolts in a battle with Bulbasaur. How many thunderbolts does Pikachu have left?,"def solution():
    #Pikachu started with 100 thunderbolts
    thunderbolts_initial = 100
    #He used 20 in a battle with Squirtle
    thunderbolts_used_vs_squirtle = 20
    #And 30 in a battle with Bulbasaur
    thunderbolts_used_vs_bulbasaur = 30
    #The answer is
    result = thunderbolts_initial - thunderbolts_used_vs_squirtle - thunderbolts_used_vs_bulbasaur
    return result",50.0,Pokémon
64,"Captain Marvel punches 100 times a minute. She punches for 5 minutes, then 200 more times. How many times has she punched?","def solution():
    #Captain Marvel punches 100 times a minute
    punches_per_minute = 100
    #She punches for 5 minutes
    minutes = 5
    #She then punches 200 more times
    punches_additional = 200
    #The answer is
    result = punches_per_minute * minutes + punches_additional
    return result",700.0,Captain Marvel
65,"The airport has 1000 planes. 
200 of them are for international flights. 
300 of them are for domestic flights. 
The rest are for charter flights. 
How many planes are for charter flights?","def solution():
    #Total number of planes
    total_planes = 1000
    #Number of planes for international flights
    international_planes = 200
    #Number of planes for domestic flights
    domestic_planes = 300
    #The answer is
    result = total_planes - international_planes - domestic_planes
    return result",500.0,planes
66,Spiderman has 100 spider webs. He uses 20 spider webs to trap a criminal. He then uses 30 spider webs to save a kitten. How many spider webs does he have left?,"def solution():
    #Spiderman started with 100 spider webs
    spider_webs_initial = 100
    #He used 20 to trap a criminal
    spider_webs_criminal = 20
    #He used 30 to save a kitten
    spider_webs_kitten = 30
    #The answer is
    result = spider_webs_initial - spider_webs_criminal - spider_webs_kitten
    return result",50.0,Spiderman
67,"Kobe Bryant, a professional basketball player, has 5 NBA championship rings. He has 2 more rings than Shaquille O'Neal. How many rings does Shaquille O'Neal have?","def solution():
    #Kobe has 5 rings
    kobe_rings = 5
    #He has 2 more than Shaq
    shaq_rings = kobe_rings - 2
    #The answer is
    result = shaq_rings
    return result",3.0,basketball
68,"Steve has 1000 Minecraft coins. He spends 200 coins on a new outfit, 300 coins on a new pickaxe, and 100 coins on a new shovel. How many coins does he have left?","def solution():
    #Steve started with 1000 coins
    coins_initial = 1000
    #He spent 200 coins on a new outfit
    coins_spent_outfit = 200
    #He spent 300 coins on a new pickaxe
    coins_spent_pickaxe = 300
    #He spent 100 coins on a new shovel
    coins_spent_shovel = 100
    #The answer is
    result = coins_initial - coins_spent_outfit - coins_spent_pickaxe - coins_spent_shovel
    return result",400.0,Minecraft
70,Spiderman has 20 spider-bots. He deploys 5 spider-bots on each of 3 rooftops. How many spider-bots does he have left?,"def solution():
    #Spiderman started with 20 spider-bots
    spider_bots_initial = 20
    #He deploys 5 spider-bots on each of 3 rooftops
    spider_bots_deployed = 5 * 3
    #The answer is
    result = spider_bots_initial - spider_bots_deployed
    return result",5.0,Spiderman
71,"Naruto has 1000 ryo. He spends 200 ryo on a new headband, 300 ryo on a new outfit, and 100 ryo on a new backpack. How many ryo does he have left?","def solution():
    #Naruto started with 1000 ryo
    ryo_initial = 1000
    #He spends 200 ryo on a new headband
    ryo_headband = 200
    #300 ryo on a new outfit
    ryo_outfit = 300
    #100 ryo on a new backpack
    ryo_backpack = 100
    #The answer is
    result = ryo_initial - ryo_headband - ryo_outfit - ryo_backpack
    return result",400.0,Naruto
72,"A volleyball team has 12 players. 3 of the players are setters, 5 of the players are hitters, and the rest are blockers. How many players are blockers?","def solution():
    #A volleyball team has 12 players
    total_players = 12
    #3 of the players are setters
    setters = 3
    #5 of the players are hitters
    hitters = 5
    #The rest are blockers
    blockers = total_players - setters - hitters
    #The answer is
    result = blockers
    return result",4.0,volleyball
73,"1000 cars are in a parking lot. 200 of the cars are Hondas, 300 of the cars are Toyotas, and the rest are Nissans. How many of the cars are Nissans?","def solution():
    #Total cars
    total_cars = 1000
    #Hondas
    hondas = 200
    #Toyotas
    toyotas = 300
    #Nissans are the rest
    nissans = total_cars - hondas - toyotas
    return nissans",500.0,cars
74,"LeBron James has 30,000 points, 9,000 rebounds, and 9,000 assists. 
How many more points does he have than rebounds and assists combined?","def solution():
    #LeBron James has 30,000 points
    lebron_points = 30000
    #9,000 rebounds
    lebron_rebounds = 9000
    #9,000 assists
    lebron_assists = 9000
    #The answer is
    result = lebron_points - lebron_rebounds - lebron_assists
    return result",12000.0,LeBron James
76,"Captain Marvel has 1000 followers. 200 of her followers are from the United States, 150 are from Brazil, and the rest are from other countries. How many of her followers are not from the United States or Brazil?","def solution():
    #Captain Marvel has 1000 followers
    followers_total = 1000
    #200 of her followers are from the United States
    followers_us = 200
    #150 are from Brazil
    followers_brazil = 150
    #The rest are from other countries
    followers_other = followers_total - followers_us - followers_brazil
    #The answer is
    result = followers_other
    return result",650.0,Captain Marvel
77,"The volleyball team has 12 players. 5 of them are setters, 4 are hitters, and the rest are blockers. How many blockers are there?","def solution():
    #The team has 12 members
    team_members = 12
    #5 of them are setters
    setters = 5
    #4 of them are hitters
    hitters = 4
    #The rest are blockers
    blockers = team_members - setters - hitters
    return blockers",3.0,volleyball
78,"2000 planes are at an airport. 400 of them are private planes, 700 of them are commercial airliners, and the rest are military planes. How many military planes are there?","def solution():
    #2000 planes are at an airport
    total_planes = 2000
    #400 of them are private planes
    private_planes = 400
    #700 of them are commercial airliners
    commercial_airliners = 700
    #The rest are military planes
    military_planes = total_planes - private_planes - commercial_airliners
    #The answer is
    result = military_planes
    return result",900.0,planes
79,Patrick Mahomes has 400 passing yards. He has 200 more passing yards than rushing yards. How many rushing yards does he have?,"def solution():
    #Patrick Mahomes has 400 passing yards
    passing_yards = 400
    #He has 200 more passing yards than rushing yards
    rushing_yards = passing_yards - 200
    #The answer is
    result = rushing_yards
    return result",200.0,Patrick Mahomes
80,"A dog barks 10 times per minute. 

If 500 dogs bark for 10 minutes, how many barks are there in total?","def solution():
    #A dog barks 10 times per minute
    barks_per_minute = 10
    #500 dogs bark for 10 minutes
    dogs = 500
    minutes = 10
    #The answer is
    result = barks_per_minute * dogs * minutes
    return result",50000.0,dogs
81,"100 unicorns were at a unicorn convention. 20 of the unicorns were pink, 30 were purple, and 10 were both pink and purple. How many unicorns were not pink or purple?","def solution():
    #Total unicorns
    total_unicorns = 100
    #Pink unicorns
    pink_unicorns = 20
    #Purple unicorns
    purple_unicorns = 30
    #Both pink and purple unicorns
    both_unicorns = 10
    #Not pink or purple unicorns are
    neither_unicorns = total_unicorns - pink_unicorns - purple_unicorns + both_unicorns
    return neither_unicorns",60.0,unicorns
82,"Captain America can punch 100 times per minute. 
If he punches 100 times per minute for 10 minutes, 
how many punches has he thrown?","def solution():
    #Captain America can punch 100 times per minute
    punches_per_minute = 100
    #He punches for 10 minutes
    minutes = 10
    #The answer is
    result = punches_per_minute * minutes
    return result",1000.0,Captain America
