,question_number,question,answer
1467,question1467,A 10-pound sack of flour makes 20 loaves of bread. How many sacks of flour are needed to make 150 loaves of bread?,7.5
1468,question1468,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1469,question1469,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1470,question1470,A 10-pound bag of flour makes 24 loaves of bread. How many 10-pound bags of flour does it take to make 144 loaves of bread?,6.0
1472,question1472,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1473,question1473,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1474,question1474,A bakery has 120 cakes. The bakery sells 20 cakes in the morning and 30 cakes in the afternoon. How many cakes does the bakery have left?,70
1475,question1475,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1476,question1476,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1477,question1477,A pizzeria has 100 pizzas. They sell 30 pizzas in the morning and 20 pizzas in the afternoon. How many pizzas do they have left?,50
1478,question1478,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1479,question1479,A candy store sells 10000000 chocolate bars and 4000000 peppermint sticks every day. How many more chocolate bars than peppermint sticks does it sell?,6000000
1480,question1480,A bakery has 100 baguettes. They bake 50 more baguettes. They sell 60 baguettes. How many baguettes do they have left?,90
1481,question1481,"A candy store has 1000s of M&Ms. It also has 1000s of Skittles. If the candy store has 2000 candies in total, and each M&M has 4 Skittles, how many M&Ms are there?",500.0
1482,question1482,A 20-ounce soda has 16 ounces of water and 4 ounces of sugar. How many ounces of flavoring does it have?,0
1483,question1483,A bakery has 10000 pieces of candy. The owner of the bakery eats 100 pieces of candy every day. How many days will it take for the owner to eat all the candy?,100.0
1484,question1484,A 10-pound bag of flour makes 24 loaves of bread. How many bags of flour are needed to make 144 loaves of bread?,60.0
1485,question1485,A 12-pack of soda costs $3.5. A 24-pack of soda costs $6.5. How much money can you save by buying a 24-pack of soda instead of 2 12-packs?,0.5
1486,question1486,A bakery has 100 loaves of bread. It sells 20 loaves in the morning and 30 loaves in the afternoon. How many loaves of bread does it have left?,50
1487,question1487,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1488,question1488,A bakery sells 10000000 baguettes a day. They cost $2 each. How much money does the bakery make in a week?,140000000
1489,question1489,A 2-liter bottle of soda has 8 cups of soda. A 12-liter bottle of soda has 48 cups of soda. How many more cups of soda are in the 12-liter bottle than in the 2-liter bottle?,40
1490,question1490,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1491,question1491,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1492,question1492,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1493,question1493,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money do you save by buying a 24-pack of soda instead of 2 12-packs?,2
1494,question1494,A 2-pound bag of mints has 200 mints. A 1-pound bag of mints has 150 mints. How many more mints are in the 2-pound bag than in the 1-pound bag?,50
1495,question1495,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1496,question1496,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1497,question1497,A bakery has 100 loaves of bread. It sells 20 loaves in the morning and 30 loaves in the afternoon. How many loaves of bread does it have left?,50
1498,question1498,A bakery sells 120 baguettes a day. 20% of the baguettes are sold in the morning. How many baguettes are sold in the morning?,24.0
1499,question1499,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1500,question1500,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1501,question1501,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1502,question1502,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1503,question1503,A 10-year-old boy has 20000000 toy cars. He buys 10 more toy cars. How many toy cars does he have now?,30
1504,question1504,A bakery has 12 cakes. The bakery sells 4 cakes in the morning and 8 cakes in the afternoon. How many cakes does the bakery have left?,0
1505,question1505,A bakery has 100 baguettes. The bakery sells 15 baguettes in the morning and 25 in the afternoon. How many baguettes does the bakery have left?,60
1506,question1506,A bakery has 100 baguettes. They bake 50 more baguettes. They sell 20 baguettes. How many baguettes do they have left?,130
1507,question1507,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A laundromat wash machine can hold 200 ounces of laundry.  How many wash cycles will it take to wash 12 cakes of soap, 8 boxes of soap powder, and 15 bottles of detergent?",2.38
1508,question1508,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1509,question1509,A 10-foot by 10-foot room has 80 square feet of floor space. A 12-foot by 12-foot room has _____ square feet of floor space.,144
1510,question1510,A bakery has 150 loaves of bread. It sells 10 loaves of bread in the morning and 20 in the afternoon. How many loaves of bread does the bakery have left?,120
1511,question1511,A bakery has 100 baguettes. They sell 20 baguettes in the morning and 30 baguettes in the afternoon. How many baguettes do they have left?,50
1512,question1512,A 10-pound bag of apples has 40 apples. How many apples does a 25-pound bag of apples have?,100.0
1513,question1513,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1514,question1514,A bakery has 12 cakes. The bakery sells 3 cakes in the morning and 4 cakes in the afternoon. How many cakes does the bakery have left?,5
1515,question1515,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,4.166666666666667
1516,question1516,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1517,question1517,A 2-liter bottle of soda has 8 cups of soda. A 12-liter bottle of soda has 48 cups of soda. How many more cups of soda are in the 12-liter bottle than in the 2-liter bottle?,40
1518,question1518,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1519,question1519,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,4.166666666666667
1520,question1520,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1521,question1521,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money do you save by buying a 24-pack of soda instead of 2 12-packs?,2
1522,question1522,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,4.166666666666667
1523,question1523,A cake of soap weighs 4 ounces. A box of soap can hold 12 cakes of soap. How many ounces of soap can a box of soap hold?,48
1524,question1524,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A bottle of bleach weighs 10 ounces.  A 20-pound sack of laundry will wash 20 loads of laundry.  How many ounces of laundry products will you need to wash 40 loads of laundry?,100.0
1525,question1525,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1526,question1526,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1527,question1527,A 12-ounce can of soda has 150 calories. A 20-ounce soda has 250 calories. How many more calories are in the 20-ounce soda than in the 12-ounce soda?,100
1528,question1528,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1529,question1529,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money do you save by buying a 24-pack of soda instead of 2 12-packs?,2
1530,question1530,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1531,question1531,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money do you save by buying a 24-pack of soda instead of 2 12-packs?,2
1532,question1532,A 12-pack of soda costs $4.00. A 24-pack of soda costs $6.00. How much would it cost to buy 36 cans of soda?,12.0
1533,question1533,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1534,question1534,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1535,question1535,A bakery sells 10000000 baguettes a day. They cost $3 each. How much money does the bakery make in a week?,210000000
1536,question1536,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1537,question1537,A bakery has 100 baguettes. The bakery sells 15 baguettes in the morning and 25 in the afternoon. How many baguettes does the bakery have left?,60
1538,question1538,A bakery has 100 loaves of bread. It sells 30 loaves in the morning and 20 loaves in the afternoon. How many loaves of bread does it have left?,50
1539,question1539,A 20-ounce soda has 12 ounces of sugar. A 12-ounce soda has 8 ounces of sugar. How much more sugar is in a 20-ounce soda than in a 12-ounce soda?,4
1540,question1540,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1541,question1541,"A 10-foot-long and 12-foot-wide room has 1600 square feet of wall space. If you paint the walls with a paint that costs $3 per square foot, how much will it cost to paint the walls?",4800
1542,question1542,A candy store has 2000 chocolate bars. They melted and had to be thrown away. The store has 4000 more chocolate bars in the back. How many chocolate bars does the store have now?,2000
1543,question1543,A candy store has 20000 pieces of candy. The owner of the candy store eats 1000 pieces of candy every day. How many days will it take for the owner to eat all the candy?,20.0
1544,question1544,A candy store sells 10000000 chocolate bars and 4000000 peppermint sticks every day. How many more chocolate bars than peppermint sticks does it sell?,6000000
1545,question1545,A bakery sells 120 baguettes a day. 20% of the baguettes are sold in the morning. How many baguettes are sold in the morning?,24.0
1546,question1546,"A 10-foot-long, 8-foot-wide, and 6-foot-high box is to be filled with 1-foot-long, 1-foot-wide, and 1-foot-high boxes. How many 1-foot-long, 1-foot-wide, and 1-foot-high boxes can be fitted into the bigger box?",480.0
1547,question1547,A bakery has 100 baguettes. They sell 30 baguettes in the morning and 20 in the afternoon. How many baguettes do they have left?,50
1548,question1548,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A laundromat wash machine can hold 200 ounces of laundry.  How many wash cycles will it take to wash 12 cakes of soap, 8 boxes of soap powder, and 15 bottles of detergent?",2.38
1549,question1549,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1550,question1550,A 12-ounce soda has 100 calories. A 20-ounce soda has 150 calories. How many more calories are in a 20-ounce soda than in a 12-ounce soda?,50
1551,question1551,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1552,question1552,"A bakery has 1200 calories in each cake. 2000 calories in each pie. 1500 calories in each muffin. 300 calories in each cookie. 1000 calories in each donut. 1200 calories in each scone. 
The bakery sells 1 cake, 1 pie, 1 muffin, 1 donut, 1 scone, and 3 cookies. How many calories did the bakery sell?",7800
1553,question1553,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1554,question1554,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A tote bag can hold 100 ounces of laundry supplies.  How many tote bags are needed to carry 12 cakes of soap, 3 boxes of soap powder, and 4 bottles of detergent?",1.76
1555,question1555,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1556,question1556,A 10-pound sack of flour makes 24 loaves of bread. How many sacks of flour are needed to make 72 loaves of bread?,30.0
1557,question1557,A bakery has 12 cakes. The bakery sells 3 cakes in the morning and 4 cakes in the afternoon. How many cakes does the bakery have left?,5
1558,question1558,"A candy store sells 100000000 chocolate bars a day. The chocolate bars are made of 30% cocoa, 40% sugar, and 30% other ingredients. How much cocoa does the candy store sell a day?",30000000.0
1559,question1559,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1560,question1560,A 24-pack of soda costs $12. A 24-pack of beer costs $24. How much more does the beer cost than the soda?,12
1561,question1561,A bakery has 100 muffins. They sell 23 muffins in the morning and 19 muffins in the afternoon. How many muffins do they have left?,77
1562,question1562,A 20-ounce soda has 12 ounces of sugar. A 12-ounce soda has 8 ounces of sugar. How much more sugar is in a 20-ounce soda than in a 12-ounce soda?,4
1563,question1563,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A bottle of bleach weighs 10 ounces.  A 20-pound sack of laundry will wash 20 loads of laundry.  How many ounces of laundry products will you need to wash 40 loads of laundry?,100.0
1564,question1564,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1565,question1565,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money do you save by buying a 24-pack of soda instead of 2 12-packs?,2
1566,question1566,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1567,question1567,A 10-pound bag of flour makes 24 loaves of bread. How many bags of flour are needed to make 144 loaves of bread?,60.0
1568,question1568,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1569,question1569,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money do you save by buying a 24-pack of soda instead of 2 12-packs?,2
1570,question1570,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1571,question1571,A bakery sells 120 baguettes a day. 20% of the baguettes are sold in the morning. How many baguettes are sold in the morning?,24.0
1572,question1572,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1573,question1573,A 2-liter bottle of soda has 8 cups of soda. A 12-liter bottle of soda has 48 cups of soda. How many more cups of soda are in the 12-liter bottle than in the 2-liter bottle?,40
1574,question1574,A 12-ounce can of soda has 150 calories. A 16-ounce can of soda has 200 calories. How many more calories are in the 16-ounce soda than in the 12-ounce soda?,50
1575,question1575,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1576,question1576,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money can you save by buying a 24-pack of soda instead of 2 12-packs?,2
1577,question1577,A bakery sells 120 baguettes a day. 20% of the baguettes are sold in the morning. How many baguettes are sold in the morning?,24.0
1578,question1578,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A bottle of bleach weighs 10 ounces.  A 20-pound sack of laundry will wash 80 loads of laundry.  How many ounces of laundry products will you need to wash 40 loads of laundry?,25.0
1580,question1580,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,4.166666666666667
1581,question1581,A bakery has 100 baguettes. The bakery sells 17 baguettes in the morning and 22 in the afternoon. How many baguettes does the bakery have left?,61
1582,question1582,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1583,question1583,A bakery has 100 loaves of bread. It sells 20 loaves in the morning and 30 loaves in the afternoon. How many loaves of bread does it have left?,50
1584,question1584,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A tote bag can hold 100 ounces of laundry supplies.  How many tote bags are needed to carry 12 cakes of soap, 8 boxes of soap powder, and 6 bottles of detergent?",2.96
1585,question1585,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1586,question1586,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1587,question1587,A bakery has 100 baguettes. They sell 20 baguettes in the morning and 30 baguettes in the afternoon. How many baguettes do they have left?,50
1588,question1588,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1589,question1589,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1590,question1590,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1591,question1591,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,4.166666666666667
1592,question1592,A bakery has 100 loaves of bread. The bakery sells 20 loaves of bread in the morning and 30 loaves of bread in the afternoon. How many loaves of bread does the bakery have left?,50
1593,question1593,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A bottle of bleach weighs 10 ounces.  A 20-pound sack of laundry will wash 20 loads of laundry.  How many ounces of laundry products will you need to wash 40 loads of laundry?,100.0
1594,question1594,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1595,question1595,A 20-ounce soda has 1.5 ounces of sugar. How much sugar is in a 12-ounce soda?,0.899999999999999
1596,question1596,A 12-pack of soda costs $3. A 24-pack of soda costs $5. How much would you save by buying 24 cans of soda at a time instead of 12?,2
1597,question1597,A bakery has 1200 ovens. Each oven can bake 120 loaves of bread an hour. How many loaves of bread can the bakery bake in 8 hours?,1152000
1598,question1598,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much would you save by buying 24 cans of soda at a time instead of 12?,2
1599,question1599,"A bakery has 100 muffins. On Tuesday, they sell 23 muffins. On Wednesday, they sell 25 muffins. How many muffins do they have left?",100
1600,question1600,A 10-pound bag of flour makes 24 loaves of bread. How many bags of flour are needed to make 144 loaves of bread?,60.0
1601,question1601,A 10-pound sack of flour makes 24 loaves of bread. How many sacks of flour are needed to make 144 loaves of bread?,60.0
1602,question1602,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1603,question1603,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1604,question1604,A bakery has 100 loaves of bread. It sells 23 loaves in the morning and 19 loaves in the afternoon. How many loaves of bread does it have left?,58
1605,question1605,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much would you save by buying a 24-pack of soda instead of 2 12-packs?,2
1606,question1606,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1607,question1607,A 12-liter bottle of soda has 48 cups of soda. A 2-liter bottle of soda has 8 cups of soda. How many 2-liter bottles of soda are in a 12-liter bottle of soda?,6.0
1608,question1608,A 12-pack of soda costs $4. A 24-pack of soda costs $7. How much money do you save by buying a 24-pack of soda instead of 2 12-packs?,1
1609,question1609,A 10-pound bag of flour makes 20 loaves of bread. How many bags of flour does it take to make 60 loaves of bread?,30.0
1610,question1610,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money do you save by buying a 24-pack of soda instead of 2 12-packs?,2
1611,question1611,A bakery sells 120 baguettes a day. 20% of the baguettes are sold in the morning. How many baguettes are sold in the morning?,24.0
1612,question1612,A bakery sells 100000000 loaves of bread and 200000000 baguettes each day. How many loaves of bread and baguettes does it sell in a week?,300000000
1613,question1613,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1614,question1614,A bakery has 100 muffins. They sell 23 muffins in the morning and 19 muffins in the afternoon. How many muffins do they have left?,77
1615,question1615,A 12-ounce can of soda has 150 calories. A 16-ounce can of soda has 200 calories. How many more calories are in the 16-ounce soda than in the 12-ounce soda?,50
1616,question1616,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,4.166666666666667
1617,question1617,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1618,question1618,A 10-pound sack of apples costs $2.50. A 20-pound sack of apples costs $5. How much will you save by buying a 20-pound sack of apples instead of two 10-pound sacks?,0.0
1619,question1619,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1620,question1620,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1621,question1621,A 20-ounce soda has 150 calories. A 12-ounce soda has 100 calories. How many more calories are in a 20-ounce soda than in a 12-ounce soda?,50
1622,question1622,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A box of bleach weighs 10 ounces.  A bottle of fabric softener weighs 12 ounces.  A 20-pound bag of laundry weighs 320 ounces.  How many ounces of laundry supplies can you buy with a 20-pound bag of laundry detergent?,258
1623,question1623,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1624,question1624,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A bottle of bleach weighs 12 ounces.  A bottle of fabric softener weighs 10 ounces.  A 20-pound bag of laundry weighs 320 ounces.  How many ounces of laundry products can you buy with a 20-pound bag of laundry detergent?,258
1625,question1625,A 12-pack of soda costs $3. A 24-pack of soda costs $5. How much money can you save by buying a 24-pack of soda instead of 2 12-packs?,2
1626,question1626,A 10-pound sack of flour makes 20 loaves of bread. How many sacks of flour are needed to make 150 loaves of bread?,75.0
1627,question1627,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A box of bleach weighs 10 ounces.  A 20-pound sack of laundry will wash 20 loads of laundry.  How many ounces of laundry products will you need to wash 40 loads of laundry?,140.0
1628,question1628,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A tote bag can hold 100 ounces of laundry supplies.  How many tote bags are needed to carry 12 cakes of soap, 8 boxes of soap powder, and 6 bottles of detergent?",2.96
1629,question1629,A 10-pound bag of carrots has 42 carrots. How many carrots are in a 20-pound bag?,84
1630,question1630,A bakery has 12 cakes. The bakery sells 4 cakes in the morning and 8 cakes in the afternoon. How many cakes does the bakery have left?,0
1631,question1631,A 20-ounce soda has 12 ounces of sugar. A 12-ounce soda has 8 ounces of sugar. How much more sugar is in a 20-ounce soda than in a 12-ounce soda?,4
1632,question1632,A candy store has 100000 pieces of candy. It sells 1000 pieces of candy a day. How many days will it take for the candy store to sell all of its candy?,100.0
1634,question1634,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money can you save by buying a 24-pack of soda instead of 2 12-packs?,2
1635,question1635,A 10-foot by 10-foot room has 200 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,2.0
1636,question1636,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,5
1637,question1637,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A box of bleach weighs 10 ounces.  A bottle of fabric softener weighs 12 ounces.  A 20-pound bag of laundry weighs 320 ounces.  How many ounces of laundry supplies can you buy with a 20-pound bag of laundry detergent?,258
1638,question1638,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,5
1639,question1639,A 10-ounce soda has 75 calories. A 20-ounce soda has 150 calories. How many more calories are in the 20-ounce soda than in the 10-ounce soda?,75
1640,question1640,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1641,question1641,A bakery has 100 muffins. They sell 20 muffins in the morning and 30 muffins in the afternoon. How many muffins do they have left?,50
1642,question1642,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,4.166666666666667
1643,question1643,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1644,question1644,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1645,question1645,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A customer at the laundromat has 2 cakes of soap, 2 boxes of soap powder, and 1 bottle of detergent.  How much does the customer's laundry weigh?",60
1646,question1646,A candy store has 100000 pieces of candy. The store sells 1000 pieces of candy each day. How many days will it take for the store to sell all of its candy?,100.0
1647,question1647,A 10-year-old boy is 48 inches tall.  His 8-year-old sister is 40 inches tall.  How many more inches will the 8-year-old sister need to grow to be as tall as her 10-year-old brother?,8
1648,question1648,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,4.166666666666667
1649,question1649,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money do you save by buying a 24-pack of soda instead of 2 12-packs?,2
1650,question1650,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A tote bag can hold 100 ounces of laundry supplies.  How many tote bags are needed to carry 12 cakes of soap, 8 boxes of soap powder, and 6 bottles of detergent?",2.96
1651,question1651,A toy store sells 10000000 toys a day. They cost $3 each. How much money does the toy store make in a week?,210000000
1652,question1652,A 1-pound bag of M&Ms has 10 servings of 24 M&Ms. How many M&Ms are in a 3-pound bag?,720
1653,question1653,A 20-ounce soda has 150 calories. A 12-ounce soda has 100 calories. How many more calories are in a 20-ounce soda than in a 12-ounce soda?,50
1654,question1654,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1655,question1655,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,5
1656,question1656,A 12-pack of soda costs $3. A 24-pack of soda costs $5. How much would you save by buying 24 cans of soda at a time?,2
